No.,Card,Type,Quantity
—,Misty's Psyduck,Water,1×
—,Misty's Poliwag,Water,2×
—,Misty's Tentacool,Water,2×
—,Misty's Tentacruel,Water,1×
—,Misty's Seel,Water,1×
—,Misty's Shellder,Water,2×
—,Misty's Cloyster,Water,2×
—,Misty's Horsea,Water,2×
—,Misty's Goldeen,Water,2×
—,Misty's Goldeen,Water,2×
—,Misty's Seaking,Water,2×
—,Misty's Staryu,Water,2×
—,Misty's Staryu,Water,2×
—,Misty's Starmie,Water,3×
—,Misty,T,1×
—,Misty's Wrath,T,1×
—,Misty's Duel,T,2×
—,Misty's Tears,T,2×
—,Defender,T,1×
—,Gust of Wind,T,1×
—,Potion,T,1×
—,Cerulean City Gym,T [St],1×
—,Poké Ball,T,1×
—,Water Energy,Water E,26×
—,Double Colorless Energy,Colorless E,1×
