No.,Card name,Type,Rarity
—,Venomoth,Grass,Common
—,Grimer,Grass,Common
—,Koffing,Grass,Common
—,Tangela,Grass,Common
—,Moltres,Fire,Uncommon
—,Seel,Water,Common
—,Dewgong,Water,Uncommon
—,Shellder,Water,Common
—,Krabby,Water,Common
—,Lapras,Water,Common
—,Omanyte,Water,Uncommon
—,Articuno,Water,Uncommon
—,Raichu,Lightning,Uncommon
—,Magnemite,Lightning,Common
—,Magneton,Lightning,Uncommon
—,Voltorb,Lightning,Common
—,Electabuzz,Lightning,Common
—,Zapdos,Lightning,Uncommon
—,Jynx,Psychic,Uncommon
—,Sandshrew,Fighting,Common
—,Machop,Fighting,Common
—,Machoke,Fighting,Common
—,Graveler,Fighting,Uncommon
—,Onix,Fighting,Uncommon
—,Marowak,Fighting,Uncommon
—,Hitmonlee,Fighting,Uncommon
—,Hitmonchan,Fighting,Uncommon
—,Kabuto,Fighting,Uncommon
—,Aerodactyl,Fighting,Uncommon
—,Spearow,Colorless,Common
—,Fearow,Colorless,Common
—,Ditto,Colorless,Uncommon
—,Flash,T,Uncommon
—,Master Ball,T,Uncommon
—,Max Revive,T,Common
—,Guard Spec.,T,Common
