No.,Card,Type,Quantity
—,Blaine's Charmander,Fire,2×
—,Blaine's Vulpix,Fire,1×
—,Blaine's Vulpix,Fire,2×
—,Blaine's Ninetales,Fire,1×
—,Blaine's Growlithe,Fire,2×
—,Blaine's Growlithe,Fire,2×
—,Blaine's Arcanine,Fire,1×
—,Blaine's Ponyta,Fire,2×
—,Blaine's Ponyta,Fire,2×
—,Blaine's Rapidash,Fire,2×
—,Blaine's Magmar,Fire,2×
—,Blaine's Doduo,Colorless,2×
—,Blaine's Dodrio,Colorless,1×
—,Blaine,T,1×
—,Blaine's Gamble,T,2×
—,Blaine's Quiz #1,T,2×
—,Blaine's Quiz #2,T,1×
—,Potion,T,1×
—,Cinnabar City Gym,T [St],1×
—,Max Revive,T,1×
—,Full Heal,T,1×
—,Fervor,T,2×
—,Switch,T,1×
—,Pokédex,T,1×
—,Fire Energy,Fire E,27×
—,Double Colorless Energy,Colorless E,1×
