No.,Card,Type,Quantity
—,Sabrina's Abra,Psychic,2×
—,Sabrina's Abra,Psychic,2×
—,Sabrina's Kadabra,Psychic,2×
—,Sabrina's Alakazam,Psychic,1×
—,Sabrina's Gastly,Psychic,2×
—,Sabrina's Gastly,Psychic,2×
—,Sabrina's Haunter,Psychic,2×
—,Sabrina's Gengar,Psychic,1×
—,Sabrina's Drowzee,Psychic,2×
—,Sabrina's Hypno,Psychic,1×
—,Sabrina's Mr. Mime,Psychic,2×
—,Sabrina's Jynx,Psychic,2×
—,Sabrina's Porygon,Colorless,2×
—,Energy Retrieval,T,1×
—,Potion,T,1×
—,Defender,T,1×
—,Sabrina,T,1×
—,Sabrina's ESP,T,1×
—,Sabrina's Gaze,T,2×
—,Full Heal,T,1×
—,PlusPower,T,1×
—,Pokémon Center,T,1×
—,Master Ball,T,1×
—,Saffron City Gym,T [St],1×
—,Warp Point,T,2×
—,Psychic Energy,Psychic E,26×
—,Double Colorless Energy,Colorless E,1×
