No.,Card name,Type,Rarity
—,Koga's Weedle,Grass,Common
—,Koga's Ekans,Grass,Common
—,Giovanni's Nidoran♀,Grass,Common
—,Giovanni's Nidoran♂,Grass,Common
—,Koga's Zubat,Grass,Common
—,Sabrina's Venonat,Grass,Common
—,Koga's Grimer,Grass,Common
—,Koga's Koffing,Grass,Common
—,Koga's Tangela,Grass,Common
—,Erika's Ivysaur,Grass,Uncommon
—,Koga's Kakuna,Grass,Uncommon
—,Giovanni's Nidorina,Grass,Uncommon
—,Giovanni's Nidorino,Grass,Uncommon
—,Koga's Golbat,Grass,Uncommon
—,Koga's Koffing,Grass,Uncommon
—,Koga's Weezing,Grass,Uncommon
—,Erika's Venusaur,Grass,Rare Holo
—,Koga's Beedrill,Grass,Rare Holo
—,Koga's Arbok,Grass,Rare
—,Giovanni's Nidoqueen,Grass,Rare
—,Giovanni's Nidoking,Grass,Rare Holo
—,Sabrina's Venomoth,Grass,Rare
—,Koga's Muk,Grass,Rare
—,Giovanni's Pinsir,Grass,Rare
—,Blaine's Charmander,Fire,Common
—,Blaine's Vulpix,Fire,Common
—,Blaine's Growlithe,Fire,Common
—,Blaine's Ponyta,Fire,Common
—,Blaine's Charmeleon,Fire,Uncommon
—,Blaine's Rapidash,Fire,Uncommon
—,Blaine's Magmar,Fire,Uncommon
—,Blaine's Charizard,Fire,Rare Holo
—,Blaine's Ninetales,Fire,Rare
—,Blaine's Arcanine,Fire,Rare Holo
—,Blaine's Moltres,Fire,Rare Holo
—,Sabrina's Psyduck,Water,Common
—,Giovanni's Magikarp,Water,Common
—,Sabrina's Golduck,Water,Rare
—,Misty's Poliwrath,Water,Rare
—,Giovanni's Gyarados,Water,Rare Holo
—,Lt. Surge's Raichu,Lightning,Rare Holo
—,Rocket's Zapdos,Lightning,Rare Holo
—,Sabrina's Abra,Psychic,Common
—,Sabrina's Slowpoke,Psychic,Common
—,Sabrina's Drowzee,Psychic,Common
—,Sabrina's Mr. Mime,Psychic,Common
—,Sabrina's Kadabra,Psychic,Uncommon
—,Sabrina's Slowbro,Psychic,Uncommon
—,Sabrina's Gastly,Psychic,Uncommon
—,Sabrina's Haunter,Psychic,Uncommon
—,Sabrina's Hypno,Psychic,Uncommon
—,Sabrina's Jynx,Psychic,Uncommon
—,Sabrina's Alakazam,Psychic,Rare Holo
—,Sabrina's Gengar,Psychic,Rare Holo
—,Rocket's Mewtwo,Psychic,Rare Holo
—,Blaine's Mankey,Fighting,Common
—,Giovanni's Machop,Fighting,Common
—,Blaine's Rhyhorn,Fighting,Common
—,Giovanni's Machoke,Fighting,Uncommon
—,Brock's Dugtrio,Fighting,Rare
—,Giovanni's Machamp,Fighting,Rare Holo
—,Koga's Pidgey,Colorless,Common
—,Giovanni's Meowth,Colorless,Common
—,Blaine's Doduo,Colorless,Common
—,Blaine's Tauros,Colorless,Common
—,Sabrina's Porygon,Colorless,Common
—,Koga's Pidgey,Colorless,Uncommon
—,Giovanni's Meowth,Colorless,Uncommon
—,Blaine's Kangaskhan,Colorless,Uncommon
—,Koga's Pidgeotto,Colorless,Rare
—,Giovanni's Persian,Colorless,Rare Holo
—,Koga's Ditto,Colorless,Rare Holo
—,Rocket's Snorlax,Colorless,Rare
—,Imakuni?'s Doduo,Colorless,SuperRare
—,_____'s Chansey,Colorless,Ultra-Rare Uncommon
—,Blaine's Gamble,T,Common
—,Trash Exchange,T,Common
—,Sabrina's Gaze,T,Common
—,Transparent Walls,T,Common
—,Warp Point,T,Common
—,Blaine's Last Resort,T,Uncommon
—,Blaine's Quiz #3,T,Uncommon
—,Koga's Ninja Trick,T,Uncommon
—,Tickling Machine,T [R],Uncommon
—,Cinnabar City Gym,T [St],Uncommon
—,Fuchsia City Gym,T [St],Uncommon
—,Sabrina's ESP,T,Uncommon
—,Sabrina's Psychic Control,T,Uncommon
—,Minion of Team Rocket,T,Uncommon
—,Saffron City Gym,T [St],Uncommon
—,Rocket's Secret Experiment,T,Uncommon
—,Rocket's Minefield Gym,T [St],Uncommon
—,Blaine,T,Rare
—,Koga,T,Rare
—,Giovanni,T,Rare Holo
—,Giovanni's Last Resort,T,Rare
—,Viridian City Gym,T [St],Rare
—,Sabrina,T,Rare
