No.,Card,Type,Quantity
—,Venusaur,Grass,1×
1,Bulbasaur,Grass,1×
2,Drowzee,Psychic,1×
3,Raichu,Lightning,1×
4,Grass Energy,Grass E,1×
5,Grass Energy,Grass E,1×
6,Lightning Energy,Lightning E,1×
7,Potion,T,1×
8,Grass Energy,Grass E,1×
9,Super Scoop Up,T,1×
10,Lightning Energy,Lightning E,1×
11,Grass Energy,Grass E,1×
12,Lightning Energy,Lightning E,1×
13,Pikachu,Lightning,1×
14,Lightning Energy,Lightning E,1×
15,Grass Energy,Grass E,1×
16,Meowth,Colorless,1×
17,Lightning Energy,Lightning E,1×
18,Bulbasaur,Grass,1×
19,Switch,T,1×
20,Bill's Teleporter,T,1×
21,Grass Energy,Grass E,1×
22,Ivysaur,Grass,1×
23,Double Colorless Energy,Colorless E,1×
24,Psychic Energy,Psychic E,1×
25,Grass Energy,Grass E,1×
26,Electabuzz,Lightning,1×
27,Psychic Energy,Psychic E,1×
28,Gust of Wind,T,1×
29,Bulbasaur,Grass,1×
30,Doduo,Colorless,1×
31,Psychic Energy,Psychic E,1×
32,Ivysaur,Grass,1×
33,Lightning Energy,Lightning E,1×
34,Grass Energy,Grass E,1×
35,Bulbasaur,Grass,1×
36,Grass Energy,Grass E,1×
37,Jynx,Psychic,1×
38,Psychic Energy,Psychic E,1×
39,Koffing,Grass,1×
40,Pikachu,Lightning,1×
