No.,Card name,Type,Rarity
001/048,Ivysaur,Grass,Common
002/048,Nidoran♂,Grass,Common
003/048,Venonat,Grass,Common
004/048,Exeggcute,Grass,Common
005/048,Tangela,Grass,Common
006/048,Growlithe,Fire,Common
007/048,Charmeleon,Fire,Common
008/048,Vulpix,Fire,Common
009/048,Wartortle,Water,Common
010/048,Marill,Water,Common
011/048,Voltorb,Lightning,Common
012/048,Slowpoke,Psychic,Common
013/048,Diglett,Fighting,Common
014/048,Hitmonlee,Fighting,Common
015/048,Bill's Teleporter,T [Su],Common
016/048,New Pokédex,T,Common
017/048,Dark Ivysaur,Grass,Uncommon
018/048,Nidorino,Grass,Uncommon
019/048,Venomoth,Grass,Uncommon
020/048,Exeggutor,Grass,Uncommon
021/048,Dark Weezing,Grass,Uncommon
022/048,Dark Charmeleon,Fire,Uncommon
023/048,Arcanine,Fire,Uncommon
024/048,Dark Wartortle,Water,Uncommon
025/048,Surfing Pikachu,Lightning,Uncommon
026/048,Electrode,Lightning,Uncommon
027/048,Dark Kadabra,Psychic,Uncommon
028/048,Dark Slowbro,Psychic,Uncommon
029/048,Dugtrio,Fighting,Uncommon
030/048,Max Revive,T,Uncommon
031/048,Hyper Devolution Spray,T,Uncommon
032/048,Pokémon Retransfer,T,Uncommon
033/048,Nidoking,Grass,Rare
034/048,Ninetales,Fire,Rare
035/048,Magikarp,Water,Rare
036/048,Raichu,Lightning,Rare
037/048,Dark Alakazam,Psychic,Rare
038/048,Dragonite,Colorless,Rare
039/048,Team Rocket's Meowth,Colorless,Rare
040/048,Rocket's Sneak Attack,T [Su],Rare
041/048,Dark Venusaur,Grass,Rare Holo
042/048,Dark Charizard,Fire,Rare Holo
043/048,Moltres,Fire,Rare Holo
044/048,Dark Blastoise,Water,Rare Holo
045/048,Articuno,Water,Rare Holo
046/048,Zapdos,Lightning,Rare Holo
047/048,Gengar,Psychic,Rare Holo
048/048,Machamp,Fighting,Rare Holo
