No.,Card name,Type,Rarity
001/054,Grimer,Grass,Common
002/054,Muk ex,Grass,Rare Holo ex
003/054,Wurmple,Grass,Common
004/054,Nincada,Grass,Common
005/054,Ninjask,Grass,Rare
006/054,Shedinja,Grass,Rare Holo
007/054,Roselia,Grass,Rare Holo
008/054,Slugma,Fire,Common
009/054,Magcargo ex,Fire,Rare Holo ex
010/054,Torkoal,Fire,Rare Holo
011/054,Horsea,Water,Uncommon
012/054,Seadra,Water,Rare
013/054,Magikarp,Water,Common
014/054,Gyarados,Water,Rare
015/054,Kingdra ex,Water,Rare Holo ex
016/054,Barboach,Water,Common
017/054,Whiscash,Water,Rare
018/054,Corphish,Water,Common
019/054,Crawdaunt,Water,Rare Holo
020/054,Snorunt,Water,Uncommon
021/054,Magnemite,Lightning,Common
022/054,Magneton,Lightning,Rare
023/054,Mareep,Lightning,Common
024/054,Flaaffy,Lightning,Rare
025/054,Ampharos ex,Lightning,Rare Holo ex
026/054,Plusle,Lightning,Rare Holo
027/054,Minun,Lightning,Rare Holo
028/054,Girafarig,Psychic,Rare
029/054,Spoink,Psychic,Common
030/054,Grumpig,Psychic,Rare Holo
031/054,Shuppet,Psychic,Uncommon
032/054,Geodude,Fighting,Common
033/054,Graveler,Fighting,Rare
034/054,Golem,Fighting,Rare Holo
035/054,Meditite,Fighting,Uncommon
036/054,Dratini,Colorless,Uncommon
037/054,Dragonair,Colorless,Rare
038/054,Dragonite ex,Colorless,Rare Holo ex
039/054,Taillow,Colorless,Common
040/054,Vibrava,Colorless,Common
041/054,Flygon,Colorless,Rare Holo
042/054,Swablu,Colorless,Common
043/054,Altaria,Colorless,Rare Holo
044/054,Bagon,Colorless,Uncommon
045/054,Shelgon,Colorless,Rare
046/054,Salamence,Colorless,Rare Holo
047/054,Rayquaza ex,Colorless,Rare Holo ex
048/054,Absol,Darkness,Rare Holo
049/054,Skarmory,Metal,Rare
050/054,Energy Recycle System,T,Uncommon
051/054,TV Reporter,T [Su],Uncommon
052/054,Mr. Briney's Compassion,T [Su],Uncommon
053/054,Balloon Berry,T [PT],Uncommon
054/054,Buffer Piece,T [PT],Uncommon
