No.,Card name,Type,Rarity
—,Vileplume,Grass,Rare
—,Bellsprout,Grass,Common
—,Weepinbell,Grass,Common
—,Victreebel,Grass,Rare
—,Ledyba,Grass,Common
—,Ledian,Grass,Uncommon
—,Yanma,Grass,Common
—,Yanmega,Grass,Rare Holo
—,Pineco,Grass,Common
—,Lileep,Grass,Common
—,Cradily,Grass,Rare
—,Numel,Fire,Common
—,Camerupt,Fire,Uncommon
—,Torkoal,Fire,Rare
—,Castform Sunny Form,Fire,Rare
—,Heatran,Fire,Rare Holo
—,Poliwag,Water,Common
—,Poliwhirl,Water,Common
—,Poliwrath,Water,Rare
—,Politoed,Water,Rare Holo
—,Tentacool,Water,Common
—,Tentacruel,Water,Uncommon
—,Corphish,Water,Common
—,Crawdaunt,Water,Rare
—,Castform Rain Form,Water,Rare
—,Castform Snow-cloud Form,Water,Rare
—,Kyogre,Water,Rare
—,Chinchou,Lightning,Common
—,Lanturn,Lightning,Uncommon
—,Unown V,Psychic,Uncommon
—,Unown W,Psychic,Uncommon
—,Unown Y,Psychic,Uncommon
—,Unown ?,Psychic,Uncommon
—,Spoink,Psychic,Common
—,Grumpig,Psychic,Uncommon
—,Spiritomb,Psychic,Rare Holo
—,Giratina,Psychic,Rare Holo
—,Oddish,Psychic,Common
—,Gloom,Psychic,Common
—,Uxie,Psychic,Rare
—,Mesprit,Psychic,Rare
—,Uxie LV.X,Psychic,Rare Holo LV.X
—,Mesprit LV.X,Psychic,Rare Holo LV.X
—,Cubone,Fighting,Common
—,Marowak,Fighting,Uncommon
—,Gligar,Fighting,Common
—,Gliscor,Fighting,Rare Holo
—,Groudon,Fighting,Rare
—,Rhyperior LV.X,Fighting,Rare Holo LV.X
—,Poochyena,Darkness,Common
—,Mightyena,Darkness,Uncommon
—,Forretress,Metal,Rare
—,Tauros,Colorless,Uncommon
—,Dratini,Colorless,Common
—,Dragonair,Colorless,Uncommon
—,Dragonite,Colorless,Rare Holo
—,Taillow,Colorless,Common
—,Swellow,Colorless,Uncommon
—,Castform,Colorless,Rare
—,Rayquaza,Colorless,Rare Holo
—,Poké Radar,T,Uncommon
—,Root Fossil,T,Uncommon
—,Technical Machine TS-1,T,Uncommon
—,Buck's Training,Su,Uncommon
—,Stark Mountain,St,Uncommon
