No.,Card name,Type,Rarity
—,Oddish,Grass,Common
—,Gloom,Grass,Common
—,Bellossom,Grass,Rare
—,Nincada,Grass,Common
—,Ninjask,Grass,Uncommon
—,Shedinja,Grass,Rare
—,Houndoom,Fire,Uncommon
—,Horsea,Water,Common
—,Seadra,Water,Uncommon
—,Kingdra,Water,Rare Holo
—,Staryu,Water,Common
—,Starmie,Water,Uncommon
—,Swinub,Water,Common
—,Piloswine,Water,Uncommon
—,Mamoswine,Water,Rare Holo
—,Froslass,Water,Rare Holo
—,Regice,Water,Rare
—,Chinchou,Water,Common
—,Lanturn,Water,Uncommon
—,Luxray,Lightning,Rare Holo
—,Unown J,Psychic,Uncommon
—,Unown R,Psychic,Uncommon
—,Unown U,Psychic,Uncommon
—,Unown !,Psychic,Rare
—,Gulpin,Psychic,Common
—,Swalot,Psychic,Uncommon
—,Deoxys Normal Forme,Psychic,Rare Holo
—,Deoxys Attack Forme,Psychic,Rare
—,Deoxys Defense Forme,Psychic,Rare
—,Deoxys Speed Forme,Psychic,Rare
—,Exeggcute,Psychic,Common
—,Exeggutor,Psychic,Uncommon
—,Azelf,Psychic,Rare
—,Azelf LV.X,Psychic,Rare Holo LV.X
—,Tyrogue,Fighting,Common
—,Hitmonlee,Fighting,Common
—,Hitmonchan,Fighting,Common
—,Hitmontop,Fighting,Common
—,Nosepass,Fighting,Common
—,Probopass,Fighting,Rare Holo
—,Anorith,Fighting,Uncommon
—,Armaldo,Fighting,Rare
—,Regirock,Fighting,Rare
—,Sneasel,Darkness,Common
—,Houndour,Darkness,Common
—,Beldum,Metal,Common
—,Metang,Metal,Uncommon
—,Metagross,Metal,Rare Holo
—,Registeel,Metal,Rare
—,Jirachi,Metal,Rare
—,Magnezone LV.X,Metal,Rare Holo LV.X
—,Meowth,Colorless,Common
—,Persian,Colorless,Uncommon
—,Ditto,Colorless,Rare
—,Skitty,Colorless,Common
—,Delcatty,Colorless,Rare
—,Regigigas,Colorless,Rare Holo
—,Buneary,Colorless,Common
—,Lopunny,Colorless,Rare
—,Porygon-Z LV.X,Colorless,Rare Holo LV.X
—,Energy Pickup,T,Uncommon
—,Claw Fossil,T,Uncommon
—,Technical Machine TS-2,T,Uncommon
—,Cynthia's Feelings,Su,Uncommon
—,Snowpoint Temple,St,Uncommon
