No.,Card name,Type,Rarity
001/096,Wurmple,Grass,Common
002/096,Silcoon,Grass,Common
003/096,Beautifly,Grass,Rare
004/096,Cascoon,Grass,Common
005/096,Lotad,Grass,Common
006/096,Lotad,Grass,Common Holo
007/096,Lombre,Grass,Common
008/096,Ludicolo,Grass,Rare
009/096,Cacnea,Grass,Common
010/096,Cacturne,Grass,Rare
011/096,Kricketot,Grass,Common
012/096,Kricketune,Grass,Rare
013/096,Carnivine,Grass,Rare
014/096,Shaymin,Grass,Rare Holo
015/096,Shaymin LV.X,Grass,Rare Holo LV.X
016/096,Vulpix,Fire,Common
017/096,Vulpix,Fire,Common Holo
018/096,Ninetales,Fire,Rare
019/096,Houndoom Pokémon G,Fire,Uncommon
020/096,Torchic,Fire,Common
021/096,Combusken,Fire,Uncommon
022/096,Blaziken,Fire,Rare Holo
023/096,Squirtle,Water,Common
024/096,Wartortle,Water,Uncommon
025/096,Blastoise,Water,Rare Holo
026/096,Psyduck,Water,Common
027/096,Golduck,Water,Rare
028/096,Gyarados Pokémon G,Water,Rare
029/096,Remoraid,Water,Common
030/096,Octillery,Water,Rare
031/096,Luvdisc,Water,Rare
032/096,Palkia Pokémon G,Water,Rare Holo
033/096,Palkia Pokémon G LV.X,Water,Rare Holo LV.X
034/096,Mareep,Lightning,Common
035/096,Flaaffy,Lightning,Uncommon
036/096,Ampharos,Lightning,Rare Holo
037/096,Electrike,Lightning,Common
038/096,Manectric,Lightning,Rare Holo
039/096,Grimer,Psychic,Common
040/096,Muk,Psychic,Rare
041/096,Crobat Pokémon G,Psychic,Uncommon
042/096,Dustox,Psychic,Rare
043/096,Ralts,Psychic,Common
044/096,Kirlia,Psychic,Uncommon
045/096,Gardevoir,Psychic,Rare Holo
046/096,Seviper,Psychic,Uncommon
047/096,Shuppet,Psychic,Common
048/096,Banette,Psychic,Rare
049/096,Skuntank Pokémon G,Psychic,Uncommon
050/096,Toxicroak Pokémon G,Psychic,Rare
051/096,Giratina,Psychic,Rare Holo
052/096,Giratina LV.X,Psychic,Rare Holo LV.X
053/096,Diglett,Fighting,Common
054/096,Dugtrio,Fighting,Rare
055/096,Cranidos,Fighting,Uncommon
056/096,Rampardos,Fighting,Rare Holo
057/096,Poochyena,Darkness,Common
058/096,Mightyena,Darkness,Rare
059/096,Honchkrow Pokémon G,Darkness,Common
060/096,Drapion LV.X,Darkness,Rare Holo LV.X
061/096,Weavile Pokémon G,Darkness,Rare Holo
062/096,Shieldon,Metal,Uncommon
063/096,Bastiodon,Metal,Rare
064/096,Bronzong Pokémon G,Metal,Common
065/096,Dialga Pokémon G,Metal,Rare Holo
066/096,Dialga Pokémon G LV.X,Metal,Rare Holo LV.X
067/096,Lickitung,Colorless,Common
068/096,Lickilicky,Colorless,Rare
069/096,Happiny,Colorless,Common
070/096,Chansey,Colorless,Common
071/096,Blissey,Colorless,Rare
072/096,Slakoth,Colorless,Common
073/096,Vigoroth,Colorless,Uncommon
074/096,Slaking,Colorless,Rare Holo
075/096,Skitty,Colorless,Common
076/096,Delcatty,Colorless,Rare Holo
077/096,Swablu,Colorless,Common
078/096,Swablu,Colorless,Common Holo
079/096,Altaria,Colorless,Rare
080/096,Zangoose,Colorless,Uncommon
081/096,Purugly Pokémon G,Colorless,Common
082/096,Team Galactic's Invention G-103 Power Spray,T,Uncommon
083/096,Team Galactic's Invention G-105 Poké Turn,T,Uncommon
084/096,Level Max,T,Uncommon
085/096,Skull Fossil,T,Uncommon
086/096,Armor Fossil,T,Uncommon
087/096,Memory Berry,T,Uncommon
088/096,Team Galactic's Invention G-101 Energy Gain,T,Uncommon
089/096,Cyrus's Conspiracy,Su,Uncommon
090/096,Looker's Investigation,Su,Uncommon
091/096,Galactic HQ,St,Uncommon
092/096,Broken Time-Space,St,Uncommon
093/096,Rainbow Energy,Rainbow E,Uncommon
094/096,Scyther,Grass,SuperRare Holo
095/096,Electabuzz,Lightning,SuperRare Holo
096/096,Hitmonchan,Fighting,SuperRare Holo
