No.,Card name,Type,Rarity
001/070,Weedle,Grass,Common
002/070,Kakuna,Grass,Uncommon
003/070,Beedrill,Grass,Rare
004/070,Spinarak,Grass,Common
005/070,Ariados,Grass,Rare
006/070,Hoppip,Grass,Common
007/070,Skiploom,Grass,Common
008/070,Jumpluff,Grass,Rare Holo
009/070,Sunkern,Grass,Common
010/070,Sunflora,Grass,Rare
011/070,Shuckle,Grass,Rare Holo
012/070,Heracross,Grass,Uncommon
013/070,Growlithe,Fire,Common
014/070,Arcanine,Fire,Rare Holo
015/070,Ho-Oh LEGEND,Fire,Rare Holo LEGEND
016/070,Ho-Oh LEGEND,Fire,Rare Holo LEGEND
017/070,Slowpoke,Water,Common
018/070,Slowbro,Water,Rare
019/070,Staryu,Water,Common
020/070,Starmie,Water,Rare
021/070,Lapras,Water,Rare
022/070,Totodile,Water,Common
023/070,Croconaw,Water,Common
024/070,Feraligatr,Water,Uncommon
025/070,Feraligatr,Water,Rare Prime
026/070,Qwilfish,Water,Uncommon
027/070,Corsola,Water,Uncommon
028/070,Remoraid,Water,Common
029/070,Octillery,Water,Rare Holo
030/070,Mantine,Water,Uncommon
031/070,Mareep,Lightning,Common
032/070,Flaaffy,Lightning,Common
033/070,Ampharos,Lightning,Uncommon
034/070,Ampharos,Lightning,Rare Prime
035/070,Koffing,Psychic,Common
036/070,Weezing,Psychic,Rare
037/070,Smoochum,Psychic,Rare Holo
038/070,Jynx,Psychic,Common
039/070,Slowking,Psychic,Rare Holo
040/070,Unown,Psychic,Uncommon
041/070,Wobbuffet,Psychic,Rare Holo
042/070,Mankey,Fighting,Common
043/070,Primeape,Fighting,Rare
044/070,Phanpy,Fighting,Common
045/070,Donphan,Fighting,Uncommon
046/070,Donphan,Fighting,Rare Prime
047/070,Spearow,Colorless,Common
048/070,Fearow,Colorless,Rare
049/070,Cleffa,Colorless,Rare Holo
050/070,Clefairy,Colorless,Common
051/070,Clefable,Colorless,Rare Holo
052/070,Chansey,Colorless,Common
053/070,Blissey,Colorless,Uncommon
054/070,Blissey,Colorless,Rare Prime
055/070,Tauros,Colorless,Uncommon
056/070,Sentret,Colorless,Common
057/070,Furret,Colorless,Rare
058/070,Hoothoot,Colorless,Common
059/070,Noctowl,Colorless,Rare Holo
060/070,Girafarig,Colorless,Common
061/070,Dunsparce,Colorless,Uncommon
062/070,Stantler,Colorless,Common
063/070,Energy Switch,I,Uncommon
064/070,Switch,I,Uncommon
065/070,Pokémon Reversal,I,Uncommon
066/070,Poké Ball,I,Uncommon
067/070,Professor Elm's Training Method,Su,Uncommon
068/070,Professor Oak's New Theory,Su,Uncommon
069/070,Bill,Su,Uncommon
070/070,Double Colorless Energy,Colorless E,Uncommon
071/070,Alph Lithograph,I,—
