No.,Card name,Type,Rarity
001/076,Surskit,Grass,C
002/076,Masquerain,Grass,U
003/076,Lileep,Grass,C
004/076,Cradily,Grass,U
005/076,Tropius,Grass,C
006/076,Karrablast,Grass,C
007/076,Shelmet,Grass,C
008/076,Accelgor,Grass,U
009/076,VirizionEX,Grass,R
010/076,GenesectEX,Grass,R
011/076,Larvesta,Fire,C
012/076,Volcarona,Fire,R
013/076,Lapras,Water,C
014/076,Remoraid,Water,C
015/076,Octillery,Water,C
016/076,Snorunt,Water,C
017/076,Glalie,Water,U
018/076,Relicanth,Water,C
019/076,Snover,Water,C
020/076,Abomasnow,Water,C
021/076,Tirtouga,Water,C
022/076,Carracosta,Water,U
023/076,Tynamo,Lightning,C
024/076,Eelektrik,Lightning,C
025/076,Eelektross,Lightning,R
026/076,Drifloon,Psychic,C
027/076,Drifblim,Psychic,U
028/076,Uxie,Psychic,U
029/076,Mesprit,Psychic,R
030/076,Azelf,Psychic,U
031/076,Munna,Psychic,C
032/076,Musharna,Psychic,C
033/076,Sigilyph,Psychic,R
034/076,Solosis,Psychic,C
035/076,Duosion,Psychic,C
036/076,Reuniclus,Psychic,U
037/076,Golett,Psychic,C
038/076,Golurk,Psychic,R
039/076,Machop,Fighting,C
040/076,Machoke,Fighting,C
041/076,Machamp,Fighting,R
042/076,Throh,Fighting,C
043/076,Sawk,Fighting,C
044/076,Archen,Fighting,C
045/076,Archeops,Fighting,R
046/076,Houndour,Darkness,C
047/076,Houndoom,Darkness,R
048/076,Aron,Metal,C
049/076,Lairon,Metal,C
050/076,Aggron,Metal,U
051/076,JirachiEX,Metal,R
052/076,Escavalier,Metal,U
053/076,DialgaEX,Dragon,R
054/076,PalkiaEX,Dragon,R
055/076,Axew,Dragon,C
056/076,Fraxure,Dragon,C
057/076,Haxorus,Dragon,R
058/076,Druddigon,Dragon,C
059/076,Porygon,Colorless,C
060/076,Porygon2,Colorless,C
061/076,Porygon-Z,Colorless,R
062/076,Teddiursa,Colorless,C
063/076,Ursaring,Colorless,C
064/076,Chatot,Colorless,C
065/076,Root Fossil Lileep,I,U
066/076,Plume Fossil,I,U
067/076,Cover Fossil,I,U
068/076,Silver Bangle,I,U
069/076,Silver Mirror,I,U
070/076,Reversal Trigger,I,U
071/076,Iris,Su,U
072/076,Caitlin,Su,U
073/076,Scoop Up Cyclone,I,R
074/076,G Scope,I,R
075/076,G Booster,I,R
076/076,Plasma Energy,Colorless E,U
077/076,VirizionEX,Grass,SR
078/076,GenesectEX,Grass,SR
079/076,JirachiEX,Metal,SR
080/076,DialgaEX,Dragon,SR
081/076,PalkiaEX,Dragon,SR
082/076,Iris,Su,SR
083/076,Exeggcute,Grass,UR
084/076,Virizion,Grass,UR
085/076,Dusknoir,Psychic,UR
086/076,Rare Candy,I,UR
