No.,Card name,Type
001/093,Shuckle,Grass
002/093,Snivy,Grass
003/093,Servine,Grass
004/093,Serperior,Grass
005/093,Sewaddle,Grass
006/093,Swadloon,Grass
007/093,Leavanny,Grass
008/093,Virizion,Grass
009/093,Charmander,Fire
010/093,Charmeleon,Fire
011/093,Charizard,Fire
012/093,Vulpix,Fire
013/093,Ninetales,Fire
014/093,Moltres,Fire
015/093,Victini,Fire
016/093,VictiniEX,Fire
017/093,Tepig,Fire
018/093,Pignite,Fire
019/093,Emboar,Fire
020/093,Reshiram,Fire
021/093,ReshiramEX,Fire
022/093,Magikarp,Water
023/093,Gyarados,Water
024/093,Articuno,Water
025/093,Piplup,Water
026/093,Prinplup,Water
027/093,Empoleon,Water
028/093,Phione,Water
029/093,Oshawott,Water
030/093,Dewott,Water
031/093,Samurott,Water
032/093,Tympole,Water
033/093,Palpitoad,Water
034/093,Seismitoad,Water
035/093,Kyurem,Water
036/093,KyuremEX,Water
037/093,KeldeoEX,Water
038/093,Zapdos,Lightning
039/093,Plusle,Lightning
040/093,Minun,Lightning
041/093,Emolga,Lightning
042/093,Thundurus,Lightning
043/093,Zekrom,Lightning
044/093,ZekromEX,Lightning
045/093,MewtwoEX,Psychic
046/093,Natu,Psychic
047/093,Xatu,Psychic
048/093,Ralts,Psychic
049/093,Kirlia,Psychic
050/093,Croagunk,Psychic
051/093,Toxicroak,Psychic
052/093,Sigilyph,Psychic
053/093,Trubbish,Psychic
054/093,Garbodor,Psychic
055/093,Gothita,Psychic
056/093,Gothorita,Psychic
057/093,Gothitelle,Psychic
058/093,Solosis,Psychic
059/093,Duosion,Psychic
060/093,Reuniclus,Psychic
061/093,ChandelureEX,Psychic
062/093,Meloetta,Psychic
063/093,Riolu,Fighting
064/093,Lucario,Fighting
065/093,Gallade,Fighting
066/093,ExcadrillEX,Fighting
067/093,Stunfisk,Fighting
068/093,Terrakion,Fighting
069/093,Landorus,Fighting
070/093,Meloetta,Fighting
071/093,Spiritomb,Darkness
072/093,DarkraiEX,Darkness
073/093,Zorua,Darkness
074/093,Zoroark,Darkness
075/093,Cobalion,Metal
076/093,Altaria,Dragon
077/093,Rayquaza,Dragon
078/093,Gible,Dragon
079/093,Gabite,Dragon
080/093,Garchomp,Dragon
081/093,Deino,Dragon
082/093,Zweilous,Dragon
083/093,Hydreigon,Dragon
084/093,Black KyuremEX,Dragon
085/093,White KyuremEX,Dragon
086/093,LugiaEX,Colorless
087/093,Swablu,Colorless
088/093,Minccino,Colorless
089/093,Cinccino,Colorless
090/093,Druddigon,Colorless
091/093,Bouffalant,Colorless
092/093,Tornadus,Colorless
093/093,Cedric Juniper,Su
094/093,Reshiram,Fire
095/093,Zekrom,Lightning
096/093,Imakuni?,Su
097/093,Pokémon Enterprise,Su
098/093,Pokémon Enterprise,Su
099/093,Pokémon Enterprise,Su
