No.,Card name,Type,Rarity
001/060,VenusaurEX,Grass,RR
002/060,MegaVenusaurEX,Grass,RR
003/060,Volbeat,Grass,C
004/060,Pansage,Grass,C
005/060,Simisage,Grass,C
006/060,Scatterbug,Grass,C
007/060,Spewpa,Grass,C
008/060,Vivillon [Meadow],Grass,R
008/060,Vivillon [Elegant],Grass,R
009/060,Skiddo,Grass,C
010/060,Gogoat,Grass,R
011/060,Slugma,Fire,C
012/060,Magcargo,Fire,C
013/060,Fennekin,Fire,C
014/060,Braixen,Fire,U
015/060,Delphox,Fire,R
016/060,Staryu,Water,C
017/060,Starmie,Water,U
018/060,Corsola,Water,C
019/060,Froakie,Water,C
020/060,Frogadier,Water,U
021/060,Greninja,Water,R
022/060,Pikachu,Lightning,C
023/060,Raichu,Lightning,R
024/060,Ekans,Psychic,C
025/060,Arbok,Psychic,U
026/060,Spoink,Psychic,C
027/060,Grumpig,Psychic,C
028/060,Phantump,Psychic,C
029/060,Trevenant,Psychic,R
030/060,Lunatone,Fighting,C
031/060,Timburr,Fighting,C
032/060,Gurdurr,Fighting,C
033/060,Conkeldurr,Fighting,U
034/060,Sandile,Darkness,C
035/060,Krokorok,Darkness,C
036/060,Krookodile,Darkness,U
037/060,Zorua,Darkness,C
038/060,Zoroark,Darkness,R
039/060,SkarmoryEX,Metal,RR
040/060,Pawniard,Metal,C
041/060,Bisharp,Metal,U
042/060,Swirlix,Fairy,C
043/060,Slurpuff,Fairy,R
044/060,XerneasEX,Fairy,RR
045/060,Tauros,Colorless,U
046/060,Dunsparce,Colorless,C
047/060,Taillow,Colorless,C
048/060,Swellow,Colorless,U
049/060,Lillipup,Colorless,C
050/060,Herdier,Colorless,C
051/060,Stoutland,Colorless,U
052/060,Bunnelby,Colorless,C
053/060,Diggersby,Colorless,U
054/060,Max Revive,I,U
055/060,Evosoda,I,U
056/060,Roller Skates,I,U
057/060,Muscle Band,I,U
058/060,Professor Sycamore,Su,U
059/060,Team Flare Grunt,Su,U
060/060,Rainbow Energy,Colorless E,U
061/060,VenusaurEX,Grass,SR
062/060,SkarmoryEX,Metal,SR
063/060,XerneasEX,Fairy,SR
