No.,Card name,Type,Rarity
001/070,Tangela,Grass,C
002/070,Tangrowth,Grass,U
003/070,Treecko,Grass,C
004/070,Grovyle,Grass,C
005/070,Sceptile,Grass,U
006/070,Sceptile,Grass,R
007/070,Shroomish,Grass,C
008/070,Breloom,Grass,U
009/070,Volbeat,Grass,C
010/070,Illumise,Grass,C
011/070,TrevenantEX,Grass,RR
012/070,Vulpix,Fire,C
013/070,Ninetales,Fire,U
014/070,Slugma,Fire,C
015/070,Magcargo,Fire,U
016/070,Magcargo,Fire,U
017/070,Torchic,Fire,C
018/070,Torchic,Fire,C
019/070,Combusken,Fire,C
020/070,Blaziken,Fire,R
021/070,CameruptEX,Fire,RR
022/070,Electrike,Lightning,C
023/070,Electrike,Lightning,C
024/070,Manectric,Lightning,R
025/070,Nidoran♀,Psychic,C
026/070,Nidorina,Psychic,C
027/070,Nidoqueen,Psychic,U
028/070,Nidoqueen,Psychic,U
029/070,Rhyhorn,Fighting,C
030/070,Rhydon,Fighting,C
031/070,Rhyperior,Fighting,U
032/070,Rhyperior,Fighting,R
033/070,Nosepass,Fighting,C
034/070,Meditite,Fighting,C
035/070,Medicham,Fighting,R
036/070,Medicham,Fighting,U
037/070,Trapinch,Fighting,C
038/070,Solrock,Fighting,C
039/070,GroudonEX,Fighting,RR
040/070,Primal GroudonEX,Fighting,RR
041/070,Hippopotas,Fighting,C
042/070,Hippowdon,Fighting,R
043/070,Drilbur,Fighting,C
044/070,Diggersby,Fighting,C
045/070,AggronEX,Metal,RR
046/070,MegaAggronEX,Metal,RR
047/070,Probopass,Metal,U
048/070,Excadrill,Metal,U
049/070,Excadrill,Metal,R
050/070,Honedge,Metal,C
051/070,Doublade,Metal,C
052/070,Aegislash,Metal,R
053/070,Vibrava,Dragon,C
054/070,Flygon,Dragon,R
055/070,Zigzagoon,Colorless,C
056/070,Linoone,Colorless,C
057/070,Bouffalant,Colorless,C
058/070,Bunnelby,Colorless,C
059/070,Bunnelby,Colorless,C
060/070,Acro Bike,I,U
061/070,Rare Candy,I,U
062/070,Repeat Ball,I,U
063/070,Weakness Policy,I,U
064/070,Groudon Spirit Link,I,U
065/070,Aggron Spirit Link,I,U
066/070,Teammates,Su,U
067/070,Maxie's Hidden Ball Trick,Su,U
068/070,Shrine of Memories,St,U
069/070,Scorched Earth,St,U
070/070,Shield Energy,Metal E,U
071/070,TrevenantEX,Grass,SR
072/070,CameruptEX,Fire,SR
073/070,GroudonEX,Fighting,SR
074/070,Primal GroudonEX,Fighting,SR
075/070,AggronEX,Metal,SR
076/070,MegaAggronEX,Metal,SR
077/070,Teammates,Su,SR
078/070,Maxie's Hidden Ball Trick,Su,SR
079/070,Switch,I,UR
080/070,Weakness Policy,I,UR
