No.,Card name,Type,Rarity
001/054,Tangela,Grass,C
002/054,Tangrowth,Grass,U
003/054,Hoppip,Grass,C
004/054,Skiploom,Grass,C
005/054,Jumpluff,Grass,U
006/054,Yanma,Grass,C
007/054,Yanmega,Grass,U
008/054,YanmegaBREAK,Grass,RR
009/054,Larvesta,Grass,C
010/054,Volcarona,GrassFire,U
011/054,Chimchar,Fire,C
012/054,Monferno,Fire,C
013/054,Infernape,Fire,R
014/054,Mantine,Water,C
015/054,Bergmite,Water,C
016/054,Avalugg,Water,U
017/054,Mareep,Lightning,C
018/054,Flaaffy,Lightning,C
019/054,Ampharos,Lightning,R
020/054,Nidoran♂,Psychic,C
021/054,Nidorino,Psychic,C
022/054,Nidoking,Psychic,U
023/054,Hoopa,Psychic,R
024/054,Mankey,Fighting,C
025/054,Primeape,Fighting,U
026/054,Anorith,Fighting,C
027/054,Armaldo,Fighting,U
028/054,Sneasel,Darkness,C
029/054,Weavile,Darkness,U
030/054,Spiritomb,Darkness,C
031/054,Pawniard,Darkness,C
032/054,Bisharp,DarknessMetal,R
033/054,Yveltal,Darkness,R
034/054,YveltalBREAK,Darkness,RR
035/054,MagearnaEX,Metal,RR
036/054,Marill,Fairy,C
037/054,Azumarill,FairyWater,U
038/054,GardevoirEX,Fairy,RR
039/054,MegaGardevoirEX,FairyPsychic,RR
040/054,Deino,Dragon,C
041/054,Zweilous,Dragon,C
042/054,Hydreigon,Dragon,R
043/054,HydreigonBREAK,Dragon,RR
044/054,Meowth,Colorless,C
045/054,Persian,Colorless,C
046/054,Rufflet,Colorless,C
047/054,Braviary,Colorless,U
048/054,Hawlucha,Colorless,C
049/054,Claw Fossil Anorith,I,C
050/054,Special Charge,I,U
051/054,Greedy Dice,I,U
052/054,Gardevoir Spirit Link,I,U
053/054,Ninja Boy,Su,U
054/054,Pokémon Ranger,Su,U
055/054,MagearnaEX,Metal,SR
056/054,GardevoirEX,Fairy,SR
057/054,MegaGardevoirEX,FairyPsychic,SR
058/054,Pokémon Ranger,Su,SR
059/054,GardevoirEX,Fairy,UR
