No.,Card name,Type,Rarity
001/054,Seedot,Grass,C
002/054,Nuzleaf,Grass,C
003/054,Shiftry,GrassDarkness,R
004/054,Foongus,Grass,C
005/054,Amoonguss,Grass,U
006/054,Ponyta,Fire,C
007/054,Rapidash,Fire,C
008/054,Litleo,Fire,C
009/054,Pyroar,Fire,R
010/054,PyroarBREAK,Fire,RR
011/054,Volcanion,Fire,R
012/054,VolcanionEX,FireWater,RR
013/054,Shellos,Water,C
014/054,Gastrodon,Water,U
015/054,Oshawott,Water,C
016/054,Dewott,Water,C
017/054,Samurott,Water,U
018/054,Clauncher,Water,C
019/054,Clawitzer,Water,U
020/054,ClawitzerBREAK,Water,RR
021/054,Joltik,Lightning,C
022/054,Galvantula,LightningGrass,U
023/054,Drifloon,Psychic,C
024/054,Drifblim,Psychic,U
025/054,Litwick,Psychic,C
026/054,Lampent,Psychic,C
027/054,Chandelure,Psychic,R
028/054,Nosepass,Fighting,C
029/054,Probopass,Fighting,U
030/054,Croagunk,Fighting,C
031/054,Toxicroak,Fighting,U
032/054,SteelixEX,Metal,RR
033/054,MegaSteelixEX,MetalFighting,RR
034/054,Shieldon,Metal,C
035/054,Bastiodon,Metal,U
036/054,Klink,Metal,C
037/054,Klang,Metal,C
038/054,Klinklang,Metal,R
039/054,Cobalion,Metal,U
040/054,Klefki,Fairy,C
041/054,Xerneas,Fairy,R
042/054,XerneasBREAK,Fairy,RR
043/054,Druddigon,Dragon,C
044/054,Aipom,Colorless,C
045/054,Ambipom,Colorless,C
046/054,Fletchling,Colorless,C
047/054,Fletchinder,Colorless,C
048/054,Talonflame,Colorless,U
049/054,Armor Fossil Shieldon,I,C
050/054,Special Charge,I,U
051/054,Greedy Dice,I,U
052/054,Steelix Spirit Link,I,U
053/054,Ninja Boy,Su,U
054/054,Pokémon Ranger,Su,U
055/054,VolcanionEX,FireWater,SR
056/054,SteelixEX,Metal,SR
057/054,MegaSteelixEX,MetalFighting,SR
058/054,Pokémon Ranger,Su,SR
059/054,VolcanionEX,FireWater,UR
