No.,Mark,Card name,Type,Rarity
001/049,A,Bellsprout,Grass,—
002/049,A,Weepinbell,Grass,—
003/049,A,Victreebel,Grass,—
004/049,A,Ledyba,Grass,—
005/049,A,Ledian,Grass,—
006/049,A,Tapu Bulu,Grass,—
007/049,A,Tapu BuluGX,Grass,RR
008/049,A,Salandit,Fire,—
009/049,A,Salazzle,Fire,—
010/049,A,SalazzleGX,Fire,RR
011/049,A,Alolan Sandshrew,Water,—
012/049,A,Alolan Sandslash,Water,—
013/049,A,Alolan Vulpix,Water,—
014/049,A,Alolan Ninetales,Water,—
015/049,A,Wailmer,Water,—
016/049,A,Wailord,Water,—
017/049,A,Wishiwashi,Water,—
018/049,A,Tapu FiniGX,Water,RR
019/049,A,Electabuzz,Lightning,—
020/049,A,Electivire,Lightning,—
021/049,A,Tapu Koko,Lightning,—
022/049,A,Slowpoke,Psychic,—
023/049,A,Slowking,Psychic,—
024/049,A,Trubbish,Psychic,—
025/049,A,Garbodor,Psychic,—
026/049,A,Tapu Lele,Psychic,—
027/049,A,Machop,Fighting,—
028/049,A,Machoke,Fighting,—
029/049,A,MachampGX,Fighting,RR
030/049,A,Lunatone,Fighting,—
031/049,A,Solrock,Fighting,—
032/049,A,Rockruff,Fighting,—
033/049,A,Lycanroc,Fighting,—
034/049,A,LycanrocGX,Fighting,RR
035/049,A,Murkrow,Darkness,—
036/049,A,Honchkrow,Darkness,—
037/049,A,Sneasel,Darkness,—
038/049,A,Weavile,Darkness,—
039/049,A,Sableye,Darkness,—
040/049,A,DarkraiGX,Darkness,RR
041/049,A,Cottonee,Fairy,—
042/049,A,Whimsicott,Fairy,—
043/049,A,Komala,Colorless,—
044/049,A,Escape Rope,I,—
045/049,A,Weakness Policy,I,—
046/049,A,Wishful Baton,I,—
047/049,A,Acerola,Su,—
048/049,A,Sophocles,Su,—
049/049,A,Olivia,Su,—
050/049,A,Tapu BuluGX,Grass,SR
051/049,A,SalazzleGX,Fire,SR
052/049,A,Tapu FiniGX,Water,SR
053/049,A,MachampGX,Fighting,SR
054/049,A,LycanrocGX,Fighting,SR
055/049,A,DarkraiGX,Darkness,SR
056/049,A,Acerola,Su,SR
057/049,A,Sophocles,Su,SR
058/049,A,Tapu BuluGX,Grass,HR
059/049,A,SalazzleGX,Fire,HR
060/049,A,Tapu FiniGX,Water,HR
061/049,A,MachampGX,Fighting,HR
062/049,A,LycanrocGX,Fighting,HR
063/049,A,DarkraiGX,Darkness,HR
064/049,A,Choice Band,I,UR
065/049,A,Multi Switch,I,UR
066/049,—,Darkness Energy,Darkness E,UR
—,—,Darkness Energy,Darkness E,—
—,—,Fighting Energy,Fighting E,—
—,—,Lightning Energy,Lightning E,—
—,—,Water Energy,Water E,—
