No.,Mark,Card name,Type,Rarity
001/070,E,Cacnea,Grass,C
002/070,E,Cacturne,Grass,C
003/070,E,Durant,Grass,C
004/070,E,Scatterbug,Grass,C
005/070,E,Spewpa,Grass,C
006/070,E,Vivillon,Grass,U
007/070,E,FlappleV,Grass,RR
008/070,E,FlappleVMAX,Grass,RRR
009/070,E,Entei,Fire,R
010/070,E,Tepig,Fire,C
011/070,E,Pignite,Fire,U
012/070,E,Emboar,Fire,R
013/070,E,Salandit,Fire,C
014/070,E,Salazzle,Fire,U
015/070,E,Electabuzz,Lightning,C
016/070,E,Electivire,Lightning,U
017/070,E,Tapu KokoV,Lightning,RR
018/070,E,Tapu KokoVMAX,Lightning,RRR
019/070,E,Yamper,Lightning,C
020/070,E,Boltund,Lightning,U
021/070,E,Galarian Slowpoke,Psychic,C
022/070,E,Spoink,Psychic,C
023/070,E,Grumpig,Psychic,C
024/070,E,Chimecho,Psychic,C
025/070,E,Espurr,Psychic,C
026/070,E,Meowstic,Psychic,R
027/070,E,MimikyuV,Psychic,RR
028/070,E,Mankey,Fighting,C
029/070,E,Primeape,Fighting,U
030/070,E,Gligar,Fighting,C
031/070,E,Gliscor,Fighting,C
032/070,E,Rolycoly,Fighting,C
033/070,E,Carkol,Fighting,U
034/070,E,Coalossal,Fighting,R
035/070,E,Stonjourner,Fighting,U
036/070,E,Single Strike UrshifuV,Fighting,RR
037/070,E,Single Strike UrshifuVMAX,Fighting,RRR
038/070,E,Zubat,Darkness,C
039/070,E,Golbat,Darkness,U
040/070,E,Crobat,Darkness,R
041/070,E,Galarian Slowbro,Darkness,U
042/070,E,Murkrow,Darkness,C
043/070,E,Honchkrow,Darkness,C
044/070,E,Houndour,Darkness,C
045/070,E,Houndoom,Darkness,R
046/070,E,TyranitarV,Darkness,RR
047/070,E,Morpeko,Darkness,C
048/070,E,Mawile,Metal,C
049/070,E,Bronzor,Metal,C
050/070,E,Bronzong,Metal,R
051/070,E,Honedge,Metal,C
052/070,E,Doublade,Metal,C
053/070,E,Aegislash,Metal,R
054/070,E,Aegislash,Metal,U
055/070,E,Spearow,Colorless,C
056/070,E,Fearow,Colorless,C
057/070,E,Lickitung,Colorless,C
058/070,E,Lickilicky,Colorless,U
059/070,E,StoutlandV,Colorless,RR
060/070,E,Drampa,Colorless,U
061/070,E,Escape Rope,I,U
062/070,E,Urn of Vitality,I,U
063/070,E,Camping Gear,I,U
064/070,E,Single Strike Scroll of Scorn,I,U
065/070,E,Exp. Share,I,U
066/070,E,Bruno,Su,U
067/070,E,Phoebe,Su,U
068/070,E,Single Strike Style Mustard,Su,U
069/070,E,Tower of Darkness,St,U
070/070,E,Single Strike Energy,Fighting E,U
071/070,E,FlappleV,Grass,SR
072/070,E,Tapu KokoV,Lightning,SR
073/070,E,MimikyuV,Psychic,SR
074/070,E,Single Strike UrshifuV,Fighting,SR
075/070,E,Single Strike UrshifuV,Fighting,SR
076/070,E,TyranitarV,Darkness,SR
077/070,E,TyranitarV,Darkness,SR
078/070,E,StoutlandV,Colorless,SR
079/070,E,Bruno,Su,SR
080/070,E,Phoebe,Su,SR
081/070,E,Single Strike Style Mustard,Su,SR
082/070,E,FlappleVMAX,Grass,HR
083/070,E,Tapu KokoVMAX,Lightning,HR
084/070,E,Single Strike UrshifuVMAX,Fighting,HR
085/070,E,Single Strike UrshifuVMAX,Fighting,HR
086/070,E,Bruno,Su,HR
087/070,E,Phoebe,Su,HR
088/070,E,Single Strike Style Mustard,Su,HR
089/070,E,Houndoom,Darkness,UR
090/070,E,Exp. Share,I,UR
091/070,E,Single Strike Energy,Fighting E,UR
