No.,Mark,Card name,Type,Rarity
001/070,E,Bellsprout,Grass,C
002/070,E,Weepinbell,Grass,C
003/070,E,Victreebel,Grass,U
004/070,E,KricketuneV,Grass,RR
005/070,E,Cherubi,Grass,C
006/070,E,Cherrim,Grass,R
007/070,E,Carnivine,Grass,C
008/070,E,Fomantis,Grass,C
009/070,E,Lurantis,Grass,U
010/070,E,Tapu Bulu,Grass,R
011/070,E,Blipbug,Grass,C
012/070,E,VictiniV,Fire,RR
013/070,E,VictiniVMAX,Fire,RRR
014/070,E,Heatmor,Fire,C
015/070,E,Sizzlipede,Fire,C
016/070,E,Centiskorch,Fire,U
017/070,E,Horsea,Water,C
018/070,E,Seadra,Water,U
019/070,E,Kingdra,Water,R
020/070,E,Galarian Mr. Mime,Water,C
021/070,E,Galarian Mr. Rime,Water,U
022/070,E,Remoraid,Water,C
023/070,E,Octillery,Water,R
024/070,E,Corphish,Water,C
025/070,E,Crawdaunt,Water,C
026/070,E,EmpoleonV,Water,RR
027/070,E,Frillish,Water,C
028/070,E,Jellicent,Water,U
029/070,E,Bruxish,Water,C
030/070,E,Shinx,Lightning,C
031/070,E,Luxio,Lightning,U
032/070,E,Luxray,Lightning,R
033/070,E,Pachirisu,Lightning,C
034/070,E,Baltoy,Psychic,C
035/070,E,Claydol,Psychic,U
036/070,E,NecrozmaV,Psychic,RR
037/070,E,Dottler,Psychic,U
038/070,E,Orbeetle,Psychic,R
039/070,E,Onix,Fighting,C
040/070,E,Cubone,Fighting,C
041/070,E,Marowak,Fighting,U
042/070,E,Timburr,Fighting,C
043/070,E,Gurdurr,Fighting,C
044/070,E,Conkeldurr,Fighting,U
045/070,E,Mienfoo,Fighting,C
046/070,E,Mienshao,Fighting,U
047/070,E,Silicobra,Fighting,C
048/070,E,Sandaconda,Fighting,R
049/070,E,Falinks,Fighting,U
050/070,E,Rapid Strike UrshifuV,Fighting,RR
051/070,E,Rapid Strike UrshifuVMAX,Fighting,RRR
052/070,E,Steelix,Metal,R
053/070,E,Pawniard,Metal,C
054/070,E,Bisharp,Metal,C
055/070,E,CorviknightV,Metal,RR
056/070,E,CorviknightVMAX,Metal,RRR
057/070,E,Glameow,Colorless,C
058/070,E,Purugly,Colorless,C
059/070,E,Bouffalant,Colorless,C
060/070,E,Indeedee,Colorless,C
061/070,E,Fan of Waves,I,U
062/070,E,Energy Recycler,I,U
063/070,E,Level Ball,I,U
064/070,E,Tool Jammer,I,U
065/070,E,Rapid Strike Scroll of Swirls,I,U
066/070,E,Korrina's Focus,Su,U
067/070,E,Rapid Strike Style Mustard,Su,U
068/070,E,Cheryl,Su,U
069/070,E,Tower of Waters,St,U
070/070,E,Rapid Strike Energy,Fighting E,U
071/070,E,KricketuneV,Grass,SR
072/070,E,VictiniV,Fire,SR
073/070,E,EmpoleonV,Water,SR
074/070,E,EmpoleonV,Water,SR
075/070,E,NecrozmaV,Psychic,SR
076/070,E,Rapid Strike UrshifuV,Fighting,SR
077/070,E,Rapid Strike UrshifuV,Fighting,SR
078/070,E,CorviknightV,Metal,SR
079/070,E,Korrina's Focus,Su,SR
080/070,E,Rapid Strike Style Mustard,Su,SR
081/070,E,Cheryl,Su,SR
082/070,E,VictiniVMAX,Fire,HR
083/070,E,Rapid Strike UrshifuVMAX,Fighting,HR
084/070,E,Rapid Strike UrshifuVMAX,Fighting,HR
085/070,E,CorviknightVMAX,Metal,HR
086/070,E,Korrina's Focus,Su,HR
087/070,E,Rapid Strike Style Mustard,Su,HR
088/070,E,Cheryl,Su,HR
089/070,E,Octillery,Water,UR
090/070,E,Level Ball,I,UR
091/070,E,Rapid Strike Energy,Fighting E,UR
