No.,Mark,Card name,Type,Rarity
001/067,E,Hoppip,Grass,C
002/067,E,Skiploom,Grass,C
003/067,E,Jumpluff,Grass,R
004/067,E,Tropius,Grass,C
005/067,E,Pansage,Grass,C
006/067,E,Simisage,Grass,C
007/067,E,TrevenantV,Grass,RR
008/067,E,TrevenantVMAX,Grass,RRR
009/067,E,Applin,Grass,C
010/067,E,Vulpix,Fire,C
011/067,E,Ninetales,Fire,C
012/067,E,Victini,Fire,R
013/067,E,Pansear,Fire,C
014/067,E,Simisear,Fire,C
015/067,E,VolcaronaV,Fire,RR
016/067,E,Sizzlipede,Fire,C
017/067,E,Centiskorch,Fire,U
018/067,E,Shellder,Water,C
019/067,E,Cloyster,Water,U
020/067,E,GyaradosV,Water,RR
021/067,E,GyaradosVMAX,Water,RRR
022/067,E,Galarian Darumaka,Water,C
023/067,E,Galarian Darmanitan,Water,C
024/067,E,Cryogonal,Water,C
025/067,E,Wishiwashi,Water,U
026/067,E,Mareep,Lightning,C
027/067,E,Flaaffy,Lightning,U
028/067,E,Ampharos,Lightning,U
029/067,E,Plusle,Lightning,C
030/067,E,Minun,Lightning,C
031/067,E,Toxel,Lightning,C
032/067,E,Toxtricity,Lightning,R
033/067,E,Regieleki,Lightning,R
034/067,E,Sandshrew,Fighting,C
035/067,E,Sandslash,Fighting,C
036/067,E,MedichamV,Fighting,RR
037/067,E,Baltoy,Fighting,C
038/067,E,Claydol,Fighting,U
039/067,E,Landorus,Fighting,R
040/067,E,Stufful,Fighting,C
041/067,E,Bewear,Fighting,C
042/067,E,DragoniteV,Dragon,RR
043/067,E,Bagon,Dragon,C
044/067,E,Shelgon,Dragon,C
045/067,E,Salamence,Dragon,R
046/067,E,RayquazaV,Dragon,RR
047/067,E,RayquazaVMAX,Dragon,RRR
048/067,E,Zygarde,Dragon,R
049/067,E,Turtonator,Dragon,U
050/067,E,Flapple,Dragon,U
051/067,E,Appletun,Dragon,U
052/067,E,Regidrago,Dragon,R
053/067,E,Chansey,Colorless,C
054/067,E,Blissey,Colorless,U
055/067,E,Stantler,Colorless,C
056/067,E,Lucky Ice Pop,I,U
057/067,D,Great Ball,I,U
058/067,E,Toy Catcher,I,U
059/067,D,Switch,I,U
060/067,E,Rubber Gloves,I,U
061/067,E,Spirit Mask,I,U
062/067,E,Rapid Strike Scroll of the Flying Dragon,I,U
063/067,E,Shauna,Su,C
064/067,E,Schoolboy,Su,C
065/067,E,Zinnia's Resolve,Su,U
066/067,E,Stormy Mountains,St,U
067/067,D,Aurora Energy,Rainbow E,U
068/067,E,TrevenantV,Grass,SR
069/067,E,VolcaronaV,Fire,SR
070/067,E,GyaradosV,Water,SR
071/067,E,MedichamV,Fighting,SR
072/067,E,MedichamV,Fighting,SR
073/067,E,DragoniteV,Dragon,SR
074/067,E,DragoniteV,Dragon,SR
075/067,E,RayquazaV,Dragon,SR
076/067,E,RayquazaV,Dragon,SR
077/067,E,Shauna,Su,SR
078/067,E,Schoolboy,Su,SR
079/067,E,Zinnia's Resolve,Su,SR
080/067,E,TrevenantVMAX,Grass,HR
081/067,E,GyaradosVMAX,Water,HR
082/067,E,RayquazaVMAX,Dragon,HR
083/067,E,RayquazaVMAX,Dragon,HR
084/067,E,Shauna,Su,HR
085/067,E,Schoolboy,Su,HR
086/067,E,Zinnia's Resolve,Su,HR
087/067,E,Froslass,Water,UR
088/067,E,Toy Catcher,I,UR
089/067,E,Stormy Mountains,St,UR
090/067,—,Lightning Energy,Lightning E,UR
