No.,Mark,Card name,Type,Rarity
001/071,G,Hoppip,Grass,C
002/071,G,Skiploom,Grass,C
003/071,G,Jumpluff,Grass,R
004/071,G,Pineco,Grass,C
005/071,G,Forretressex,Grass,RR
006/071,G,Heracross,Grass,U
007/071,G,Tarountula,Grass,C
008/071,G,Tarountula,Grass,C
009/071,G,Spidops,Grass,U
010/071,G,Numel,Fire,C
011/071,G,Camerupt,Fire,U
012/071,G,Fletchinder,Fire,C
013/071,G,Talonflame,Fire,U
014/071,G,Charcadet,Fire,C
015/071,G,Charcadet,Fire,C
016/071,G,Chi-Yuex,Fire,RR
017/071,G,Pikachu,Lightning,C
018/071,G,Raichu,Lightning,U
019/071,G,Shinx,Lightning,C
020/071,G,Luxio,Lightning,C
021/071,G,Luxray,Lightning,R
022/071,G,Pincurchin,Lightning,U
023/071,G,Tadbulb,Lightning,C
024/071,G,Tadbulb,Lightning,C
025/071,G,Belliboltex,Lightning,RR
026/071,G,Jigglypuff,Psychic,C
027/071,G,Wigglytuff,Psychic,R
028/071,G,Spiritomb,Psychic,R
029/071,G,Sandygast,Psychic,C
030/071,G,Palossand,Psychic,U
031/071,G,Ceruledge,Psychic,R
032/071,G,Tinkatink,Psychic,C
033/071,G,Tinkatink,Psychic,C
034/071,G,Tinkatuff,Psychic,C
035/071,G,Tinkatonex,Psychic,RR
036/071,G,Larvitar,Fighting,C
037/071,G,Pupitar,Fighting,C
038/071,G,Barboach,Fighting,C
039/071,G,Whiscash,Fighting,U
040/071,G,Croagunk,Fighting,C
041/071,G,Toxicroak,Fighting,U
042/071,G,Crabrawler,Fighting,C
043/071,G,Crabominable,Fighting,U
044/071,G,Passimian,Fighting,U
045/071,G,Nacli,Fighting,C
046/071,G,Nacli,Fighting,C
047/071,G,Naclstack,Fighting,C
048/071,G,Garganacl,Fighting,R
049/071,G,Ting-Luex,Fighting,RR
050/071,G,Sneasel,Darkness,C
051/071,G,Weavile,Darkness,R
052/071,G,Tyranitar,Darkness,R
053/071,G,Shroodle,Darkness,C
054/071,G,Shroodle,Darkness,C
055/071,G,Grafaiai,Darkness,U
056/071,G,Bombirdier,Darkness,U
057/071,G,Noibat,Dragon,C
058/071,G,Noivernex,Dragon,RR
059/071,G,Girafarig,Colorless,C
060/071,G,Farigiraf,Colorless,U
061/071,G,Fletchling,Colorless,C
062/071,G,Tandemaus,Colorless,C
063/071,G,Tandemaus,Colorless,C
064/071,G,Maushold,Colorless,U
065/071,G,Flamigo,Colorless,U
066/071,G,Delivery Drone,I,U
067/071,G,Bravery Charm,PT,U
068/071,G,Saguaro,Su,U
069/071,G,Iono,Su,U
070/071,G,Calamitous Wasteland,St,U
071/071,G,Therapeutic Energy,Colorless E,U
072/071,G,Heracross,Grass,AR
073/071,G,Fletchinder,Fire,AR
074/071,G,Raichu,Lightning,AR
075/071,G,Sandygast,Psychic,AR
076/071,G,Tinkatink,Psychic,AR
077/071,G,Tinkatuff,Psychic,AR
078/071,G,Nacli,Fighting,AR
079/071,G,Tyranitar,Darkness,AR
080/071,G,Grafaiai,Darkness,AR
081/071,G,Maushold,Colorless,AR
082/071,G,Flamigo,Colorless,AR
083/071,G,Farigiraf,Colorless,AR
084/071,G,Forretressex,Grass,SR
085/071,G,Chi-Yuex,Fire,SR
086/071,G,Belliboltex,Lightning,SR
087/071,G,Tinkatonex,Psychic,SR
088/071,G,Ting-Luex,Fighting,SR
089/071,G,Noivernex,Dragon,SR
090/071,G,Saguaro,Su,SR
091/071,G,Iono,Su,SR
092/071,G,Chi-Yuex,Fire,SAR
093/071,G,Tinkatonex,Psychic,SAR
094/071,G,Ting-Luex,Fighting,SAR
095/071,G,Saguaro,Su,SAR
096/071,G,Iono,Su,SAR
097/071,G,Ting-Luex,Fighting,UR
098/071,G,Superior Energy Retrieval,I,UR
099/071,—,Basic Grass Energy,Grass E,UR
