No.,Mark,Card name,Type,Rarity
001/071,G,Surskit,Grass,C
002/071,G,Masquerain,Grass,U
003/071,G,Combee,Grass,C
004/071,G,Vespiquen,Grass,U
005/071,G,Snover,Grass,C
006/071,G,Abomasnow,Grass,R
007/071,G,Bounsweet,Grass,C
008/071,G,Steenee,Grass,C
009/071,G,Tsareena,Grass,U
010/071,G,Bramblin,Grass,C
011/071,G,Bramblin,Grass,C
012/071,G,Brambleghast,Grass,U
013/071,G,Rellor,Grass,C
014/071,G,Rellor,Grass,C
015/071,G,Wo-Chienex,Grass,RR
016/071,G,Marill,Water,C
017/071,G,Azumarill,Water,U
018/071,G,Luvdisc,Water,C
019/071,G,Eiscue,Water,U
020/071,G,Cetoddle,Water,C
021/071,G,Cetoddle,Water,C
022/071,G,Cetitan,Water,U
023/071,G,Veluza,Water,R
024/071,G,Frigibax,Water,C
025/071,G,Frigibax,Water,C
026/071,G,Arctibax,Water,C
027/071,G,Baxcalibur,Water,R
028/071,G,Chien-Paoex,Water,RR
029/071,G,Slowpoke,Psychic,C
030/071,G,Slowkingex,Psychic,RR
031/071,G,Gothita,Psychic,C
032/071,G,Gothorita,Psychic,C
033/071,G,Gothitelle,Psychic,U
034/071,G,Mimikyu,Psychic,R
035/071,G,Sinistea,Psychic,C
036/071,G,Polteageist,Psychic,U
037/071,G,Rabsca,Psychic,R
038/071,G,Mankey,Fighting,C
039/071,G,Primeape,Fighting,C
040/071,G,Annihilapeex,Fighting,RR
041/071,G,Sudowoodo,Fighting,U
042/071,G,Glimmet,Fighting,C
043/071,G,Glimmet,Fighting,C
044/071,G,Glimmora,Fighting,R
045/071,G,Murkrow,Darkness,C
046/071,G,Honchkrow,Darkness,U
047/071,G,Maschiff,Darkness,C
048/071,G,Maschiff,Darkness,C
049/071,G,Mabosstiff,Darkness,U
050/071,G,Bronzor,Metal,C
051/071,G,Bronzong,Metal,U
052/071,G,Corviknight,Metal,U
053/071,G,Cufant,Metal,C
054/071,G,Copperajahex,Metal,RR
055/071,G,Orthworm,Metal,R
056/071,G,Dunsparce,Colorless,C
057/071,G,Dudunsparce,Colorless,U
058/071,G,Wingull,Colorless,C
059/071,G,Pelipper,Colorless,U
060/071,G,Slakoth,Colorless,C
061/071,G,Vigoroth,Colorless,C
062/071,G,Slaking,Colorless,R
063/071,G,Rookidee,Colorless,C
064/071,G,Corvisquire,Colorless,C
065/071,G,Squawkabillyex,Colorless,RR
066/071,G,Super Rod,I,U
067/071,G,Fighting Au Lait,I,U
068/071,G,Grusha,Su,U
069/071,G,Giacomo,Su,U
070/071,G,Calamitous Snowy Mountain,St,U
071/071,G,Reversal Energy,Rainbow E,U
072/071,G,Bramblin,Grass,AR
073/071,G,Marill,Water,AR
074/071,G,Eiscue,Water,AR
075/071,G,Frigibax,Water,AR
076/071,G,Arctibax,Water,AR
077/071,G,Baxcalibur,Water,AR
078/071,G,Gothorita,Psychic,AR
079/071,G,Rabsca,Psychic,AR
080/071,G,Sudowoodo,Fighting,AR
081/071,G,Orthworm,Metal,AR
082/071,G,Rookidee,Colorless,AR
083/071,G,Dudunsparce,Colorless,AR
084/071,G,Wo-Chienex,Grass,SR
085/071,G,Chien-Paoex,Water,SR
086/071,G,Slowkingex,Psychic,SR
087/071,G,Annihilapeex,Fighting,SR
088/071,G,Copperajahex,Metal,SR
089/071,G,Squawkabillyex,Colorless,SR
090/071,G,Grusha,Su,SR
091/071,G,Giacomo,Su,SR
092/071,G,Wo-Chienex,Grass,SAR
093/071,G,Chien-Paoex,Water,SAR
094/071,G,Squawkabillyex,Colorless,SAR
095/071,G,Grusha,Su,SAR
096/071,G,Giacomo,Su,SAR
097/071,G,Chien-Paoex,Water,UR
098/071,G,Super Rod,I,UR
099/071,—,Basic Water Energy,Water E,UR
