No.,Mark,Card name,Type,Rarity
001/062,G,Froslassex,Grass,RR
002/062,G,Lapras,Water,C
003/062,G,Remoraid,Water,C
004/062,G,Octillery,Water,C
005/062,G,Snorunt,Water,C
006/062,G,Garchompex,Water,RR
007/062,G,Mantyke,Water,C
008/062,G,Palkia,Water,R
009/062,G,Wimpod,Water,C
010/062,G,Golisopod,Water,R
011/062,G,Dondozo,Water,U
012/062,G,Chinchou,Lightning,C
013/062,G,Lanturn,Lightning,U
014/062,G,Plusle,Lightning,C
015/062,G,Minun,Lightning,C
016/062,G,Joltik,Lightning,C
017/062,G,Galvantula,Lightning,C
018/062,G,Zekrom,Lightning,R
019/062,G,Tapu Kokoex,Lightning,RR
020/062,G,Gimmighoul,Psychic,C
021/062,G,Gimmighoul,Psychic,C
022/062,G,Gligar,Fighting,C
023/062,G,Gliscor,Fighting,U
024/062,G,Phanpy,Fighting,C
025/062,G,Donphan,Fighting,U
026/062,G,Groudon,Fighting,R
027/062,G,Gible,Fighting,C
028/062,G,Gabite,Fighting,C
029/062,G,Hoopaex,Fighting,RR
030/062,G,Minior,Fighting,U
031/062,G,Klawf,Fighting,U
032/062,G,Flamigo,Fighting,C
033/062,G,Gastly,Darkness,C
034/062,G,Haunter,Darkness,C
035/062,G,Gengar,Darkness,U
036/062,G,Absol,Darkness,U
037/062,G,Scraggy,Darkness,C
038/062,G,Scrafty,Darkness,U
039/062,G,Yveltal,Darkness,R
040/062,G,Nickit,Darkness,C
041/062,G,Thievul,Darkness,R
042/062,G,Jirachi,Metal,C
043/062,G,Ferroseed,Metal,C
044/062,G,Ferrothorn,Metal,U
045/062,G,Honedge,Metal,C
046/062,G,Doublade,Metal,C
047/062,G,Aegislash,Metal,R
048/062,G,Zacian,Metal,R
049/062,G,Orthworm,Metal,U
050/062,G,Gholdengoex,Metal,RR
051/062,G,Bombirdierex,Colorless,RR
052/062,G,Cyclizar,Colorless,U
053/062,G,Rare Candy,I,U
054/062,G,Switch,I,U
055/062,G,Luxurious Cape,PT,U
056/062,G,Technical Machine: Turbo Energize,PT,U
057/062,G,Technical Machine: Blindside,PT,U
058/062,G,Larry,Su,C
059/062,G,Shauntal,Su,U
060/062,G,Rika,Su,U
061/062,G,Parasol Lady,Su,C
062/062,G,Medical Energy,Colorless E,U
063/062,G,Snorunt,Water,AR
064/062,G,Mantyke,Water,AR
065/062,G,Plusle,Lightning,AR
066/062,G,Minun,Lightning,AR
067/062,G,Joltik,Lightning,AR
068/062,G,Gimmighoul,Psychic,AR
069/062,G,Groudon,Fighting,AR
070/062,G,Minior,Fighting,AR
071/062,G,Yveltal,Darkness,AR
072/062,G,Ferrothorn,Metal,AR
073/062,G,Aegislash,Metal,AR
074/062,G,Cyclizar,Colorless,AR
075/062,G,Froslassex,Grass,SR
076/062,G,Garchompex,Water,SR
077/062,G,Tapu Kokoex,Lightning,SR
078/062,G,Hoopaex,Fighting,SR
079/062,G,Gholdengoex,Metal,SR
080/062,G,Bombirdierex,Colorless,SR
081/062,G,Larry,Su,SR
082/062,G,Shauntal,Su,SR
083/062,G,Rika,Su,SR
084/062,G,Parasol Lady,Su,SR
085/062,G,Garchompex,Water,SAR
086/062,G,Tapu Kokoex,Lightning,SAR
087/062,G,Gholdengoex,Metal,SAR
088/062,G,Rika,Su,SAR
089/062,G,Parasol Lady,Su,SAR
090/062,G,Garchompex,Water,UR
091/062,G,Beach Court,St,UR
092/062,G,Reversal Energy,Rainbow E,UR
