No.,Mark,Card name,Type,Rarity
001/071,H,Scyther,Grass,C
002/071,H,Pineco,Grass,C
003/071,H,Seedot,Grass,C
004/071,H,Nuzleaf,Grass,C
005/071,H,Shiftry,Grass,U
006/071,H,Shroomish,Grass,C
007/071,H,Breloom,Grass,C
008/071,H,Deerling,Grass,C
009/071,H,Sawsbuck,Grass,U
010/071,H,Grubbin,Grass,C
011/071,H,Dhelmise,Grass,U
012/071,H,Bramblin,Grass,C
013/071,H,Brambleghast,Grass,R
014/071,H,Rellor,Grass,C
015/071,H,Rabsca,Grass,U
016/071,H,Iron Leavesex,Grass,RR
017/071,H,Slugma,Fire,C
018/071,H,Magcargo,Fire,R
019/071,H,Victini,Fire,C
020/071,H,Litten,Fire,C
021/071,H,Torracat,Fire,C
022/071,H,Incineroarex,Fire,RR
023/071,H,Pikachu,Lightning,C
024/071,H,Raichu,Lightning,C
025/071,H,Electabuzz,Lightning,C
026/071,H,Electivire,Lightning,U
027/071,H,Charjabug,Lightning,C
028/071,H,Vikavolt,Lightning,U
029/071,H,Zeraora,Lightning,U
030/071,H,Iron Thorns,Lightning,R
031/071,H,Mr. Mime,Psychic,C
032/071,H,Girafarig,Psychic,C
033/071,H,Cutiefly,Psychic,C
034/071,H,Ribombee,Psychic,U
035/071,H,Iron Valiant,Psychic,R
036/071,H,Iron Crownex,Psychic,RR
037/071,H,Meditite,Fighting,C
038/071,H,Medicham,Fighting,C
039/071,H,Drilbur,Fighting,C
040/071,H,Excadrill,Fighting,U
041/071,H,Iron Boulderex,Fighting,RR
042/071,H,Farigirafex,Darkness,RR
043/071,H,Forretress,Metal,U
044/071,H,Scizorex,Metal,RR
045/071,H,Mawile,Metal,C
046/071,H,Beldum,Metal,C
047/071,H,Metang,Metal,C
048/071,H,Metagross,Metal,U
049/071,H,Meltan,Metal,C
050/071,H,Melmetal,Metal,R
051/071,H,Iron Treads,Metal,U
052/071,H,Miraidon,Dragon,R
053/071,H,Lickitung,Colorless,C
054/071,H,Lickilicky,Colorless,C
055/071,H,Skitty,Colorless,C
056/071,H,Delcatty,Colorless,U
057/071,H,Pidove,Colorless,C
058/071,H,Tranquill,Colorless,C
059/071,H,Unfezant,Colorless,U
060/071,H,Drampa,Colorless,R
061/071,H,Hand Trimmer,I,U
062/071,H,Prime Catcher,I,ACE
063/071,H,Reboot Pod,I,ACE
064/071,H,Hero's Cape,PT,ACE
065/071,G,Future Booster Energy Capsule,PT,U
066/071,H,Heavy Baton,PT,U
067/071,H,Ciphermaniac's Codebreaking,Su,U
068/071,H,Salvatore,Su,U
069/071,H,Bianca's Devotion,Su,U
070/071,H,Full Metal Lab,St,U
071/071,H,Mist Energy,Colorless E,U
072/071,H,Shiftry,Grass,AR
073/071,H,Deerling,Grass,AR
074/071,H,Sawsbuck,Grass,AR
075/071,H,Litten,Fire,AR
076/071,H,Charjabug,Lightning,AR
077/071,H,Iron Thorns,Lightning,AR
078/071,H,Cutiefly,Psychic,AR
079/071,H,Excadrill,Fighting,AR
080/071,H,Metagross,Metal,AR
081/071,H,Meltan,Metal,AR
082/071,H,Lickitung,Colorless,AR
083/071,H,Drampa,Colorless,AR
084/071,H,Iron Leavesex,Grass,SR
085/071,H,Incineroarex,Fire,SR
086/071,H,Iron Crownex,Psychic,SR
087/071,H,Iron Boulderex,Fighting,SR
088/071,H,Farigirafex,Darkness,SR
089/071,H,Scizorex,Metal,SR
090/071,H,Ciphermaniac's Codebreaking,Su,SR
091/071,H,Salvatore,Su,SR
092/071,H,Bianca's Devotion,Su,SR
093/071,H,Iron Leavesex,Grass,SAR
094/071,H,Iron Crownex,Psychic,SAR
095/071,H,Iron Boulderex,Fighting,SAR
096/071,H,Salvatore,Su,SAR
097/071,H,Bianca's Devotion,Su,SAR
098/071,H,Iron Leavesex,Grass,UR
099/071,H,Iron Crownex,Psychic,UR
100/071,H,Iron Boulderex,Fighting,UR
