No.,Mark,Card name,Type,Rarity
001/086,I,Sewaddle,Grass,C
002/086,I,Swadloon,Grass,C
003/086,I,Leavanny,Grass,U
004/086,I,Cottonee,Grass,C
005/086,I,Whimsicottex,Grass,RR
006/086,I,Deerling,Grass,C
007/086,I,Sawsbuck,Grass,U
008/086,I,Shelmet,Grass,C
009/086,I,Accelgor,Grass,U
010/086,I,Virizion,Grass,R
011/086,I,Tepig,Fire,C
012/086,I,Pignite,Fire,C
013/086,I,Emboar,Fire,R
014/086,I,Pansear,Fire,C
015/086,I,Simisear,Fire,U
016/086,I,Heatmor,Fire,U
017/086,I,Reshiramex,Fire,RR
018/086,I,Oshawott,Water,C
019/086,I,Dewott,Water,C
020/086,I,Samurott,Water,R
021/086,I,Basculin,Water,C
022/086,I,Ducklett,Water,C
023/086,I,Swanna,Water,U
024/086,I,Vanillite,Water,C
025/086,I,Vanillish,Water,C
026/086,I,Vanilluxe,Water,U
027/086,I,Keldeoex,Water,RR
028/086,I,Blitzle,Lightning,C
029/086,I,Zebstrika,Lightning,U
030/086,I,Joltik,Lightning,C
031/086,I,Galvantula,Lightning,U
032/086,I,Stunfisk,Lightning,U
033/086,I,Woobat,Psychic,C
034/086,I,Swoobat,Psychic,U
035/086,I,Sigilyph,Psychic,U
036/086,I,Yamask,Psychic,C
037/086,I,Cofagrigus,Psychic,R
038/086,I,Gothita,Psychic,C
039/086,I,Gothorita,Psychic,C
040/086,I,Gothitelle,Psychic,R
041/086,I,Frillish,Psychic,C
042/086,I,Jellicentex,Psychic,RR
043/086,I,Roggenrola,Fighting,C
044/086,I,Boldore,Fighting,C
045/086,I,Gigalith,Fighting,U
046/086,I,Sawk,Fighting,U
047/086,I,Archen,Fighting,U
048/086,I,Archeops,Fighting,R
049/086,I,Mienfoo,Fighting,C
050/086,I,Mienshao,Fighting,U
051/086,I,Terrakion,Fighting,R
052/086,I,Purrloin,Darkness,C
053/086,I,Liepard,Darkness,U
054/086,I,Scraggy,Darkness,C
055/086,I,Scrafty,Darkness,U
056/086,I,Trubbish,Darkness,C
057/086,I,Garbodor,Darkness,U
058/086,I,Zorua,Darkness,C
059/086,I,Zoroark,Darkness,R
060/086,I,Deino,Darkness,C
061/086,I,Zweilous,Darkness,C
062/086,I,Hydreigonex,Darkness,RR
063/086,I,Ferroseed,Metal,C
064/086,I,Ferrothorn,Metal,U
065/086,I,Klink,Metal,C
066/086,I,Klang,Metal,C
067/086,I,Klinklang,Metal,R
068/086,I,Durant,Metal,U
069/086,I,Druddigon,Dragon,U
070/086,I,Patrat,Colorless,C
071/086,I,Watchog,Colorless,U
072/086,I,Lillipup,Colorless,C
073/086,I,Herdier,Colorless,C
074/086,I,Stoutland,Colorless,U
075/086,I,Bouffalantex,Colorless,RR
076/086,I,Rufflet,Colorless,C
077/086,I,Braviary,Colorless,U
078/086,I,Tornadus,Colorless,R
079/086,I,Energy Retrieval,I,U
080/086,I,Tool Scrapper,I,U
081/086,I,Antique Plume Fossil,I,C
082/086,I,Brave Bangle,PT,U
083/086,I,Harlequin,Su,U
084/086,I,Cheren,Su,U
085/086,I,Hilda,Su,U
086/086,I,Ignition Energy,Colorless E,U
087/086,I,Sewaddle,Grass,AR
088/086,I,Swadloon,Grass,AR
089/086,I,Leavanny,Grass,AR
090/086,I,Cottonee,Grass,AR
091/086,I,Deerling,Grass,AR
092/086,I,Sawsbuck,Grass,AR
093/086,I,Shelmet,Grass,AR
094/086,I,Accelgor,Grass,AR
095/086,I,Virizion,Grass,AR
096/086,I,Tepig,Fire,AR
097/086,I,Pignite,Fire,AR
098/086,I,Emboar,Fire,AR
099/086,I,Pansear,Fire,AR
100/086,I,Simisear,Fire,AR
101/086,I,Heatmor,Fire,AR
102/086,I,Oshawott,Water,AR
103/086,I,Dewott,Water,AR
104/086,I,Samurott,Water,AR
105/086,I,Basculin,Water,AR
106/086,I,Ducklett,Water,AR
107/086,I,Swanna,Water,AR
108/086,I,Vanillite,Water,AR
109/086,I,Vanillish,Water,AR
110/086,I,Vanilluxe,Water,AR
111/086,I,Blitzle,Lightning,AR
112/086,I,Zebstrika,Lightning,AR
113/086,I,Joltik,Lightning,AR
114/086,I,Galvantula,Lightning,AR
115/086,I,Stunfisk,Lightning,AR
116/086,I,Woobat,Psychic,AR
117/086,I,Swoobat,Psychic,AR
118/086,I,Sigilyph,Psychic,AR
119/086,I,Yamask,Psychic,AR
120/086,I,Cofagrigus,Psychic,AR
121/086,I,Gothita,Psychic,AR
122/086,I,Gothorita,Psychic,AR
123/086,I,Gothitelle,Psychic,AR
124/086,I,Frillish,Psychic,AR
125/086,I,Roggenrola,Fighting,AR
126/086,I,Boldore,Fighting,AR
127/086,I,Gigalith,Fighting,AR
128/086,I,Sawk,Fighting,AR
129/086,I,Archen,Fighting,AR
130/086,I,Archeops,Fighting,AR
131/086,I,Mienfoo,Fighting,AR
132/086,I,Mienshao,Fighting,AR
133/086,I,Terrakion,Fighting,AR
134/086,I,Purrloin,Darkness,AR
135/086,I,Liepard,Darkness,AR
136/086,I,Scraggy,Darkness,AR
137/086,I,Scrafty,Darkness,AR
138/086,I,Trubbish,Darkness,AR
139/086,I,Garbodor,Darkness,AR
140/086,I,Zorua,Darkness,AR
141/086,I,Zoroark,Darkness,AR
142/086,I,Deino,Darkness,AR
143/086,I,Zweilous,Darkness,AR
144/086,I,Ferroseed,Metal,AR
145/086,I,Ferrothorn,Metal,AR
146/086,I,Klink,Metal,AR
147/086,I,Klang,Metal,AR
148/086,I,Klinklang,Metal,AR
149/086,I,Durant,Metal,AR
150/086,I,Druddigon,Dragon,AR
151/086,I,Patrat,Colorless,AR
152/086,I,Watchog,Colorless,AR
153/086,I,Lillipup,Colorless,AR
154/086,I,Herdier,Colorless,AR
155/086,I,Stoutland,Colorless,AR
156/086,I,Rufflet,Colorless,AR
157/086,I,Braviary,Colorless,AR
158/086,I,Tornadus,Colorless,AR
159/086,I,Whimsicottex,Grass,SR
160/086,I,Reshiramex,Fire,SR
161/086,I,Keldeoex,Water,SR
162/086,I,Jellicentex,Psychic,SR
163/086,I,Hydreigonex,Darkness,SR
164/086,I,Bouffalantex,Colorless,SR
165/086,I,Harlequin,Su,SR
166/086,I,Hilda,Su,SR
167/086,I,Whimsicottex,Grass,SAR
168/086,I,Reshiramex,Fire,SAR
169/086,I,Keldeoex,Water,SAR
170/086,I,Jellicentex,Psychic,SAR
171/086,I,Hydreigonex,Darkness,SAR
172/086,I,Bouffalantex,Colorless,SAR
173/086,I,Hilda,Su,SAR
174/086,I,Reshiramex,Fire,BWR
