No.,Mark,Card name,Type,Rarity
001/193,I,Ethan's Pinsir,Grass,—
002/193,I,Yanma,Grass,—
003/193,I,Yanmegaex,Grass,RR
004/193,I,Wurmple,Grass,—
005/193,I,Silcoon,Grass,—
006/193,I,Beautifly,Grass,—
007/193,I,Cascoon,Grass,—
008/193,I,Dustox,Grass,—
009/193,I,Cynthia's Roselia,Grass,—
010/193,I,Cynthia's Roserade,Grass,—
011/193,H,Budew,Grass,—
012/193,I,Shaymin,Grass,—
013/193,I,Dwebble,Grass,—
014/193,I,Crustle,Grass,—
015/193,I,Team Rocket's Tarountula,Grass,—
016/193,I,Team Rocket's Spidops,Grass,—
017/193,H,Teal Mask Ogerponex,Grass,RR
018/193,I,Ethan's Slugma,Fire,—
019/193,I,Ethan's Magcargo,Fire,—
020/193,I,Entei,Fire,—
021/193,I,Ethan's Ho-Ohex,Fire,RR
022/193,I,Numel,Fire,—
023/193,I,Camerupt,Fire,—
024/193,I,Tepig,Fire,—
025/193,I,Pignite,Fire,—
026/193,I,Emboar,Fire,—
027/193,I,N's Darumaka,Fire,—
028/193,I,N's Darmanitan,Fire,—
029/193,I,Reshiramex,Fire,RR
030/193,H,Charcadet,Fire,—
031/193,H,Ceruledgeex,Fire,RR
032/193,I,Psyduck,Water,—
033/193,I,Golduck,Water,—
034/193,I,Team Rocket's Articuno,Water,—
035/193,I,Snorunt,Water,—
036/193,I,Mega Froslassex,Water,RR
037/193,I,N's Vanillite,Water,—
038/193,I,N's Vanillish,Water,—
039/193,I,N's Vanilluxe,Water,—
040/193,I,Snom,Water,—
041/193,I,Frosmoth,Water,—
042/193,I,Glastrier,Water,—
043/193,H,Chien-Pao,Water,—
044/193,H,Pikachuex,Lightning,RR
045/193,H,Magnemite,Lightning,—
046/193,H,Magneton,Lightning,—
047/193,I,Tynamo,Lightning,—
048/193,I,Eelektrik,Lightning,—
049/193,I,Mega Eelektrossex,Lightning,RR
050/193,I,Stunfisk,Lightning,—
051/193,I,Zekromex,Lightning,RR
052/193,I,Helioptile,Lightning,—
053/193,I,Heliolisk,Lightning,—
054/193,I,Tapu Koko,Lightning,—
055/193,I,Zeraora,Lightning,—
056/193,I,Iono's Tadbulb,Lightning,—
057/193,I,Iono's Belliboltex,Lightning,RR
058/193,I,Iono's Wattrel,Lightning,—
059/193,I,Iono's Kilowattrel,Lightning,—
060/193,I,Lillie's Clefairyex,Psychic,RR
061/193,I,Team Rocket's Exeggcute,Psychic,—
062/193,I,Team Rocket's Exeggutor,Psychic,—
063/193,I,Team Rocket's Mewtwoex,Psychic,RR
064/193,H,Togepi,Psychic,—
065/193,H,Togetic,Psychic,—
066/193,H,Togekiss,Psychic,—
067/193,I,Misdreavus,Psychic,—
068/193,I,Mismagius,Psychic,—
069/193,I,Ralts,Psychic,—
070/193,I,Kirlia,Psychic,—
071/193,I,Mega Gardevoirex,Psychic,RR
072/193,H,Duskull,Psychic,—
073/193,H,Dusclops,Psychic,—
074/193,H,Dusknoir,Psychic,—
075/193,H,Latiasex,Psychic,RR
076/193,I,Rotom,Psychic,—
077/193,I,Hop's Phantump,Psychic,—
078/193,I,Hop's Trevenant,Psychic,—
079/193,I,Team Rocket's Mimikyu,Psychic,—
080/193,I,Spectrier,Psychic,—
081/193,H,Munkidori,Psychic,—
082/193,I,Team Rocket's Diglett,Fighting,—
083/193,I,Team Rocket's Dugtrio,Fighting,—
084/193,I,Meditite,Fighting,—
085/193,I,Medicham,Fighting,—
086/193,I,Lunatone,Fighting,—
087/193,I,Solrock,Fighting,—
088/193,I,Cynthia's Gible,Fighting,—
089/193,I,Cynthia's Gabite,Fighting,—
090/193,I,Cynthia's Garchompex,Fighting,RR
091/193,I,Riolu,Fighting,—
092/193,I,Mega Lucarioex,Fighting,RR
093/193,I,Pancham,Fighting,—
094/193,I,Mega Hawluchaex,Fighting,RR
095/193,I,Rolycoly,Fighting,—
096/193,I,Carkol,Fighting,—
097/193,I,Coalossal,Fighting,—
098/193,I,Okidogi,Fighting,—
099/193,I,Team Rocket's Zubat,Darkness,—
100/193,I,Team Rocket's Golbat,Darkness,—
101/193,I,Team Rocket's Crobatex,Darkness,—
102/193,I,Team Rocket's Murkrow,Darkness,—
103/193,I,Team Rocket's Honchkrow,Darkness,—
104/193,I,Team Rocket's Sneasel,Darkness,—
105/193,I,Galarian Zigzagoon,Darkness,—
106/193,I,Galarian Linoone,Darkness,—
107/193,I,Galarian Obstagoon,Darkness,—
108/193,I,Cynthia's Spiritomb,Darkness,—
109/193,I,Scraggy,Darkness,—
110/193,I,Mega Scraftyex,Darkness,RR
111/193,I,N's Zorua,Darkness,—
112/193,I,N's Zoroarkex,Darkness,RR
113/193,I,Pangoro,Darkness,—
114/193,H,Fezandipitiex,Darkness,RR
115/193,I,Pecharunt,Darkness,—
116/193,I,Pawniard,Metal,—
117/193,I,Bisharp,Metal,—
118/193,I,Kingambit,Metal,—
119/193,I,Genesectex,Metal,RR
120/193,I,Magearna,Metal,—
121/193,H,Duraludon,Metal,—
122/193,H,Archaludonex,Metal,RR
123/193,I,Hop's Zacianex,Metal,RR
124/193,I,Dratini,Dragon,—
125/193,I,Dragonair,Dragon,—
126/193,I,Mega Dragoniteex,Dragon,RR
127/193,I,Rayquaza,Dragon,—
128/193,I,N's Reshiram,Dragon,—
129/193,I,N's Zekrom,Dragon,—
130/193,I,Noibat,Dragon,—
131/193,I,Noivern,Dragon,—
132/193,H,Dreepy,Dragon,—
133/193,H,Drakloak,Dragon,—
134/193,H,Dragapultex,Dragon,RR
135/193,H,Tatsugiri,Dragon,—
136/193,I,Hop's Snorlax,Colorless,—
137/193,H,Hoothoot,Colorless,—
138/193,H,Noctowl,Colorless,—
139/193,H,Fan Rotom,Colorless,—
140/193,H,Bouffalant,Colorless,—
141/193,I,Hop's Wooloo,Colorless,—
142/193,I,Hop's Dubwool,Colorless,—
143/193,I,Hop's Cramorant,Colorless,—
144/193,H,Terapagos,Colorless,—
145/193,H,Terapagosex,Colorless,RR
146/193,I,N's PP Up,I,—
147/193,I,Energy Recycler,I,—
148/193,H,Enhanced Hammer,I,—
149/193,H,Glass Trumpet,I,—
150/193,I,Sacred Ash,I,—
151/193,I,Tool Scrapper,I,—
152/193,H,Tera Orb,I,—
153/193,H,Buddy-Buddy Poffin,I,—
154/193,I,Premium Power Pro,I,—
155/193,I,Fighting Gong,I,—
156/193,I,Hop's Bag,I,—
157/193,H,Bug Catching Set,I,—
158/193,I,Mega Signal,I,—
159/193,H,Night Stretcher,I,—
160/193,I,Team Rocket's Transceiver,I,—
161/193,H,Counter Gain,PT,—
162/193,I,Cynthia's Power Weight,PT,—
163/193,I,Light Ball,PT,—
164/193,I,Thick Scale,PT,—
165/193,I,Air Balloon,PT,—
166/193,I,Brave Bangle,PT,—
167/193,I,Hop's Choice Band,PT,—
168/193,I,Iris's Fighting Spirit,Su,—
169/193,I,Acerola's Mischief,Su,—
170/193,I,Canari,Su,—
171/193,H,Surfer,Su,—
172/193,I,Hilda,Su,—
173/193,I,Anthea & Concordia,Su,—
174/193,I,Ethan's Adventure,Su,—
175/193,I,Lillie's Determination,Su,—
176/193,I,Team Rocket's Ariana,Su,—
177/193,I,Team Rocket's Archer,Su,—
178/193,I,Team Rocket's Giovanni,Su,—
179/193,I,Team Rocket's Petrel,Su,—
180/193,I,Team Rocket's Proton,Su,—
181/193,I,N's Castle,St,—
182/193,I,Forest of Vitality,St,—
183/193,H,Gravity Mountain,St,—
184/193,H,Area Zero Underdepths,St,—
185/193,I,Levincia,St,—
186/193,I,Postwick,St,—
187/193,I,Mystery Garden,St,—
188/193,I,Nighttime Mine,St,—
189/193,I,Team Rocket's Watchtower,St,—
190/193,I,Team Rocket's Factory,St,—
191/193,I,Ignition Energy,Colorless E,—
192/193,I,Prism Energy,Rainbow E,—
193/193,I,Team Rocket's Energy,Psychic E,—
194/193,I,Beautifly,Grass,AR
195/193,I,Dustox,Grass,AR
196/193,H,Budew,Grass,AR
197/193,I,Ethan's Magcargo,Fire,AR
198/193,I,Numel,Fire,AR
199/193,I,Psyduck,Water,AR
200/193,I,Snorunt,Water,AR
201/193,I,Heliolisk,Lightning,AR
202/193,I,Misdreavus,Psychic,AR
203/193,H,Togekiss,Psychic,AR
204/193,I,Hop's Trevenant,Psychic,AR
205/193,I,Team Rocket's Mimikyu,Psychic,AR
206/193,I,Team Rocket's Dugtrio,Fighting,AR
207/193,I,Medicham,Fighting,AR
208/193,I,Cynthia's Spiritomb,Darkness,AR
209/193,I,Galarian Obstagoon,Darkness,AR
210/193,I,N's Zekrom,Dragon,AR
211/193,H,Dreepy,Dragon,AR
212/193,H,Drakloak,Dragon,AR
213/193,H,Fan Rotom,Colorless,AR
214/193,I,N's PP Up,I,SR
215/193,H,Glass Trumpet,I,SR
216/193,I,Ultra Ball,I,SR
217/193,I,Team Rocket's Transceiver,I,SR
218/193,H,Counter Gain,PT,SR
219/193,I,Canari,Su,SR
220/193,H,Black Belt's Training,Su,SR
221/193,I,Anthea & Concordia,Su,SR
222/193,H,Jamming Tower,St,SR
223/193,I,Mega Charizard Xex,Fire,MA
224/193,I,Mega Froslassex,Water,MA
225/193,I,Mega Eelektrossex,Lightning,MA
226/193,I,Mega Gardevoirex,Psychic,MA
227/193,I,Mega Diancieex,Psychic,MA
228/193,I,Mega Lucarioex,Fighting,MA
229/193,I,Mega Hawluchaex,Fighting,MA
230/193,I,Mega Gengarex,Darkness,MA
231/193,I,Mega Scraftyex,Darkness,MA
232/193,I,Mega Dragoniteex,Dragon,MA
233/193,I,Mega Froslassex,Water,SAR
234/193,H,Pikachuex,Lightning,SAR
235/193,I,Mega Eelektrossex,Lightning,SAR
236/193,I,Iono's Belliboltex,Lightning,SAR
237/193,I,Team Rocket's Mewtwoex,Psychic,SAR
238/193,I,Mega Diancieex,Psychic,SAR
239/193,I,Mega Hawluchaex,Fighting,SAR
240/193,I,Mega Gengarex,Darkness,SAR
241/193,I,Mega Scraftyex,Darkness,SAR
242/193,I,N's Zoroarkex,Darkness,SAR
243/193,I,Marnie's Grimmsnarlex,Darkness,SAR
244/193,H,Fezandipitiex,Darkness,SAR
245/193,I,Steven's Metagrossex,Metal,SAR
246/193,I,Mega Dragoniteex,Dragon,SAR
247/193,I,Iris's Fighting Spirit,Su,SAR
248/193,I,Canari,Su,SAR
249/193,H,Surfer,Su,SAR
250/193,I,Mega Dragoniteex,Dragon,MUR
