No.,Card name,Type,Rarity
—,Arbok,Grass,Uncommon
—,Nidorina,Grass,Uncommon
—,Nidorino,Grass,Uncommon
—,Venonat,Grass,Common
—,Bellsprout,Grass,Common
—,Weepinbell,Grass,Uncommon
—,Weezing,Grass,Uncommon
—,Scyther,Grass,Uncommon
—,Vulpix,Fire,Common
—,Growlithe,Fire,Common
—,Ponyta,Fire,Common
—,Magmar,Fire,Uncommon
—,Golduck,Water,Uncommon
—,Kingler,Water,Uncommon
—,Horsea,Water,Common
—,Seadra,Water,Uncommon
—,Staryu,Water,Common
—,Omanyte,Water,Uncommon
—,Kadabra,Psychic,Uncommon
—,Kadabra,Psychic,Common
—,Slowbro,Psychic,Common
—,Gastly,Psychic,Common
—,Haunter,Psychic,Uncommon
—,Haunter,Psychic,Uncommon
—,Hypno,Psychic,Uncommon
—,Mewtwo,Psychic,Common
—,Sandslash,Fighting,Common
—,Machoke,Fighting,Common
—,Graveler,Fighting,Common
—,Cubone,Fighting,Common
—,Rhydon,Fighting,Uncommon
—,Pidgeotto,Colorless,Uncommon
—,Kangaskhan,Colorless,Common
—,Tauros,Colorless,Common
—,Pokémon Retransfer,T,Common
—,Pokémon Tower,T,Uncommon
—,4 Prize Battle,ER,—
—,20 Damage from Confusion,ER,—
—,3 Deck Battle,ER,—
—,3 vs 3 Dugtrio Team Battle,ER,—
—,Deck Exchange,ER,—
—,Ooyama's Pikachu,Lightning,—
—,Imakuni?'s PC,PC,—
—,Imakuni?'s Nasty Plot,T,—
—,Imakuni?'s Corner,,—
—,Lose?,,—
—,Pokémon Machine,,—
—,Bill's PC,PC,—
—,The Puzzle of Pokémon Tower?,DL,—
—,Ouch! At the Pokémon Mansion,DL,—
—,Violence in the Safari Zone!,DL,—
—,Horsea of the Seafoam Islands,DL,—
—,The Last Cave – Cerulean!,DL,—
