No.,Card,Type,Quantity
—,Janine's Beedrill,Grass,1×
—,Bugsy's Yanma,Grass,1×
—,Karen's Rapidash,Fire,1×
—,Pryce's Cloyster,Water,1×
—,Clair's Mantine,Water,1×
—,Jasmine's Raichu,Lightning,1×
—,Morty's Hypno,Psychic,1×
—,Will's Girafarig,Psychic,1×
—,Bruno's Hitmonchan,Fighting,1×
—,Chuck's Donphan,Fighting,1×
—,Falkner's Fearow,Colorless,1×
—,Whitney's Furret,Colorless,1×
—,Rocket's Tyranitar,Darkness,1×
—,Energy Ark,T,1×
—,Super Scoop Up,T,1×
—,Switch,T,1×
—,Potion,T,1×
—,Darkness Energy,Darkness E,1×
—,Grass Energy,Grass E,2×
—,Fire Energy,Fire E,2×
—,Water Energy,Water E,2×
—,Lightning Energy,Lightning E,2×
—,Psychic Energy,Psychic E,2×
—,Fighting Energy,Fighting E,2×
