No.,Card name,Type,Rarity
001/055,Koffing,Grass,Common
002/055,Weezing,Grass,Rare
003/055,Sceptile,Grass,Rare Holo
004/055,Wurmple,Grass,Common
005/055,Silcoon,Grass,Uncommon
006/055,Beautifly,Grass,Rare Holo
007/055,Cascoon,Grass,Uncommon
008/055,Dustox,Grass,Rare Holo
009/055,Shroomish,Grass,Common
010/055,Breloom,Grass,Rare
011/055,Blaziken,Fire,Rare Holo
012/055,Numel,Fire,Common
013/055,Camerupt,Fire,Rare Holo
014/055,Goldeen,Water,Common
015/055,Seaking,Water,Rare
016/055,Swampert,Water,Rare Holo
017/055,Wingull,Water,Common
018/055,Pelipper,Water,Rare
019/055,Carvanha,Water,Uncommon
020/055,Sharpedo,Water,Rare
021/055,Wailmer,Water,Uncommon
022/055,Wailord,Water,Rare Holo
023/055,Electabuzz ex,Lightning,Rare Holo ex
024/055,Electrike,Lightning,Common
025/055,Manectric,Lightning,Rare Holo
026/055,Mewtwo ex,Psychic,Rare Holo ex
027/055,Ralts,Psychic,Common
028/055,Kirlia,Psychic,Uncommon
029/055,Gardevoir,Psychic,Rare Holo
030/055,Hitmonchan ex,Fighting,Rare Holo ex
031/055,Phanpy,Fighting,Common
032/055,Donphan,Fighting,Rare
033/055,Makuhita,Fighting,Common
034/055,Hariyama,Fighting,Rare Holo
035/055,Nosepass,Fighting,Rare
036/055,Chansey ex,Colorless,Rare Holo ex
037/055,Zigzagoon,Colorless,Common
038/055,Linoone,Colorless,Rare
039/055,Taillow,Colorless,Common
040/055,Swellow,Colorless,Rare
041/055,Slakoth,Colorless,Uncommon
042/055,Vigoroth,Colorless,Rare
043/055,Slaking,Colorless,Rare Holo
044/055,Skitty,Colorless,Uncommon
045/055,Delcatty,Colorless,Rare Holo
046/055,Sneasel ex,Darkness,Rare Holo ex
047/055,Poochyena,Darkness,Common
048/055,Mightyena,Darkness,Rare Holo
049/055,Aron,Metal,Uncommon
050/055,Lairon,Metal,Rare
051/055,Aggron,Metal,Rare Holo
052/055,PokéNav,T,Uncommon
053/055,Lady Outing,T [Su],Uncommon
054/055,Professor Birch,T [Su],Uncommon
055/055,Oran Berry,T [PT],Uncommon
