No.,Card name,Type,Rarity
001/052,Trapinch δ,Grass,Common
002/052,Vibrava δ,Grass,Uncommon
003/052,Flygon δ,GrassMetal,Rare Holo
004/052,Mankey δ,Fire,Common
005/052,Primeape δ,Fire,Uncommon
006/052,Horsea δ,Fire,Common
007/052,Seadra δ,Fire,Uncommon
008/052,Gyarados Star δ,Fire,ShinyRare Holo
009/052,Aerodactyl δ,Fire,Uncommon
010/052,Latias δ,Fire,Rare Holo
011/052,Kingdra δ,FireMetal,Rare Holo
012/052,Oddish δ,Water,Common
013/052,Bellossom δ,Water,Uncommon
014/052,Latios δ,Water,Rare Holo
015/052,Rayquaza δ,WaterMetal,Rare Holo
016/052,Pidgey δ,Lightning,Common
017/052,Pidgeotto δ,Lightning,Uncommon
018/052,Psyduck δ,Lightning,Common
019/052,Golduck δ,Lightning,Uncommon
020/052,Kabuto δ,Lightning,Common
021/052,Kabutops δ,Lightning,Rare Holo
022/052,Deoxys δ,Lightning,Rare Holo
023/052,Pidgeot δ,LightningMetal,Rare Holo
024/052,Gyarados δ,LightningMetal,Rare Holo
025/052,Gloom δ,Psychic,Uncommon
026/052,Omanyte δ,Psychic,Common
027/052,Omastar δ,Psychic,Rare Holo
028/052,Vileplume δ,PsychicMetal,Rare Holo
029/052,Exeggcute δ,Fighting,Common
030/052,Exeggutor δ,Fighting,Uncommon
031/052,Carvanha δ,Fighting,Common
032/052,Sharpedo δ,Fighting,Uncommon
033/052,Armaldo δ,FightingMetal,Rare Holo
034/052,Holon's Castform,Colorless,Uncommon
035/052,Deoxys δ,Colorless,Rare Holo
036/052,Lileep δ,Darkness,Common
037/052,Deoxys δ,Darkness,Rare Holo
038/052,Meowth δ,DarknessMetal,Common
039/052,Persian δ,DarknessMetal,Uncommon
040/052,Cradily δ,DarknessMetal,Rare Holo
041/052,Pikachu δ,Metal,Common
042/052,Raichu δ,Metal,Rare Holo
043/052,Magikarp δ,Metal,Common
044/052,Pichu δ,Metal,Common
045/052,Anorith δ,Metal,Common
046/052,Chimecho δ,Metal,Uncommon
047/052,Deoxys δ,Metal,Rare Holo
048/052,Rare Candy,T,Uncommon
049/052,Holon Fossil,T,Uncommon
050/052,Holon Adventurer,T [Su],Uncommon
051/052,Holon Lake,T [St],Uncommon
052/052,δ Rainbow Energy,Rainbow E,Uncommon
