No.,Card name,Type,Rarity
—,Weedle,Grass,Common
—,Kakuna,Grass,Common
—,Beedrill,Grass,Rare
—,Tangela,Grass,Common
—,Tangrowth,Grass,Rare Holo
—,Scyther,Grass,Common
—,Volbeat,Grass,Common
—,Houndour,Fire,Common
—,Torchic,Fire,Common
—,Combusken,Fire,Uncommon
—,Blaziken,Fire,Rare Holo
—,Slowpoke,Water,Common
—,Slowbro,Water,Uncommon
—,Vaporeon,Water,Rare
—,Omanyte,Water,Common
—,Omastar,Water,Rare
—,Mudkip,Water,Common
—,Marshtomp,Water,Uncommon
—,Swampert,Water,Rare Holo
—,Wailmer,Water,Common
—,Wailord,Water,Rare
—,Feebas,Water,Common
—,Milotic,Water,Rare
—,Relicanth,Water,Uncommon
—,Weavile,Water,Rare
—,Zapdos,Lightning,Rare
—,Rotom,Lightning,Rare Holo
—,Slowking,Psychic,Rare
—,Drowzee,Psychic,Common
—,Hypno,Psychic,Uncommon
—,Koffing,Psychic,Common
—,Weezing,Psychic,Rare
—,Mewtwo,Psychic,Rare Holo
—,Unown F,Psychic,Uncommon
—,Unown G,Psychic,Uncommon
—,Unown H,Psychic,Rare
—,Seviper,Psychic,Common
—,Cresselia,Psychic,Rare Holo
—,Cresselia LV.X,Psychic,Rare Holo LV.X
—,Makuhita,Fighting,Common
—,Hariyama,Fighting,Uncommon
—,Lunatone,Fighting,Common
—,Spearow,Colorless,Common
—,Fearow,Colorless,Uncommon
—,Kangaskhan,Colorless,Common
—,Eevee,Colorless,Common
—,Porygon,Colorless,Common
—,Porygon2,Colorless,Uncommon
—,Porygon-Z,Colorless,Rare Holo
—,Snubbull,Colorless,Common
—,Granbull,Colorless,Uncommon
—,Whismur,Colorless,Common
—,Loudred,Colorless,Uncommon
—,Exploud,Colorless,Rare
—,Latios,Colorless,Rare
—,Garchomp LV.X,Colorless,Rare Holo LV.X
—,Umbreon,Darkness,Rare
—,Houndoom,Darkness,Rare
—,Darkrai,Darkness,Rare Holo
—,Honchkrow LV.X,Darkness,Rare Holo LV.X
—,Scizor,Metal,Rare
—,Skarmory,Metal,Rare
—,Rare Candy,T,Uncommon
—,Premier Ball,T,Uncommon
—,Amulet Coin,T,Uncommon
—,Felicity's Drawing,Su,Uncommon
—,Moonlight Stadium,St,Uncommon
—,Helix Fossil,T,Uncommon
—,Call Energy,Colorless E,Uncommon
—,Recover Energy,Colorless E,Uncommon
