No.,Card name,Type,Rarity
001/053,Sewaddle,Grass,C
002/053,Swadloon,Grass,C
003/053,Leavanny,Grass,U
004/053,Cottonee,Grass,C
005/053,Whimsicott,Grass,U
006/053,Deerling,Grass,C
007/053,Sawsbuck,Grass,U
008/053,Tepig,Fire,C
009/053,Pignite,Fire,U
010/053,Emboar,Fire,R
011/053,Pansear,Fire,C
012/053,Simisear,Fire,C
013/053,Reshiram,Fire,R
014/053,Basculin,Water,C
015/053,Ducklett,Water,C
016/053,Swanna,Water,U
017/053,Cubchoo,Water,C
018/053,Beartic,Water,R
019/053,Blitzle,Lightning,C
020/053,Zebstrika,Lightning,U
021/053,Emolga,Lightning,C
022/053,Munna,Psychic,C
023/053,Musharna,Psychic,U
024/053,Woobat,Psychic,C
025/053,Swoobat,Psychic,U
026/053,Gothita,Psychic,C
027/053,Gothorita,Psychic,U
028/053,Gothitelle,Psychic,R
029/053,Roggenrola,Fighting,C
030/053,Boldore,Fighting,U
031/053,Drilbur,Fighting,C
032/053,Excadrill,Fighting,R
033/053,Sawk,Fighting,C
034/053,Scraggy,Darkness,C
035/053,Scrafty,Darkness,U
036/053,Vullaby,Darkness,U
037/053,Mandibuzz,Darkness,U
038/053,Klink,Metal,C
039/053,Klang,Metal,U
040/053,Klinklang,Metal,R
041/053,Pidove,Colorless,C
042/053,Tranquill,Colorless,C
043/053,Unfezant,Colorless,C
044/053,Minccino,Colorless,C
045/053,Cinccino,Colorless,U
046/053,Bouffalant,Colorless,U
047/053,Tornadus,Colorless,R
048/053,Energy Retrieval,I,U
049/053,Crushing Hammer,I,U
050/053,Pokémon Communication,I,U
051/053,Max Potion,I,U
052/053,Recycle,I,U
053/053,Professor Juniper,Su,U
054/053,Tornadus,Colorless,SR
055/053,Reshiram,Fire,SR
056/053,Pikachu,Lightning,UR
