No.,Card name,Type,Rarity
001/052,Pansage,Grass,C
002/052,Simisage,Grass,U
003/052,Petilil,Grass,C
004/052,Lilligant,Grass,U
005/052,Deerling,Grass,C
006/052,Sawsbuck,Grass,U
007/052,Foongus,Grass,C
008/052,Amoonguss,Grass,U
009/052,Growlithe,Fire,C
010/052,Arcanine,Fire,R
011/052,Darumaka,Fire,C
012/052,Litwick,Fire,C
013/052,Lampent,Fire,C
014/052,Chandelure,Fire,R
015/052,Lapras,Water,U
016/052,Vanillite,Water,C
017/052,Vanillish,Water,C
018/052,Vanilluxe,Water,R
019/052,Cubchoo,Water,C
020/052,Beartic,Water,U
021/052,Cryogonal,Water,U
022/052,KyuremEX,Water,R
023/052,Pikachu,Lightning,C
024/052,Raichu,Lightning,U
025/052,Zapdos,Lightning,R
026/052,Ralts,Psychic,C
027/052,Kirlia,Psychic,C
028/052,Gardevoir,Psychic,R
029/052,Darmanitan,Psychic,U
030/052,Elgyem,Psychic,C
031/052,Beheeyem,Psychic,U
032/052,GroudonEX,Fighting,R
033/052,Riolu,Fighting,C
034/052,Lucario,Fighting,R
035/052,Hippopotas,Fighting,C
036/052,Hippowdon,Fighting,U
037/052,Sneasel,Darkness,C
038/052,Weavile,Darkness,U
039/052,Bronzor,Metal,C
040/052,Bronzong,Metal,U
041/052,Pawniard,Metal,C
042/052,Bisharp,Metal,R
043/052,Jigglypuff,Colorless,C
044/052,Wigglytuff,Colorless,C
045/052,RegigigasEX,Colorless,R
046/052,Pidove,Colorless,C
047/052,Tranquill,Colorless,C
048/052,Unfezant,Colorless,U
049/052,Heavy Ball,I,U
050/052,Cilan,Su,U
051/052,Pokémon Center,St,U
052/052,Double Colorless Energy,Colorless E,U
053/052,KyuremEX,Water,SR
054/052,GroudonEX,Fighting,SR
055/052,RegigigasEX,Colorless,SR
056/052,Emboar,Fire,UR
057/052,Chandelure,Psychic,UR
