No.,Card name,Type,Rarity
001/052,Pinsir,Grass,U
002/052,Seedot,Grass,C
003/052,Kricketot,Grass,C
004/052,Kricketune,Grass,U
005/052,ShayminEX,Grass,R
006/052,Sewaddle,Grass,C
007/052,Swadloon,Grass,C
008/052,Leavanny,Grass,R
009/052,Moltres,Fire,R
010/052,Pansear,Fire,C
011/052,Simisear,Fire,U
012/052,Staryu,Water,C
013/052,Starmie,Water,U
014/052,Articuno,Water,R
015/052,KyogreEX,Water,R
016/052,Panpour,Water,C
017/052,Simipour,Water,U
018/052,Basculin,Water,C
019/052,Frillish,Water,C
020/052,Jellicent,Water,U
021/052,Shinx,Lightning,C
022/052,Luxio,Lightning,C
023/052,Luxray,Lightning,R
024/052,Blitzle,Lightning,C
025/052,Zebstrika,Lightning,U
026/052,Grimer,Psychic,C
027/052,Muk,Psychic,U
028/052,MewtwoEX,Psychic,R
029/052,Munna,Psychic,C
030/052,Musharna,Psychic,U
031/052,Solosis,Psychic,C
032/052,Duosion,Psychic,C
033/052,Reuniclus,Psychic,U
034/052,Timburr,Fighting,C
035/052,Gurdurr,Fighting,C
036/052,Conkeldurr,Fighting,R
037/052,Mienfoo,Fighting,C
038/052,Mienshao,Fighting,U
039/052,Nuzleaf,Darkness,C
040/052,Shiftry,Darkness,U
041/052,Scraggy,Darkness,C
042/052,Scrafty,Darkness,R
043/052,Ferroseed,Metal,C
044/052,Ferrothorn,Metal,U
045/052,Meowth,Colorless,C
046/052,Persian,Colorless,U
047/052,Minccino,Colorless,C
048/052,Cinccino,Colorless,R
049/052,Level Ball,I,U
050/052,Exp. Share,I,U
051/052,Skyarrow Bridge,St,U
052/052,Prism Energy,Colorless E,U
053/052,ShayminEX,Grass,SR
054/052,KyogreEX,Water,SR
055/052,MewtwoEX,Psychic,SR
056/052,Zoroark,Darkness,UR
057/052,Hydreigon,Darkness,UR
