No.,Card name,Type,Rarity
001/050,Hoppip,Grass,C
002/050,Skiploom,Grass,C
003/050,Jumpluff,Grass,U
004/050,Nincada,Grass,C
005/050,Ninjask,Grass,U
006/050,Maractus,Grass,C
007/050,Magmar,Fire,C
008/050,Magmortar,Fire,U
009/050,Ho-OhEX,Fire,R
010/050,Feebas,Water,C
011/050,Milotic,Water,R
012/050,Spheal,Water,C
013/050,Sealeo,Water,C
014/050,Walrein,Water,U
015/050,Electrike,Lightning,C
016/050,Manectric,Lightning,U
017/050,Emolga,Lightning,C
018/050,Shedinja,Psychic,U
019/050,Gothita,Psychic,C
020/050,Gothorita,Psychic,U
021/050,Gothitelle,Psychic,U
022/050,Golett,Psychic,C
023/050,Golurk,Psychic,R
024/050,Cubone,Fighting,C
025/050,Marowak,Fighting,U
026/050,Nosepass,Fighting,C
027/050,Roggenrola,Fighting,C
028/050,Boldore,Fighting,C
029/050,Gigalith,Fighting,R
030/050,Throh,Fighting,C
031/050,Sawk,Fighting,C
032/050,Stunky,Darkness,C
033/050,Skuntank,Darkness,U
034/050,RegisteelEX,Metal,R
035/050,Probopass,Metal,U
036/050,Altaria,Dragon,R
037/050,RayquazaEX,Dragon,R
038/050,Gible,Dragon,C
039/050,Gabite,Dragon,U
040/050,Garchomp,Dragon,R
041/050,Slakoth,Colorless,C
042/050,Vigoroth,Colorless,C
043/050,Slaking,Colorless,R
044/050,Swablu,Colorless,C
045/050,Bouffalant,Colorless,R
046/050,Rufflet,Colorless,C
047/050,Braviary,Colorless,U
048/050,Tool Scrapper,I,U
049/050,Giant Cape,I,U
050/050,Blend Energy WLFM,Colorless E,U
051/050,Ho-OhEX,Fire,SR
052/050,RegisteelEX,Metal,SR
053/050,RayquazaEX,Dragon,SR
054/050,Serperior,Grass,UR
055/050,Krookodile,Darkness,UR
