No.,Card name,Type,Rarity
001/051,Exeggcute,Grass,C
002/051,Exeggutor,Grass,U
003/051,Treecko,Grass,C
004/051,Grovyle,Grass,C
005/051,Sceptile,Grass,R
006/051,HeatranEX,Fire,R
007/051,Litwick,Fire,C
008/051,Lampent,Fire,C
009/051,Chandelure,Fire,R
010/051,Horsea,Water,C
011/051,Seadra,Water,C
012/051,Glaceon,Water,R
013/051,Tympole,Water,C
014/051,Palpitoad,Water,C
015/051,Seismitoad,Water,U
016/051,Jolteon,Lightning,U
017/051,Chinchou,Lightning,C
018/051,Lanturn,Lightning,C
019/051,Zekrom,Lightning,R
020/051,Nidoran♀,Psychic,C
021/051,Nidorina,Psychic,C
022/051,Nidoqueen,Psychic,U
023/051,Mr. Mime,Psychic,U
024/051,Espeon,Psychic,U
025/051,DeoxysEX,Psychic,R
026/051,Yamask,Psychic,C
027/051,Cofagrigus,Psychic,R
028/051,Mankey,Fighting,C
029/051,Primeape,Fighting,C
030/051,Onix,Fighting,C
031/051,Sneasel,Darkness,C
032/051,Weavile,Darkness,U
033/051,Absol,Darkness,R
034/051,Sandile,Darkness,C
035/051,Krokorok,Darkness,C
036/051,Krookodile,Darkness,U
037/051,Steelix,Metal,U
038/051,Kingdra,Dragon,R
039/051,LatiosEX,Dragon,R
040/051,Rattata,Colorless,C
041/051,Raticate,Colorless,U
042/051,Eevee,Colorless,C
043/051,Hoothoot,Colorless,C
044/051,Noctowl,Colorless,U
045/051,Miltank,Colorless,C
046/051,Kecleon,Colorless,U
047/051,Superior Energy Retrieval,I,U
048/051,Ghetsis,Su,U
049/051,Frozen City,St,U
050/051,Rock Guard,I,R
051/051,Plasma Energy,Colorless E,U
052/051,HeatranEX,Fire,SR
053/051,DeoxysEX,Psychic,SR
054/051,LatiosEX,Dragon,SR
055/051,Ghetsis,Su,SR
056/051,Empoleon,Water,UR
057/051,Sigilyph,Psychic,UR
058/051,Ultra Ball,I,UR
