No.,Card name,Type,Rarity
001/096,Bellsprout,Grass,C
002/096,Weepinbell,Grass,C
003/096,Victreebel,Grass,R
004/096,HeracrossEX,Grass,RR
005/096,MegaHeracrossEX,Grass,RR
006/096,Shroomish,Grass,C
007/096,Leafeon,Grass,U
008/096,Shelmet,Grass,C
009/096,Accelgor,Grass,C
010/096,Magmar,Fire,C
011/096,Magmortar,Fire,U
012/096,Torchic,Fire,C
013/096,Combusken,Fire,C
014/096,Blaziken,Fire,R
015/096,Poliwag,Water,C
016/096,Poliwhirl,Water,C
017/096,Poliwrath,Water,R
018/096,Politoed,Water,U
019/096,Glaceon,Water,U
020/096,SeismitoadEX,Water,RR
021/096,Cubchoo,Water,C
022/096,Beartic,Water,U
023/096,Clauncher,Water,C
024/096,Clawitzer,Water,R
025/096,Amaura,Water,C
026/096,Aurorus,Water,U
027/096,Electabuzz,Lightning,C
028/096,Electivire,Lightning,U
029/096,Plusle,Lightning,C
030/096,Minun,Lightning,C
031/096,Thundurus,Lightning,U
032/096,Dedenne,Lightning,U
033/096,Drowzee,Psychic,C
034/096,Hypno,Psychic,U
035/096,Jynx,Psychic,U
036/096,Skorupi,Psychic,C
037/096,Gothita,Psychic,C
038/096,Gothorita,Psychic,C
039/096,Gothitelle,Psychic,U
040/096,Golett,Psychic,C
041/096,Golurk,Psychic,U
042/096,Machop,Fighting,C
043/096,Machoke,Fighting,C
044/096,Machamp,Fighting,R
045/096,Hitmonlee,Fighting,C
046/096,Hitmonchan,Fighting,C
047/096,Hitmontop,Fighting,C
048/096,Breloom,Fighting,U
049/096,Makuhita,Fighting,C
050/096,Hariyama,Fighting,U
051/096,Trapinch,Fighting,C
052/096,LucarioEX,Fighting,RR
053/096,MegaLucarioEX,Fighting,RR
054/096,Mienfoo,Fighting,C
055/096,Mienshao,Fighting,C
056/096,Landorus,Fighting,R
057/096,Pancham,Fighting,C
058/096,Tyrunt,Fighting,C
059/096,Tyrantrum,Fighting,U
060/096,Hawlucha,Fighting,R
061/096,Drapion,Darkness,U
062/096,Scraggy,Darkness,C
063/096,Scrafty,Darkness,C
064/096,Pangoro,Darkness,R
065/096,Clefairy,Fairy,C
066/096,Clefable,Fairy,C
067/096,Sylveon,Fairy,R
068/096,Klefki,Fairy,C
069/096,DragoniteEX,Dragon,RR
070/096,Vibrava,Dragon,C
071/096,Flygon,Dragon,U
072/096,Noivern,Dragon,R
073/096,Lickitung,Colorless,C
074/096,Lickilicky,Colorless,C
075/096,Eevee,Colorless,C
076/096,Slakoth,Colorless,C
077/096,Vigoroth,Colorless,C
078/096,Slaking,Colorless,R
079/096,Patrat,Colorless,C
080/096,Watchog,Colorless,C
081/096,Tornadus,Colorless,U
082/096,Noibat,Colorless,C
083/096,Tool Retriever,I,U
084/096,Maintenance,I,U
085/096,Jaw Fossil,I,C
086/096,Sail Fossil,I,C
087/096,Sparkling Robe,I,U
088/096,Focus Sash,I,U
089/096,Fossil Researcher,Su,U
090/096,Korrina,Su,U
091/096,Battle Reporter,Su,U
092/096,Training Center,St,U
093/096,Fighting Stadium,St,U
094/096,Mountain Ring,St,U
095/096,Herbal Energy,Grass E,U
096/096,Strong Energy,Fighting E,U
097/096,HeracrossEX,Grass,SR
098/096,SeismitoadEX,Water,SR
099/096,LucarioEX,Fighting,SR
100/096,DragoniteEX,Dragon,SR
101/096,Fossil Researcher,Su,SR
102/096,Korrina,Su,SR
103/096,Battle Reporter,Su,SR
104/096,MegaHeracrossEX,Grass,UR
105/096,MegaLucarioEX,Fighting,UR
