No.,Card name,Type
001/171,Oddish,Grass
002/171,Gloom,Grass
003/171,Vileplume,Grass
004/171,Spinarak,Grass
005/171,Ariados,Grass
006/171,SceptileEX,Grass
007/171,MegaSceptileEX,Grass
008/171,Combee,Grass
009/171,Vespiquen,Grass
010/171,Flareon,Fire
011/171,Entei,Fire
012/171,CameruptEX,Fire
013/171,MegaCameruptEX,Fire
014/171,Volcanion,Fire
015/171,VolcanionEX,FireWater
016/171,Vaporeon,Water
017/171,Articuno,Water
018/171,Remoraid,Water
019/171,Octillery,Water
020/171,GlaceonEX,Water
021/171,ManaphyEX,Water
022/171,SeismitoadEX,Water
023/171,White Kyurem,Water
024/171,Froakie,Water
025/171,Frogadier,Water
026/171,Greninja,Water
027/171,Greninja,Water
028/171,GreninjaBREAK,Water
029/171,Pikachu,Lightning
030/171,Raichu,Lightning
031/171,Jolteon,Lightning
032/171,JolteonEX,Lightning
033/171,Raikou,Lightning
034/171,ManectricEX,Lightning
035/171,MegaManectricEX,Lightning
036/171,Joltik,Lightning
037/171,Zubat,Psychic
038/171,Golbat,Psychic
039/171,Crobat,Psychic
040/171,AlakazamEX,Psychic
041/171,MegaAlakazamEX,Psychic
042/171,MewtwoEX,Psychic
043/171,MegaMewtwoEX,Psychic
044/171,Mew,Psychic
045/171,EspeonEX,Psychic
046/171,Unown,Psychic
047/171,Wobbuffet,Psychic
048/171,Giratina,Psychic
049/171,Trubbish,Psychic
050/171,Garbodor,Psychic
051/171,Litwick,Psychic
052/171,Lampent,Psychic
053/171,Phantump,Psychic
054/171,Trevenant,Psychic
055/171,TrevenantBREAK,Psychic
056/171,Pumpkaboo,Psychic
057/171,Hoopa,Psychic
058/171,HoopaEX,Psychic
059/171,Meditite,Fighting
060/171,Medicham,Fighting
061/171,RegirockEX,Fighting
062/171,LucarioEX,Fighting
063/171,MegaLucarioEX,Fighting
064/171,Landorus,Fighting
065/171,Carbink,Fighting
066/171,Carbink,Fighting
067/171,CarbinkBREAK,Fighting
068/171,Zygarde,Fighting
069/171,ZygardeEX,Fighting
070/171,SharpedoEX,Darkness
071/171,MegaSharpedoEX,Darkness
072/171,DarkraiEX,Darkness
