No.,Mark,Card name,Type,Rarity
001/096,B,Treecko,Grass,C
002/096,B,Treecko,Grass,C
003/096,B,Grovyle,Grass,C
004/096,B,Sceptile,Grass,R
005/096,B,Seedot,Grass,C
006/096,B,Seedot,Grass,C
007/096,B,Nuzleaf,Grass,C
008/096,B,ShiftryGX,Grass,RR
009/096,B,Surskit,Grass,C
010/096,B,Masquerain,Grass,C
011/096,B,Volbeat,Grass,C
012/096,B,Illumise,Grass,C
013/096,B,Tropius,Grass,C
014/096,B,Dhelmise,Grass,U
015/096,B,Torchic,Fire,C
016/096,B,Torchic,Fire,C
017/096,B,Combusken,Fire,C
018/096,B,BlazikenGX,Fire,RR
019/096,B,Torkoal,Fire,C
020/096,B,Oricorio,Fire,C
021/096,B,Mudkip,Water,C
022/096,B,Mudkip,Water,C
023/096,B,Marshtomp,Water,C
024/096,B,Swampert,Water,R
025/096,B,Wailmer,Water,C
026/096,B,Wailord,Water,U
027/096,B,Clamperl,Water,C
028/096,B,Huntail,Water,U
029/096,B,Gorebyss,Water,U
030/096,B,Luvdisc,Water,C
031/096,B,Regice,Water,U
032/096,B,Kyogre,Water,R
033/096,B,Electrike,Lightning,C
034/096,B,Manectric,Lightning,U
035/096,B,Plusle,Lightning,C
036/096,B,Minun,Lightning,C
037/096,B,Oricorio,Lightning,C
038/096,B,Spoink,Psychic,C
039/096,B,Grumpig,Psychic,U
040/096,B,Shuppet,Psychic,C
041/096,B,Banette,Psychic,U
042/096,B,Deoxys,Psychic,R
043/096,B,Deoxys,Psychic,U
044/096,B,Deoxys,Psychic,U
045/096,B,Meditite,Fighting,C
046/096,B,Medicham,Fighting,U
047/096,B,Baltoy,Fighting,C
048/096,B,Claydol,Fighting,U
049/096,B,Regirock,Fighting,U
050/096,B,Groudon,Fighting,R
051/096,B,Minior,Fighting,C
052/096,B,Beldum,Metal,C
053/096,B,Beldum,Metal,C
054/096,B,Metang,Metal,C
055/096,B,Metagross,Metal,R
056/096,B,Registeel,Metal,U
057/096,B,Jirachi Prism Star,Metal,PR
058/096,B,Celesteela,Metal,R
059/096,B,Kartana,Metal,U
060/096,B,StakatakaGX,Metal,RR
061/096,B,AltariaGX,Dragon,RR
062/096,B,Bagon,Dragon,C
063/096,B,Bagon,Dragon,C
064/096,B,Shelgon,Dragon,C
065/096,B,Salamence,Dragon,R
066/096,B,Latias Prism Star,Dragon,PR
067/096,B,Latios Prism Star,Dragon,PR
068/096,B,RayquazaGX,Dragon,RR
069/096,B,Wingull,Colorless,C
070/096,B,Pelipper,Colorless,C
071/096,B,Whismur,Colorless,C
072/096,B,Whismur,Colorless,C
073/096,B,Loudred,Colorless,C
074/096,B,Exploud,Colorless,U
075/096,B,Skitty,Colorless,C
076/096,B,Delcatty,Colorless,R
077/096,B,Swablu,Colorless,C
078/096,B,Kecleon,Colorless,U
079/096,B,Last Chance Potion,I,U
080/096,B,Acro Bike,I,U
081/096,A,Ultra Ball,I,U
082/096,A,Rare Candy,I,U
083/096,A,Switch,I,U
084/096,A,Pokémon Catcher,I,U
085/096,B,Rainbow Brush,I,U
086/096,A,Choice Band,I,U
087/096,B,Hustle Belt,I,U
088/096,B,Steven's Resolve,Su,R
089/096,B,Fisherman,Su,U
090/096,A,Hau,Su,U
091/096,B,Tate & Liza,Su,U
092/096,A,Lillie,Su,U
093/096,B,Lisia,Su,U
094/096,B,Shrine of Punishment,St,U
095/096,B,Sky Pillar,St,U
096/096,A,Double Colorless Energy,Colorless E,U
097/096,B,ShiftryGX,Grass,SR
098/096,B,BlazikenGX,Fire,SR
099/096,B,StakatakaGX,Metal,SR
100/096,B,AltariaGX,Dragon,SR
101/096,B,RayquazaGX,Dragon,SR
102/096,B,Steven's Resolve,Su,SR
103/096,B,Tate & Liza,Su,SR
104/096,B,Lisia,Su,SR
105/096,B,ShiftryGX,Grass,HR
106/096,B,BlazikenGX,Fire,HR
107/096,B,StakatakaGX,Metal,HR
108/096,B,AltariaGX,Dragon,HR
109/096,B,RayquazaGX,Dragon,HR
110/096,B,Acro Bike,I,UR
111/096,B,Rainbow Brush,I,UR
112/096,B,Hustle Belt,I,UR
