No.,Mark,Card name,Type,Rarity
001/052,B,Litten,Fire,C
002/052,B,Torracat,Fire,C
003/052,B,Zapdos,Lightning,R
004/052,B,Mareep,Lightning,C
005/052,B,Flaaffy,Lightning,C
006/052,B,AmpharosGX,Lightning,RR
007/052,B,Blitzle,Lightning,C
008/052,B,Zebstrika,Lightning,U
009/052,B,Emolga,Lightning,C
010/052,B,Joltik,Lightning,C
011/052,B,Galvantula,Lightning,U
012/052,B,Helioptile,Lightning,C
013/052,B,Heliolisk,Lightning,C
014/052,B,Tapu Koko Prism Star,Lightning,PR
015/052,B,Larvitar,Fighting,C
016/052,B,Pupitar,Fighting,C
017/052,B,Pancham,Fighting,C
018/052,B,Alolan Grimer,Darkness,C
019/052,B,Alolan Muk,Darkness,U
020/052,B,Tyranitar,Darkness,R
021/052,B,Poochyena,Darkness,C
022/052,B,Mightyena,Darkness,U
023/052,B,Absol,Darkness,R
024/052,B,Spiritomb,Darkness,C
025/052,B,Zorua,Darkness,C
026/052,B,Zoroark,Darkness,R
027/052,B,Vullaby,Darkness,C
028/052,B,Mandibuzz,Darkness,U
029/052,B,Pangoro,Darkness,U
030/052,B,Yveltal,Darkness,R
031/052,B,HoopaGX,Darkness,RR
032/052,B,IncineroarGX,Darkness,RR
033/052,B,Skarmory,Metal,U
034/052,B,Jirachi,Metal,R
035/052,B,Bronzor,Metal,C
036/052,B,Bronzong,Metal,U
037/052,B,Ferroseed,Metal,C
038/052,B,Ferrothorn,Metal,U
039/052,B,Pawniard,Metal,C
040/052,B,Bisharp,Metal,U
041/052,B,CobalionGX,Metal,RR
042/052,B,Honedge,Metal,C
043/052,B,Doublade,Metal,C
044/052,B,Aegislash,Metal,R
045/052,B,Klefki,Metal,C
046/052,B,Electrocharger,I,U
047/052,B,Electropower,I,U
048/052,B,Dangerous Drill,I,U
049/052,B,Metal Goggles,I,U
050/052,B,Nanu,Su,U
051/052,B,Jasmine,Su,U
052/052,B,Black Market Prism Star,St,PR
053/052,B,AmpharosGX,Lightning,SR
054/052,B,HoopaGX,Darkness,SR
055/052,B,IncineroarGX,Darkness,SR
056/052,B,CobalionGX,Metal,SR
057/052,B,Nanu,Su,SR
058/052,B,Jasmine,Su,SR
059/052,B,AmpharosGX,Lightning,HR
060/052,B,HoopaGX,Darkness,HR
061/052,B,IncineroarGX,Darkness,HR
062/052,B,CobalionGX,Metal,HR
063/052,B,Electrocharger,I,UR
064/052,B,Dangerous Drill,I,UR
065/052,B,Metal Goggles,I,UR
