No.,Mark,Card name,Type,Rarity
001/095,C,Oddish,Grass,C
002/095,C,Oddish,Grass,C
003/095,C,Gloom,Grass,C
004/095,C,Vileplume,Grass,R
005/095,C,Venonat,Grass,C
006/095,C,Venomoth,Grass,U
007/095,C,Reshiram & CharizardTag Team GX,Fire,RR
008/095,C,Growlithe,Fire,C
009/095,C,Arcanine,Fire,R
010/095,C,Darumaka,Fire,C
011/095,C,Darmanitan,Fire,U
012/095,C,Volcanion,Fire,R
013/095,C,Litten,Fire,C
014/095,C,Litten,Fire,C
015/095,C,Torracat,Fire,C
016/095,C,Incineroar,Fire,U
017/095,C,Salandit,Fire,C
018/095,C,Salazzle,Fire,U
019/095,C,Blacephalon,Fire,U
020/095,C,Poliwag,Water,C
021/095,C,Poliwag,Water,C
022/095,C,Poliwhirl,Water,C
023/095,C,Poliwrath,Water,U
024/095,C,Seel,Water,C
025/095,C,Dewgong,Water,U
026/095,C,Krabby,Water,C
027/095,C,Kingler,Water,U
028/095,C,Stunfisk,Lightning,U
029/095,C,Muk & Alolan MukTag Team GX,Psychic,RR
030/095,C,Gastly,Psychic,C
031/095,C,Gastly,Psychic,C
032/095,C,Haunter,Psychic,C
033/095,C,Gengar,Psychic,U
034/095,C,Koffing,Psychic,C
035/095,C,Weezing,Psychic,U
036/095,C,Mewtwo,Psychic,R
037/095,C,Mew,Psychic,R
038/095,C,Misdreavus,Psychic,C
039/095,C,Mismagius,Psychic,U
040/095,C,Espurr,Psychic,C
041/095,C,Meowstic,Psychic,U
042/095,C,Marshadow & MachampTag Team GX,Fighting,RR
043/095,C,Diglett,Fighting,C
044/095,C,Dugtrio,Fighting,U
045/095,C,Cubone,Fighting,C
046/095,C,Marowak,Fighting,U
047/095,C,Rhyhorn,Fighting,C
048/095,C,Rhyhorn,Fighting,C
049/095,C,Rhydon,Fighting,C
050/095,C,Rhyperior,Fighting,U
051/095,C,Tyrogue,Fighting,C
052/095,C,Landorus,Fighting,R
053/095,C,Crabrawler,Fighting,C
054/095,C,Crabominable,Fighting,U
055/095,C,Murkrow,Darkness,C
056/095,C,HonchkrowGX,Darkness,RR
057/095,C,Spiritomb,Darkness,R
058/095,C,Sandile,Darkness,C
059/095,C,Sandile,Darkness,C
060/095,C,Krokorok,Darkness,C
061/095,C,Krookodile,Darkness,U
062/095,C,Jigglypuff,Fairy,C
063/095,C,Wigglytuff,Fairy,U
064/095,C,Cleffa,Fairy,C
065/095,C,Cottonee,Fairy,C
066/095,C,WhimsicottGX,Fairy,RR
067/095,C,Meowth,Colorless,C
068/095,C,Persian,Colorless,U
069/095,C,PersianGX,Colorless,RR
070/095,C,Doduo,Colorless,C
071/095,C,Dodrio,Colorless,C
072/095,C,Porygon,Colorless,C
073/095,C,Porygon,Colorless,C
074/095,C,Porygon2,Colorless,C
075/095,C,Porygon-Z,Colorless,R
076/095,C,Snorlax,Colorless,R
077/095,C,Happiny,Colorless,C
078/095,C,Chatot,Colorless,C
079/095,A,Escape Rope,I,U
080/095,C,Chip-Chip Ice Axe,I,U
081/095,A,Ultra Ball,I,U
082/095,A,Rare Candy,I,U
083/095,C,Fire Crystal,I,U
084/095,C,Dusk Stone,I,U
085/095,C,Giovanni's Exile,Su,U
086/095,B,Pokémon Fan Club,Su,U
087/095,C,Welder,Su,U
088/095,C,Red's Challenge,Su,R
089/095,C,Martial Arts Dojo,St,U
090/095,C,Dust Island,St,U
091/095,C,Triple Acceleration Energy,Colorless E,U
092/095,B,Fiery Flint,I,TR
093/095,A,Rescue Stretcher,I,TR
094/095,A,Kiawe,Su,TR
095/095,B,Cynthia,Su,TR
096/095,C,Reshiram & CharizardTag Team GX,Fire,SR
097/095,C,Reshiram & CharizardTag Team GX,Fire,SR
098/095,C,Muk & Alolan MukTag Team GX,Psychic,SR
099/095,C,Muk & Alolan MukTag Team GX,Psychic,SR
100/095,C,Marshadow & MachampTag Team GX,Fighting,SR
101/095,C,Marshadow & MachampTag Team GX,Fighting,SR
102/095,C,HonchkrowGX,Darkness,SR
103/095,C,WhimsicottGX,Fairy,SR
104/095,C,PersianGX,Colorless,SR
105/095,C,Giovanni's Exile,Su,SR
106/095,C,Welder,Su,SR
107/095,C,Red's Challenge,Su,SR
108/095,C,Reshiram & CharizardTag Team GX,Fire,HR
109/095,C,Muk & Alolan MukTag Team GX,Psychic,HR
110/095,C,Marshadow & MachampTag Team GX,Fighting,HR
111/095,C,HonchkrowGX,Darkness,HR
112/095,C,WhimsicottGX,Fairy,HR
113/095,C,PersianGX,Colorless,HR
114/095,C,Fire Crystal,I,UR
115/095,B,Shrine of Punishment,St,UR
116/095,C,Triple Acceleration Energy,Colorless E,UR
