No.,Mark,Card name,Type,Rarity
001/096,D,Scyther,Grass,C
002/096,D,Heracross,Grass,C
003/096,D,Lotad,Grass,C
004/096,D,Lombre,Grass,C
005/096,D,Ludicolo,Grass,U
006/096,D,Surskit,Grass,C
007/096,D,Masquerain,Grass,C
008/096,D,Phantump,Grass,C
009/096,D,Trevenant,Grass,U
010/096,D,EldegossV,Grass,RR
011/096,D,Applin,Grass,C
012/096,D,Flapple,Grass,R
013/096,D,NinetalesV,Fire,RR
014/096,D,Magmar,Fire,C
015/096,D,Magmortar,Fire,U
016/096,D,Litwick,Fire,C
017/096,D,Lampent,Fire,C
018/096,D,Chandelure,Fire,R
019/096,D,Heatmor,Fire,C
020/096,D,Wingull,Water,C
021/096,D,Pelipper,Water,U
022/096,D,MiloticV,Water,RR
023/096,D,Tympole,Water,C
024/096,D,Palpitoad,Water,C
025/096,D,Seismitoad,Water,U
026/096,D,Galarian Darumaka,Water,C
027/096,D,Galarian Darmanitan,Water,U
028/096,D,Eiscue,Water,R
029/096,D,Voltorb,Lightning,C
030/096,D,Electrode,Lightning,C
031/096,D,Electabuzz,Lightning,C
032/096,D,Electivire,Lightning,U
033/096,D,Shinx,Lightning,C
034/096,D,Luxio,Lightning,C
035/096,D,Luxray,Lightning,R
036/096,D,ToxtricityV,Lightning,RR
037/096,D,ToxtricityVMAX,Lightning,RRR
038/096,D,Morpeko,Lightning,C
039/096,D,Clefairy,Psychic,C
040/096,D,Clefable,Psychic,R
041/096,D,Sigilyph,Psychic,U
042/096,D,Sandygast,Psychic,C
043/096,D,Palossand,Psychic,U
044/096,D,Hatenna,Psychic,C
045/096,D,Hattrem,Psychic,C
046/096,D,Hatterene,Psychic,R
047/096,D,Milcery,Psychic,C
048/096,D,Alcremie,Psychic,U
049/096,D,DragapultV,Psychic,RR
050/096,D,DragapultVMAX,Psychic,RRR
051/096,D,Nosepass,Fighting,C
052/096,D,Meditite,Fighting,C
053/096,D,Medicham,Fighting,U
054/096,D,Barboach,Fighting,C
055/096,D,Whiscash,Fighting,U
056/096,D,Galarian Yamask,Fighting,C
057/096,D,Galarian Runerigus,Fighting,U
058/096,D,Rolycoly,Fighting,C
059/096,D,Carkol,Fighting,C
060/096,D,Coalossal,Fighting,R
061/096,D,FalinksV,Fighting,RR
062/096,D,Stonjourner,Fighting,R
063/096,D,Koffing,Darkness,C
064/096,D,Galarian Weezing,Darkness,R
065/096,D,Spiritomb,Darkness,U
066/096,D,Trubbish,Darkness,C
067/096,D,Garbodor,Darkness,U
068/096,D,Vullaby,Darkness,C
069/096,D,Mandibuzz,Darkness,U
070/096,D,MalamarV,Darkness,RR
071/096,D,MalamarVMAX,Darkness,RRR
072/096,D,Scizor,Metal,U
073/096,D,Probopass,Metal,U
074/096,D,Durant,Metal,C
075/096,D,CopperajahV,Metal,RR
076/096,D,CopperajahVMAX,Metal,RRR
077/096,D,Snorlax,Colorless,U
078/096,D,Chatot,Colorless,C
079/096,D,Pidove,Colorless,C
080/096,D,Tranquill,Colorless,C
081/096,D,Unfezant,Colorless,U
082/096,D,Stufful,Colorless,C
083/096,D,Bewear,Colorless,U
084/096,D,Skwovet,Colorless,C
085/096,D,Greedent,Colorless,U
086/096,D,Scoop Up Net,I,U
087/096,D,Nugget,I,U
088/096,D,Tool Scrapper,I,U
089/096,D,Cursed Shovel,I,U
090/096,D,Oleana,Su,U
091/096,D,Dan,Su,U
092/096,D,Boss's Orders,Su,R
093/096,D,Galar Mine,St,U
094/096,D,Speed Lightning Energy,Lightning E,U
095/096,D,Horror Psychic Energy,Psychic E,U
096/096,D,Capture Energy,Colorless E,U
097/096,D,EldegossV,Grass,SR
098/096,D,NinetalesV,Fire,SR
099/096,D,MiloticV,Water,SR
100/096,D,ToxtricityV,Lightning,SR
101/096,D,DragapultV,Psychic,SR
102/096,D,FalinksV,Fighting,SR
103/096,D,MalamarV,Darkness,SR
104/096,D,CopperajahV,Metal,SR
105/096,D,Oleana,Su,SR
106/096,D,Boss's Orders,Su,SR
107/096,D,ToxtricityVMAX,Lightning,HR
108/096,D,DragapultVMAX,Psychic,HR
109/096,D,MalamarVMAX,Darkness,HR
110/096,D,CopperajahVMAX,Metal,HR
111/096,D,Oleana,Su,HR
112/096,D,Boss's Orders,Su,HR
113/096,D,Galarian Perrserker,Metal,UR
114/096,D,Scoop Up Net,I,UR
115/096,D,Tool Scrapper,I,UR
