No.,Mark,Card name,Type,Rarity
001/069,E,Pinsir,Grass,U
002/069,E,LeafeonV,Grass,RR
003/069,E,LeafeonVMAX,Grass,RRR
004/069,E,Sewaddle,Grass,C
005/069,E,Swadloon,Grass,C
006/069,E,Leavanny,Grass,U
007/069,E,Dewpider,Grass,C
008/069,E,Araquanid,Grass,C
009/069,E,Gossifleur,Grass,C
010/069,E,Eldegoss,Grass,R
011/069,E,FlareonV,Fire,RR
012/069,E,Slugma,Fire,C
013/069,E,Magcargo,Fire,C
014/069,E,Entei,Fire,R
015/069,E,VaporeonV,Water,RR
016/069,E,Marill,Water,C
017/069,E,Azumarill,Water,C
018/069,E,Mantine,Water,C
019/069,E,Mudkip,Water,C
020/069,E,Marshtomp,Water,U
021/069,E,Swampert,Water,R
022/069,E,Feebas,Water,C
023/069,E,Milotic,Water,U
024/069,E,GlaceonV,Water,RR
025/069,E,GlaceonVMAX,Water,RRR
026/069,E,Pikachu,Lightning,C
027/069,E,Raichu,Lightning,R
028/069,E,Voltorb,Lightning,C
029/069,E,Electrode,Lightning,U
030/069,E,JolteonV,Lightning,RR
031/069,E,Rotom,Lightning,C
032/069,E,Tynamo,Lightning,C
033/069,E,Eelektrik,Lightning,C
034/069,E,Eelektross,Lightning,U
035/069,E,EspeonV,Psychic,RR
036/069,E,Mawile,Psychic,C
037/069,E,Flabébé,Psychic,C
038/069,E,Floette,Psychic,U
039/069,E,Florges,Psychic,R
040/069,E,SylveonV,Psychic,RR
041/069,E,SylveonVMAX,Psychic,RRR
042/069,E,Sandygast,Psychic,C
043/069,E,Palossand,Psychic,U
044/069,E,Marshadow,Psychic,R
045/069,E,Indeedee,Psychic,C
046/069,E,Pancham,Fighting,C
047/069,E,UmbreonV,Darkness,RR
048/069,E,UmbreonVMAX,Darkness,RRR
049/069,E,Zorua,Darkness,C
050/069,E,Zoroark,Darkness,R
051/069,E,Pangoro,Darkness,C
052/069,E,Impidimp,Darkness,C
053/069,E,Morgrem,Darkness,U
054/069,E,Grimmsnarl,Darkness,R
055/069,E,Meowth,Colorless,C
056/069,E,Persian,Colorless,U
057/069,E,Kangaskhan,Colorless,U
058/069,E,Eevee,Colorless,C
059/069,E,Smeargle,Colorless,C
060/069,E,Boost Shake,I,U
061/069,E,Dream Ball,I,U
062/069,E,Elemental Badge,I,U
063/069,E,Snow Leaf Badge,I,U
064/069,E,Moon & Sun Badge,I,U
065/069,E,Ribbon Badge,I,U
066/069,E,Aroma Lady,Su,U
067/069,E,Gordie,Su,U
068/069,E,Shopping Center,St,U
069/069,E,Treasure Energy,Colorless E,U
070/069,E,LeafeonV,Grass,SR
071/069,E,LeafeonV,Grass,SR
072/069,E,FlareonV,Fire,SR
073/069,E,FlareonV,Fire,SR
074/069,E,VaporeonV,Water,SR
075/069,E,VaporeonV,Water,SR
076/069,E,GlaceonV,Water,SR
077/069,E,GlaceonV,Water,SR
078/069,E,JolteonV,Lightning,SR
079/069,E,JolteonV,Lightning,SR
080/069,E,EspeonV,Psychic,SR
081/069,E,EspeonV,Psychic,SR
082/069,E,SylveonV,Psychic,SR
083/069,E,SylveonV,Psychic,SR
084/069,E,UmbreonV,Darkness,SR
085/069,E,UmbreonV,Darkness,SR
086/069,E,Aroma Lady,Su,SR
087/069,E,Gordie,Su,SR
088/069,E,LeafeonVMAX,Grass,HR
089/069,E,LeafeonVMAX,Grass,HR
090/069,E,GlaceonVMAX,Water,HR
091/069,E,GlaceonVMAX,Water,HR
092/069,E,SylveonVMAX,Psychic,HR
093/069,E,SylveonVMAX,Psychic,HR
094/069,E,UmbreonVMAX,Darkness,HR
095/069,E,UmbreonVMAX,Darkness,HR
096/069,E,Aroma Lady,Su,HR
097/069,E,Gordie,Su,HR
098/069,E,Inteleon,Water,UR
099/069,E,Boost Shake,I,UR
100/069,D,Turffield Stadium,St,UR
101/069,—,Darkness Energy,Darkness E,UR
