No.,Mark,Card name,Type,Rarity
001/108,G,Oddish,Grass,C
002/108,G,Gloom,Grass,C
003/108,G,Bellossom,Grass,U
004/108,G,Scyther,Grass,C
005/108,G,Shuckle,Grass,C
006/108,G,Combee,Grass,C
007/108,G,Phantump,Grass,C
008/108,G,Trevenant,Grass,U
009/108,G,Capsakid,Grass,C
010/108,G,Capsakid,Grass,C
011/108,G,Scovillain,Grass,R
012/108,G,Charmander,Fire,C
013/108,G,Charmeleon,Fire,U
014/108,G,Vulpix,Fire,C
015/108,G,Ninetales,Fire,U
016/108,G,Entei,Fire,R
017/108,G,Darumaka,Fire,C
018/108,G,Darmanitan,Fire,U
019/108,G,Heatmor,Fire,C
020/108,G,Eiscueex,Fire,RR
021/108,G,Carvanha,Water,C
022/108,G,Sharpedo,Water,U
023/108,G,Tympole,Water,C
024/108,G,Palpitoad,Water,C
025/108,G,Seismitoad,Water,U
026/108,G,Cubchoo,Water,C
027/108,G,Beartic,Water,U
028/108,G,Cryogonal,Water,C
029/108,G,Finizen,Water,C
030/108,G,Finizen,Water,C
031/108,G,Palafin,Water,R
032/108,G,Tyranitarex,Lightning,RR
033/108,G,Tynamo,Lightning,C
034/108,G,Eelektrik,Lightning,C
035/108,G,Eelektross,Lightning,U
036/108,G,Thundurus,Lightning,R
037/108,G,Toxel,Lightning,C
038/108,G,Toxtricity,Lightning,R
039/108,G,Tadbulb,Lightning,C
040/108,G,Tadbulb,Lightning,C
041/108,G,Bellibolt,Lightning,U
042/108,G,Cleffa,Psychic,C
043/108,G,Togepi,Psychic,C
044/108,G,Togetic,Psychic,C
045/108,G,Togekiss,Psychic,R
046/108,G,Espeon,Psychic,U
047/108,G,Lunatone,Psychic,U
048/108,G,Solrock,Psychic,U
049/108,G,Baltoy,Psychic,C
050/108,G,Claydol,Psychic,R
051/108,G,Vespiquenex,Psychic,RR
052/108,G,Greavard,Psychic,C
053/108,G,Greavard,Psychic,C
054/108,G,Houndstone,Psychic,U
055/108,G,Larvitar,Fighting,C
056/108,G,Pupitar,Fighting,C
057/108,G,Nosepass,Fighting,C
058/108,G,Bonsly,Fighting,C
059/108,G,Stunfisk,Fighting,U
060/108,G,Diggersby,Fighting,C
061/108,G,Rockruff,Fighting,C
062/108,G,Lycanroc,Fighting,U
063/108,G,Glimmet,Fighting,C
064/108,G,Glimmet,Fighting,C
065/108,G,Glimmoraex,Fighting,RR
066/108,G,Charizardex,Darkness,RR
067/108,G,Paldean Wooper,Darkness,C
068/108,G,Paldean Wooper,Darkness,C
069/108,G,Paldean Clodsire,Darkness,U
070/108,G,Umbreon,Darkness,U
071/108,G,Houndour,Darkness,C
072/108,G,Houndoom,Darkness,U
073/108,G,Absolex,Darkness,RR
074/108,G,Darkrai,Darkness,R
075/108,G,Inkay,Darkness,C
076/108,G,Malamar,Darkness,U
077/108,G,Scizor,Metal,R
078/108,G,Mawile,Metal,U
079/108,G,Probopass,Metal,C
080/108,G,Pawniard,Metal,C
081/108,G,Bisharp,Metal,C
082/108,G,Kingambit,Metal,U
083/108,G,Varoom,Metal,C
084/108,G,Varoom,Metal,C
085/108,G,Revavroomex,Metal,RR
086/108,G,Altaria,Dragon,U
087/108,G,Pidgey,Colorless,C
088/108,G,Pidgeotto,Colorless,C
089/108,G,Pidgeotex,Colorless,RR
090/108,G,Kangaskhan,Colorless,U
091/108,G,Eevee,Colorless,C
092/108,G,Zigzagoon,Colorless,C
093/108,G,Linoone,Colorless,C
094/108,G,Swablu,Colorless,C
095/108,G,Bunnelby,Colorless,C
096/108,G,Lechonk,Colorless,C
097/108,G,Lechonk,Colorless,C
098/108,G,Oinkologne,Colorless,U
099/108,G,Flamigo,Colorless,U
100/108,G,Letter of Encouragement,I,U
101/108,G,Patrol Cap,PT,U
102/108,G,Vengeful Punch,PT,U
103/108,G,Geeta,Su,R
104/108,G,Ortega,Su,U
105/108,G,Poppy,Su,U
106/108,G,Ryme,Su,U
107/108,G,Town Store,St,U
108/108,G,Pokémon League Headquarters,St,U
109/108,G,Gloom,Grass,AR
110/108,G,Ninetales,Fire,AR
111/108,G,Palafin,Water,AR
112/108,G,Bellibolt,Lightning,AR
113/108,G,Cleffa,Psychic,AR
114/108,G,Larvitar,Fighting,AR
115/108,G,Houndour,Darkness,AR
116/108,G,Scizor,Metal,AR
117/108,G,Varoom,Metal,AR
118/108,G,Pidgey,Colorless,AR
119/108,G,Pidgeotto,Colorless,AR
120/108,G,Lechonk,Colorless,AR
121/108,G,Eiscueex,Fire,SR
122/108,G,Tyranitarex,Lightning,SR
123/108,G,Vespiquenex,Psychic,SR
124/108,G,Glimmoraex,Fighting,SR
125/108,G,Charizardex,Darkness,SR
126/108,G,Absolex,Darkness,SR
127/108,G,Revavroomex,Metal,SR
128/108,G,Pidgeotex,Colorless,SR
129/108,G,Geeta,Su,SR
130/108,G,Ortega,Su,SR
131/108,G,Poppy,Su,SR
132/108,G,Ryme,Su,SR
133/108,G,Eiscueex,Fire,SAR
134/108,G,Charizardex,Darkness,SAR
135/108,G,Revavroomex,Metal,SAR
136/108,G,Pidgeotex,Colorless,SAR
137/108,G,Geeta,Su,SAR
138/108,G,Poppy,Su,SAR
139/108,G,Charizardex,Darkness,UR
140/108,G,Artazon,St,UR
141/108,—,Basic Fire Energy,Fire E,UR
