No.,Mark,Card name,Type,Rarity
001/066,G,Pansage,Grass,C
002/066,G,Simisage,Grass,U
003/066,G,Maractus,Grass,C
004/066,G,Dwebble,Grass,C
005/066,G,Crustle,Grass,C
006/066,G,Bounsweet,Grass,C
007/066,G,Steenee,Grass,U
008/066,G,Nymble,Grass,C
009/066,G,Nymble,Grass,C
010/066,G,Magby,Fire,C
011/066,G,Numel,Fire,C
012/066,G,Camerupt,Fire,U
013/066,G,Charcadet,Fire,C
014/066,G,Charcadet,Fire,C
015/066,G,Armarougeex,Fire,RR
016/066,G,Chi-Yu,Fire,R
017/066,G,Horsea,Water,C
018/066,G,Seadra,Water,C
019/066,G,Kingdra,Water,R
020/066,G,Tsareenaex,Water,RR
021/066,G,Wimpod,Water,C
022/066,G,Golisopodex,Water,RR
023/066,G,Wiglett,Water,C
024/066,G,Wiglett,Water,C
025/066,G,Wugtrio,Water,U
026/066,G,Veluza,Water,U
027/066,G,Latios,Psychic,R
028/066,G,Woobat,Psychic,C
029/066,G,Swoobat,Psychic,U
030/066,G,Yamask,Psychic,C
031/066,G,Cofagrigusex,Psychic,RR
032/066,G,Scream Tail,Psychic,U
033/066,G,Mienfoo,Fighting,C
034/066,G,Mienshao,Fighting,U
035/066,G,Clobbopus,Fighting,C
036/066,G,Grapploct,Fighting,U
037/066,G,Nacli,Fighting,C
038/066,G,Nacli,Fighting,C
039/066,G,Naclstack,Fighting,C
040/066,G,Garganacl,Fighting,R
041/066,G,Slither Wing,Fighting,U
042/066,G,Sandy Shocksex,Fighting,RR
043/066,G,Ting-Lu,Fighting,R
044/066,G,Zubat,Darkness,C
045/066,G,Golbat,Darkness,C
046/066,G,Crobat,Darkness,U
047/066,G,Purrloin,Darkness,C
048/066,G,Liepard,Darkness,C
049/066,G,Trubbish,Darkness,C
050/066,G,Garbodor,Darkness,U
051/066,G,Morpeko,Darkness,R
052/066,G,Lokix,Darkness,R
053/066,G,Brute Bonnet,Darkness,R
054/066,G,Roaring Moonex,Darkness,RR
055/066,G,Whismur,Colorless,C
056/066,G,Loudred,Colorless,C
057/066,G,Exploud,Colorless,U
058/066,G,Spinda,Colorless,C
059/066,G,Snorlax Doll,I,U
060/066,G,Earthen Vessel,I,U
061/066,G,Ancient Booster Energy Capsule,PT,U
062/066,G,Defiance Vest,PT,U
063/066,G,Technical Machine: Devolution,PT,U
064/066,G,Professor Sada's Vitality,Su,U
065/066,G,Norman,Su,U
066/066,G,Mela,Su,U
067/066,G,Crustle,Grass,AR
068/066,G,Magby,Fire,AR
069/066,G,Wimpod,Water,AR
070/066,G,Veluza,Water,AR
071/066,G,Scream Tail,Psychic,AR
072/066,G,Mienshao,Fighting,AR
073/066,G,Garganacl,Fighting,AR
074/066,G,Slither Wing,Fighting,AR
075/066,G,Garbodor,Darkness,AR
076/066,G,Morpeko,Darkness,AR
077/066,G,Brute Bonnet,Darkness,AR
078/066,G,Loudred,Colorless,AR
079/066,G,Armarougeex,Fire,SR
080/066,G,Tsareenaex,Water,SR
081/066,G,Golisopodex,Water,SR
082/066,G,Cofagrigusex,Psychic,SR
083/066,G,Sandy Shocksex,Fighting,SR
084/066,G,Roaring Moonex,Darkness,SR
085/066,G,Professor Sada's Vitality,Su,SR
086/066,G,Norman,Su,SR
087/066,G,Mela,Su,SR
088/066,G,Golisopodex,Water,SAR
089/066,G,Sandy Shocksex,Fighting,SAR
090/066,G,Roaring Moonex,Darkness,SAR
091/066,G,Professor Sada's Vitality,Su,SAR
092/066,G,Mela,Su,SAR
093/066,G,Roaring Moonex,Darkness,UR
094/066,G,Luxurious Cape,PT,UR
095/066,—,Basic Darkness Energy,Darkness E,UR
