No.,Mark,Card name,Type,Rarity
001/071,H,Roselia,Grass,C
002/071,H,Roserade,Grass,U
003/071,H,Turtwig,Grass,C
004/071,H,Grotle,Grass,C
005/071,H,Torterraex,Grass,RR
006/071,H,Shaymin,Grass,U
007/071,H,Cottonee,Grass,C
008/071,H,Whimsicott,Grass,R
009/071,H,Heatmor,Fire,C
010/071,H,Sizzlipede,Fire,C
011/071,H,Centiskorch,Fire,U
012/071,H,Gouging Fireex,Fire,RR
013/071,H,Totodile,Water,C
014/071,H,Croconaw,Water,C
015/071,H,Feraligatr,Water,R
016/071,H,Carvanha,Water,C
017/071,H,Sharpedo,Water,U
018/071,H,Keldeo,Water,U
019/071,H,Snom,Water,C
020/071,H,Frosmoth,Water,C
021/071,H,Wiglett,Water,C
022/071,H,Finizen,Water,C
023/071,H,Palafin,Water,U
024/071,H,Walking Wakeex,Water,RR
025/071,H,Wugtrioex,Lightning,RR
026/071,H,Marill,Psychic,C
027/071,H,Azumarill,Psychic,C
028/071,H,Bronzor,Psychic,C
029/071,H,Bronzong,Psychic,U
030/071,H,Solosis,Psychic,C
031/071,H,Duosion,Psychic,C
032/071,H,Reuniclus,Psychic,U
033/071,H,Flutter Mane,Psychic,R
034/071,H,Relicanth,Fighting,R
035/071,H,Golett,Fighting,C
036/071,H,Golurk,Fighting,U
037/071,H,Mudbray,Fighting,C
038/071,H,Mudsdale,Fighting,U
039/071,H,Rolycoly,Fighting,C
040/071,H,Carkol,Fighting,C
041/071,H,Coalossal,Fighting,U
042/071,H,Great Tusk,Fighting,U
043/071,H,Ekans,Darkness,C
044/071,H,Arbok,Darkness,C
045/071,H,Gastly,Darkness,C
046/071,H,Haunter,Darkness,C
047/071,H,Gengarex,Darkness,RR
048/071,H,Poochyena,Darkness,C
049/071,H,Mightyena,Darkness,C
050/071,H,Sableye,Darkness,U
051/071,H,Roaring Moon,Darkness,R
052/071,H,Koraidon,Dragon,R
053/071,H,Raging Boltex,Dragon,RR
054/071,H,Hoothoot,Colorless,C
055/071,H,Noctowl,Colorless,C
056/071,H,Dunsparce,Colorless,C
057/071,H,Dudunsparce,Colorless,R
058/071,H,Chatot,Colorless,C
059/071,H,Minccino,Colorless,C
060/071,H,Cinccino,Colorless,U
061/071,H,Boxed Order,I,U
062/071,H,Awakening Drum,I,ACE
063/071,H,Buddy-Buddy Poffin,I,U
064/071,H,Rescue Board,PT,U
065/071,G,Ancient Booster Energy Capsule,PT,U
066/071,H,Maximum Belt,PT,ACE
067/071,H,Explorer's Guidance,Su,U
068/071,H,Eri,Su,U
069/071,H,Morty's Conviction,Su,U
070/071,H,Perilous Jungle,St,U
071/071,H,Neo Upper Energy,Rainbow E,ACE
072/071,H,Grotle,Grass,AR
073/071,H,Snom,Water,AR
074/071,H,Bronzor,Psychic,AR
075/071,H,Reuniclus,Psychic,AR
076/071,H,Flutter Mane,Psychic,AR
077/071,H,Relicanth,Fighting,AR
078/071,H,Mudsdale,Fighting,AR
079/071,H,Arbok,Darkness,AR
080/071,H,Gastly,Darkness,AR
081/071,H,Chatot,Colorless,AR
082/071,H,Minccino,Colorless,AR
083/071,H,Cinccino,Colorless,AR
084/071,H,Torterraex,Grass,SR
085/071,H,Gouging Fireex,Fire,SR
086/071,H,Walking Wakeex,Water,SR
087/071,H,Wugtrioex,Lightning,SR
088/071,H,Gengarex,Darkness,SR
089/071,H,Raging Boltex,Dragon,SR
090/071,H,Explorer's Guidance,Su,SR
091/071,H,Eri,Su,SR
092/071,H,Morty's Conviction,Su,SR
093/071,H,Gouging Fireex,Fire,SAR
094/071,H,Walking Wakeex,Water,SAR
095/071,H,Raging Boltex,Dragon,SAR
096/071,H,Eri,Su,SAR
097/071,H,Morty's Conviction,Su,SAR
098/071,H,Gouging Fireex,Fire,UR
099/071,H,Walking Wakeex,Water,UR
100/071,H,Raging Boltex,Dragon,UR
