No.,Mark,Card name,Type,Rarity
001/064,H,Exeggcute,Grass,C
002/064,H,Morelull,Grass,C
003/064,H,Shiinotic,Grass,U
004/064,H,Dhelmise,Grass,C
005/064,H,Zarude,Grass,R
006/064,H,Castform Sunny Form,Fire,C
007/064,H,Pansear,Fire,C
008/064,H,Simisear,Fire,C
009/064,H,Gouging Fire,Fire,R
010/064,H,Cryogonal,Water,C
011/064,H,Black Kyuremex,Water,RR
012/064,H,Bruxish,Water,U
013/064,H,Quaxly,Water,C
014/064,H,Quaxwell,Water,C
015/064,H,Quaquaval,Water,U
016/064,H,Cetoddle,Water,C
017/064,H,Cetitan,Water,C
018/064,H,Smoochum,Psychic,C
019/064,H,Latiasex,Psychic,RR
020/064,H,Latios,Psychic,U
021/064,H,Tapu Lele,Psychic,R
022/064,H,Flittle,Psychic,C
023/064,H,Espathra,Psychic,U
024/064,H,Gimmighoul,Psychic,C
025/064,H,Trapinch,Fighting,C
026/064,H,Vibrava,Fighting,C
027/064,H,Flygonex,Fighting,RR
028/064,H,Drilbur,Fighting,C
029/064,H,Excadrill,Fighting,C
030/064,H,Landorus,Fighting,R
031/064,H,Passimian,Fighting,U
032/064,H,Clobbopus,Fighting,C
033/064,H,Grapploct,Fighting,C
034/064,H,Skarmory,Metal,C
035/064,H,Klefki,Metal,C
036/064,H,Duraludon,Metal,C
037/064,H,Archaludonex,Metal,RR
038/064,H,Gholdengo,Metal,U
039/064,H,Iron Crown,Metal,R
040/064,H,Alolan Exeggutorex,Dragon,RR
041/064,H,Altaria,Dragon,U
042/064,H,Dialga,Dragon,R
043/064,H,Palkia,Dragon,R
044/064,H,Turtonator,Dragon,U
045/064,H,Applin,Dragon,C
046/064,H,Flapple,Dragon,U
047/064,H,Appletun,Dragon,U
048/064,H,Swablu,Colorless,C
049/064,H,Rufflet,Colorless,C
050/064,H,Braviary,Colorless,U
051/064,H,Cyclizarex,Colorless,RR
052/064,H,Energy Search Pro,I,ACE
053/064,H,Call Bell,I,U
054/064,H,Dusk Ball,I,U
055/064,H,Meddling Memo,I,U
056/064,H,Megaton Blower,I,ACE
057/064,H,Dragon Elixir,I,U
058/064,H,Passho Berry,PT,U
059/064,H,Counter Gain,PT,U
060/064,H,Drayton,Su,U
061/064,H,Surfer,Su,U
062/064,H,Drasna,Su,C
063/064,H,Lisia's Appeal,Su,U
064/064,H,Enriching Energy,Colorless E,ACE
065/064,H,Exeggcute,Grass,AR
066/064,H,Shiinotic,Grass,AR
067/064,H,Castform Sunny Form,Fire,AR
068/064,H,Bruxish,Water,AR
069/064,H,Cetitan,Water,AR
070/064,H,Latios,Psychic,AR
071/064,H,Vibrava,Fighting,AR
072/064,H,Clobbopus,Fighting,AR
073/064,H,Skarmory,Metal,AR
074/064,H,Flapple,Dragon,AR
075/064,H,Appletun,Dragon,AR
076/064,H,Braviary,Colorless,AR
077/064,H,Black Kyuremex,Water,SR
078/064,H,Latiasex,Psychic,SR
079/064,H,Flygonex,Fighting,SR
080/064,H,Archaludonex,Metal,SR
081/064,H,Alolan Exeggutorex,Dragon,SR
082/064,H,Cyclizarex,Colorless,SR
083/064,H,Drayton,Su,SR
084/064,H,Surfer,Su,SR
085/064,H,Drasna,Su,SR
086/064,H,Lisia's Appeal,Su,SR
087/064,H,Latiasex,Psychic,SAR
088/064,H,Archaludonex,Metal,SAR
089/064,H,Alolan Exeggutorex,Dragon,SAR
090/064,H,Drayton,Su,SAR
091/064,H,Lisia's Appeal,Su,SAR
092/064,H,Alolan Exeggutorex,Dragon,UR
093/064,H,Counter Gain,PT,UR
094/064,G,Jet Energy,Colorless E,UR
