No.,Mark,Card name,Type,Rarity
001/063,I,Ethan's Pinsir,Grass,U
002/063,I,Yanma,Grass,C
003/063,I,Yanmegaex,Grass,RR
004/063,I,Cynthia's Roselia,Grass,C
005/063,I,Cynthia's Roserade,Grass,R
006/063,I,Shaymin,Grass,U
007/063,I,Dwebble,Grass,C
008/063,I,Crustle,Grass,R
009/063,I,Applin,Grass,C
010/063,I,Dipplin,Grass,C
011/063,I,Hydrapple,Grass,R
012/063,I,Teal Mask Ogerpon,Grass,U
013/063,I,Ponyta,Fire,C
014/063,I,Rapidash,Fire,U
015/063,I,Ethan's Cyndaquil,Fire,C
016/063,I,Ethan's Quilava,Fire,C
017/063,I,Ethan's Typhlosion,Fire,R
018/063,I,Ethan's Slugma,Fire,C
019/063,I,Ethan's Magcargo,Fire,R
020/063,I,Ethan's Ho-Ohex,Fire,RR
021/063,I,Hearthflame Mask Ogerpon,Fire,U
022/063,I,Misty's Psyduck,Water,U
023/063,I,Misty's Staryu,Water,C
024/063,I,Misty's Starmie,Water,U
025/063,I,Misty's Magikarp,Water,C
026/063,I,Misty's Gyarados,Water,R
027/063,I,Misty's Lapras,Water,C
028/063,I,Cynthia's Feebas,Water,C
029/063,I,Cynthia's Milotic,Water,U
030/063,I,Buizel,Water,C
031/063,I,Floatzel,Water,U
032/063,I,Dondozoex,Water,RR
033/063,I,Wellspring Mask Ogerpon,Water,U
034/063,I,Electabuzz,Lightning,C
035/063,I,Electivireex,Lightning,RR
036/063,I,Ethan's Pichu,Lightning,C
037/063,I,Electrike,Lightning,C
038/063,I,Manectric,Lightning,C
039/063,I,Rotom,Lightning,C
040/063,I,Zeraora,Lightning,R
041/063,I,Ethan's Sudowoodo,Fighting,C
042/063,I,Cynthia's Gible,Fighting,C
043/063,I,Cynthia's Gabite,Fighting,U
044/063,I,Cynthia's Garchompex,Fighting,RR
045/063,I,Mudbray,Fighting,C
046/063,I,Mudsdale,Fighting,U
047/063,I,Arven's Toedscool,Fighting,C
048/063,I,Arven's Toedscruel,Fighting,U
049/063,I,Cornerstone Mask Ogerpon,Fighting,U
050/063,I,Cynthia's Spiritomb,Darkness,U
051/063,I,Arven's Maschiff,Darkness,C
052/063,I,Arven's Mabosstiffex,Darkness,RR
053/063,I,Tauros,Colorless,C
054/063,I,Arven's Skwovet,Colorless,C
055/063,I,Arven's Greedent,Colorless,R
056/063,I,Sacred Ash,I,U
057/063,I,Arven's Sandwich,I,U
058/063,G,Switch,I,U
059/063,G,Pokémon Catcher,I,U
060/063,I,Cynthia's Power Weight,PT,U
061/063,I,Emcee's Hype,Su,C
062/063,G,Judge,Su,U
063/063,I,Ethan's Adventure,Su,U
064/063,I,Yanma,Grass,AR
065/063,I,Cynthia's Roserade,Grass,AR
066/063,I,Shaymin,Grass,AR
067/063,I,Crustle,Grass,AR
068/063,I,Hydrapple,Grass,AR
069/063,I,Rapidash,Fire,AR
070/063,I,Ethan's Typhlosion,Fire,AR
071/063,I,Misty's Psyduck,Water,AR
072/063,I,Misty's Lapras,Water,AR
073/063,I,Electrike,Lightning,AR
074/063,I,Rotom,Lightning,AR
075/063,I,Arven's Greedent,Colorless,AR
076/063,I,Yanmegaex,Grass,SR
077/063,I,Ethan's Ho-Ohex,Fire,SR
078/063,I,Dondozoex,Water,SR
079/063,I,Electivireex,Lightning,SR
080/063,I,Cynthia's Garchompex,Fighting,SR
081/063,I,Arven's Mabosstiffex,Darkness,SR
082/063,I,Emcee's Hype,Su,SR
083/063,G,Judge,Su,SR
084/063,I,Ethan's Adventure,Su,SR
085/063,I,Yanmegaex,Grass,SAR
086/063,I,Ethan's Ho-Ohex,Fire,SAR
087/063,I,Cynthia's Garchompex,Fighting,SAR
088/063,I,Arven's Mabosstiffex,Darkness,SAR
089/063,I,Ethan's Adventure,Su,SAR
090/063,I,Ethan's Ho-Ohex,Fire,UR
091/063,I,Cynthia's Garchompex,Fighting,UR
092/063,I,Levincia,St,UR
