No.,Mark,Card name,Type,Rarity
001/086,I,Snivy,Grass,C
002/086,I,Servine,Grass,C
003/086,I,Serperiorex,Grass,RR
004/086,I,Pansage,Grass,C
005/086,I,Simisage,Grass,U
006/086,I,Petilil,Grass,C
007/086,I,Lilligant,Grass,U
008/086,I,Maractus,Grass,C
009/086,I,Karrablast,Grass,C
010/086,I,Foongus,Grass,C
011/086,I,Amoonguss,Grass,U
012/086,I,Victini,Fire,R
013/086,I,Darumaka,Fire,C
014/086,I,Darmanitan,Fire,U
015/086,I,Litwick,Fire,C
016/086,I,Lampent,Fire,C
017/086,I,Chandelure,Fire,R
018/086,I,Larvesta,Fire,C
019/086,I,Volcarona,Fire,R
020/086,I,Panpour,Water,C
021/086,I,Simipour,Water,U
022/086,I,Tympole,Water,C
023/086,I,Palpitoad,Water,C
024/086,I,Seismitoad,Water,U
025/086,I,Tirtouga,Water,U
026/086,I,Carracosta,Water,R
027/086,I,Alomomola,Water,U
028/086,I,Cubchoo,Water,C
029/086,I,Beartic,Water,R
030/086,I,Cryogonal,Water,U
031/086,I,Kyuremex,Water,RR
032/086,I,Emolga,Lightning,C
033/086,I,Tynamo,Lightning,C
034/086,I,Eelektrik,Lightning,U
035/086,I,Eelektross,Lightning,U
036/086,I,Thundurus,Lightning,R
037/086,I,Zekromex,Lightning,RR
038/086,I,Munna,Psychic,C
039/086,I,Musharna,Psychic,U
040/086,I,Solosis,Psychic,C
041/086,I,Duosion,Psychic,C
042/086,I,Reuniclus,Psychic,U
043/086,I,Elgyem,Psychic,C
044/086,I,Beheeyem,Psychic,U
045/086,I,Golett,Psychic,C
046/086,I,Golurk,Psychic,U
047/086,I,Meloettaex,Psychic,RR
048/086,I,Drilbur,Fighting,C
049/086,I,Excadrillex,Fighting,RR
050/086,I,Timburr,Fighting,C
051/086,I,Gurdurr,Fighting,C
052/086,I,Conkeldurr,Fighting,R
053/086,I,Throh,Fighting,U
054/086,I,Dwebble,Fighting,C
055/086,I,Crustle,Fighting,U
056/086,I,Landorus,Fighting,R
057/086,I,Venipede,Darkness,C
058/086,I,Whirlipede,Darkness,C
059/086,I,Scolipede,Darkness,U
060/086,I,Sandile,Darkness,C
061/086,I,Krokorok,Darkness,C
062/086,I,Krookodile,Darkness,U
063/086,I,Vullaby,Darkness,C
064/086,I,Mandibuzz,Darkness,U
065/086,I,Escavalier,Metal,U
066/086,I,Pawniard,Metal,C
067/086,I,Bisharp,Metal,U
068/086,I,Cobalion,Metal,R
069/086,I,Genesectex,Metal,RR
070/086,I,Axew,Dragon,C
071/086,I,Fraxure,Dragon,C
072/086,I,Haxorus,Dragon,R
073/086,I,Pidove,Colorless,C
074/086,I,Tranquill,Colorless,C
075/086,I,Unfezant,Colorless,U
076/086,I,Audino,Colorless,C
077/086,I,Minccino,Colorless,C
078/086,I,Cinccino,Colorless,U
079/086,I,Energy Coin,I,U
080/086,H,Antique Cover Fossil,I,C
081/086,I,Pokégear 3.0,I,U
082/086,I,Air Balloon,PT,U
083/086,I,N's Plan,Su,U
084/086,G,Professor's Research [Professor Juniper],Su,U
085/086,I,Fennel,Su,U
086/086,I,Prism Energy,Rainbow E,U
087/086,I,Snivy,Grass,AR
088/086,I,Servine,Grass,AR
089/086,I,Pansage,Grass,AR
090/086,I,Simisage,Grass,AR
091/086,I,Petilil,Grass,AR
092/086,I,Lilligant,Grass,AR
093/086,I,Maractus,Grass,AR
094/086,I,Karrablast,Grass,AR
095/086,I,Foongus,Grass,AR
096/086,I,Amoonguss,Grass,AR
097/086,I,Victini,Fire,AR
098/086,I,Darumaka,Fire,AR
099/086,I,Darmanitan,Fire,AR
100/086,I,Litwick,Fire,AR
101/086,I,Lampent,Fire,AR
102/086,I,Chandelure,Fire,AR
103/086,I,Larvesta,Fire,AR
104/086,I,Volcarona,Fire,AR
105/086,I,Panpour,Water,AR
106/086,I,Simipour,Water,AR
107/086,I,Tympole,Water,AR
108/086,I,Palpitoad,Water,AR
109/086,I,Seismitoad,Water,AR
110/086,I,Tirtouga,Water,AR
111/086,I,Carracosta,Water,AR
112/086,I,Alomomola,Water,AR
113/086,I,Cubchoo,Water,AR
114/086,I,Beartic,Water,AR
115/086,I,Cryogonal,Water,AR
116/086,I,Emolga,Lightning,AR
117/086,I,Tynamo,Lightning,AR
118/086,I,Eelektrik,Lightning,AR
119/086,I,Eelektross,Lightning,AR
120/086,I,Thundurus,Lightning,AR
121/086,I,Munna,Psychic,AR
122/086,I,Musharna,Psychic,AR
123/086,I,Solosis,Psychic,AR
124/086,I,Duosion,Psychic,AR
125/086,I,Reuniclus,Psychic,AR
126/086,I,Elgyem,Psychic,AR
127/086,I,Beheeyem,Psychic,AR
128/086,I,Golett,Psychic,AR
129/086,I,Golurk,Psychic,AR
130/086,I,Drilbur,Fighting,AR
131/086,I,Timburr,Fighting,AR
132/086,I,Gurdurr,Fighting,AR
133/086,I,Conkeldurr,Fighting,AR
134/086,I,Throh,Fighting,AR
135/086,I,Dwebble,Fighting,AR
136/086,I,Crustle,Fighting,AR
137/086,I,Landorus,Fighting,AR
138/086,I,Venipede,Darkness,AR
139/086,I,Whirlipede,Darkness,AR
140/086,I,Scolipede,Darkness,AR
141/086,I,Sandile,Darkness,AR
142/086,I,Krokorok,Darkness,AR
143/086,I,Krookodile,Darkness,AR
144/086,I,Vullaby,Darkness,AR
145/086,I,Mandibuzz,Darkness,AR
146/086,I,Escavalier,Metal,AR
147/086,I,Pawniard,Metal,AR
148/086,I,Bisharp,Metal,AR
149/086,I,Cobalion,Metal,AR
150/086,I,Axew,Dragon,AR
151/086,I,Fraxure,Dragon,AR
152/086,I,Haxorus,Dragon,AR
153/086,I,Pidove,Colorless,AR
154/086,I,Tranquill,Colorless,AR
155/086,I,Unfezant,Colorless,AR
156/086,I,Audino,Colorless,AR
157/086,I,Minccino,Colorless,AR
158/086,I,Cinccino,Colorless,AR
159/086,I,Serperiorex,Grass,SR
160/086,I,Kyuremex,Water,SR
161/086,I,Zekromex,Lightning,SR
162/086,I,Meloettaex,Psychic,SR
163/086,I,Excadrillex,Fighting,SR
164/086,I,Genesectex,Metal,SR
165/086,I,N's Plan,Su,SR
166/086,I,Fennel,Su,SR
167/086,I,Serperiorex,Grass,SAR
168/086,I,Kyuremex,Water,SAR
169/086,I,Zekromex,Lightning,SAR
170/086,I,Meloettaex,Psychic,SAR
171/086,I,Excadrillex,Fighting,SAR
172/086,I,Genesectex,Metal,SAR
173/086,I,N's Plan,Su,SAR
174/086,I,Zekromex,Lightning,BWR
