No.,Card name,Type,Rarity
—,Bulbasaur,Grass,Common
—,Caterpie,Grass,Common
—,Metapod,Grass,Common
—,Weedle,Grass,Common
—,Nidoran♂,Grass,Common
—,Koffing,Grass,Common
—,Tangela,Grass,Common
—,Ivysaur,Grass,Uncommon
—,Kakuna,Grass,Uncommon
—,Nidorino,Grass,Uncommon
—,Venusaur,Grass,Rare Holo
—,Beedrill,Grass,Rare
—,Nidoking,Grass,Rare Holo
—,Charmander,Fire,Common
—,Vulpix,Fire,Common
—,Ponyta,Fire,Common
—,Charmeleon,Fire,Uncommon
—,Growlithe,Fire,Uncommon
—,Arcanine,Fire,Uncommon
—,Magmar,Fire,Uncommon
—,Charizard,Fire,Rare Holo
—,Ninetales,Fire,Rare Holo
—,Squirtle,Water,Common
—,Poliwag,Water,Common
—,Staryu,Water,Common
—,Starmie,Water,Common
—,Wartortle,Water,Uncommon
—,Poliwhirl,Water,Uncommon
—,Seel,Water,Uncommon
—,Dewgong,Water,Uncommon
—,Magikarp,Water,Uncommon
—,Blastoise,Water,Rare Holo
—,Poliwrath,Water,Rare Holo
—,Gyarados,Water,Rare Holo
—,Pikachu,Lightning,Common
—,Magnemite,Lightning,Common
—,Voltorb,Lightning,Common
—,Raichu,Lightning,Rare Holo
—,Magneton,Lightning,Rare Holo
—,Electrode,Lightning,Rare
—,Electabuzz,Lightning,Rare
—,Zapdos,Lightning,Rare Holo
—,Abra,Psychic,Common
—,Gastly,Psychic,Common
—,Drowzee,Psychic,Common
—,Kadabra,Psychic,Uncommon
—,Haunter,Psychic,Uncommon
—,Jynx,Psychic,Uncommon
—,Alakazam,Psychic,Rare Holo
—,Mewtwo,Psychic,Rare Holo
—,Sandshrew,Fighting,Common
—,Diglett,Fighting,Common
—,Machop,Fighting,Common
—,Onix,Fighting,Common
—,Machoke,Fighting,Uncommon
—,Dugtrio,Fighting,Rare
—,Machamp,Fighting,Rare Holo
—,Hitmonchan,Fighting,Rare Holo
—,Pidgey,Colorless,Common
—,Rattata,Colorless,Common
—,Doduo,Colorless,Common
—,Raticate,Colorless,Uncommon
—,Farfetch'd,Colorless,Uncommon
—,Porygon,Colorless,Uncommon
—,Dratini,Colorless,Uncommon
—,Pidgeotto,Colorless,Rare
—,Clefairy,Colorless,Rare Holo
—,Chansey,Colorless,Rare Holo
—,Dragonair,Colorless,Rare
—,Energy Removal,T,Common
—,Potion,T,Common
—,Gust of Wind,T,Common
—,Switch,T,Common
—,Bill,T,Common
—,Super Potion,T,Uncommon
—,Energy Retrieval,T,Uncommon
—,Professor Oak,T,Uncommon
—,Revive,T,Uncommon
—,Defender,T,Uncommon
—,Full Heal,T,Uncommon
—,PlusPower,T,Uncommon
—,Pokédex,T,Uncommon
—,Pokémon Center,T,Uncommon
—,Pokémon Flute,T,Uncommon
—,Maintenance,T,Uncommon
—,Devolution Spray,T,Rare
—,Item Finder,T,Rare
—,Super Energy Removal,T,Rare
—,Impostor Professor Oak,T,Rare
—,Computer Search,T,Rare
—,Clefairy Doll,T,Rare
—,Scoop Up,T,Rare
—,Pokémon Trader,T,Rare
—,Pokémon Breeder,T,Rare
—,Lass,T,Rare
—,Double Colorless Energy,Colorless E,Uncommon
—,Grass Energy,Grass E,—
—,Fire Energy,Fire E,—
—,Water Energy,Water E,—
—,Lightning Energy,Lightning E,—
—,Psychic Energy,Psychic E,—
—,Fighting Energy,Fighting E,—
