No.,Card name,Type,Rarity
—,Bulbasaur,Grass,Uncommon
—,Caterpie,Grass,Common
—,Metapod,Grass,Uncommon
—,Weedle,Grass,Common
—,Kakuna,Grass,Common
—,Nidoran♀,Grass,Common
—,Nidoran♂,Grass,Common
—,Zubat,Grass,Common
—,Golbat,Grass,Common
—,Paras,Grass,Common
—,Parasect,Grass,Common
—,Pinsir,Grass,Uncommon
—,Charmander,Fire,Uncommon
—,Rapidash,Fire,Uncommon
—,Squirtle,Water,Uncommon
—,Poliwag,Water,Common
—,Poliwhirl,Water,Uncommon
—,Poliwrath,Water,Uncommon
—,Pikachu,Lightning,Uncommon
—,Abra,Psychic,Common
—,Mr. Mime,Psychic,Uncommon
—,Mewtwo,Psychic,Uncommon
—,Geodude,Fighting,Common
—,Pidgey,Colorless,Common
—,Rattata,Colorless,Common
—,Clefairy,Colorless,Uncommon
—,Wigglytuff,Colorless,Uncommon
—,Doduo,Colorless,Common
—,Dodrio,Colorless,Common
—,Lickitung,Colorless,Uncommon
—,Chansey,Colorless,Uncommon
—,Eevee,Colorless,Common
—,Porygon,Colorless,Common
—,Snorlax,Colorless,Uncommon
—,Moon Stone,T,—
—,Fossil Excavation,T,—
