No.,Card,Type,Quantity
—,Lt. Surge's Pikachu,Lightning,2×
—,Lt. Surge's Pikachu,Lightning,2×
—,Lt. Surge's Raichu,Lightning,2×
—,Lt. Surge's Magnemite,Lightning,2×
—,Lt. Surge's Magnemite,Lightning,1×
—,Lt. Surge's Magneton,Lightning,1×
—,Lt. Surge's Voltorb,Lightning,2×
—,Lt. Surge's Voltorb,Lightning,2×
—,Lt. Surge's Electrode,Lightning,2×
—,Lt. Surge's Electabuzz,Lightning,2×
—,Lt. Surge's Rattata,Colorless,2×
—,Lt. Surge's Raticate,Colorless,1×
—,Lt. Surge's Spearow,Colorless,2×
—,Super Potion,T,1×
—,Energy Flow,T,2×
—,Vermilion City Gym,T [St],1×
—,Secret Mission,T,2×
—,Defender,T,1×
—,Gust of Wind,T,1×
—,Full Heal,T,1×
—,Switch,T,1×
—,Lt. Surge,T,1×
—,Lt. Surge's Treaty,T,1×
—,Poké Ball,T,2×
—,Lightning Energy,Lightning E,26×
—,Double Colorless Energy,Colorless E,1×
