No.,Card name,Type,Rarity
—,Oddish,Grass,Common
—,Chikorita,Grass,Common
—,Ledyba,Grass,Common
—,Spinarak,Grass,Common
—,Hoppip,Grass,Common
—,Sunkern,Grass,Common
—,Shuckle,Grass,Common
—,Gloom,Grass,Uncommon
—,Bayleef,Grass,Uncommon
—,Ledian,Grass,Uncommon
—,Ariados,Grass,Uncommon
—,Skiploom,Grass,Uncommon
—,Sunflora,Grass,Uncommon
—,Meganium,Grass,Rare Holo
—,Bellossom,Grass,Rare Holo
—,Jumpluff,Grass,Rare Holo
—,Heracross,Grass,Rare Holo
—,Cyndaquil,Fire,Common
—,Magmar,Fire,Uncommon
—,Quilava,Fire,Uncommon
—,Typhlosion,Fire,Rare Holo
—,Magby,Fire,Rare
—,Horsea,Water,Common
—,Totodile,Water,Common
—,Marill,Water,Common
—,Wooper,Water,Common
—,Swinub,Water,Common
—,Mantine,Water,Common
—,Seadra,Water,Uncommon
—,Croconaw,Water,Uncommon
—,Quagsire,Water,Uncommon
—,Piloswine,Water,Uncommon
—,Feraligatr,Water,Rare Holo
—,Azumarill,Water,Rare Holo
—,Kingdra,Water,Rare Holo
—,Pikachu,Lightning,Common
—,Chinchou,Lightning,Common
—,Mareep,Lightning,Common
—,Electabuzz,Lightning,Uncommon
—,Lanturn,Lightning,Uncommon
—,Flaaffy,Lightning,Uncommon
—,Pichu,Lightning,Rare Holo
—,Ampharos,Lightning,Rare Holo
—,Elekid,Lightning,Rare
—,Slowpoke,Psychic,Common
—,Natu,Psychic,Common
—,Girafarig,Psychic,Common
—,Xatu,Psychic,Uncommon
—,Slowking,Psychic,Rare Holo
—,Onix,Fighting,Common
—,Sudowoodo,Fighting,Common
—,Gligar,Fighting,Common
—,Phanpy,Fighting,Uncommon
—,Donphan,Fighting,Rare
—,Murkrow,Darkness,Rare
—,Sneasel,Darkness,Rare
—,Steelix,Metal,Rare Holo
—,Skarmory,Metal,Rare Holo
—,Sentret,Colorless,Common
—,Hoothoot,Colorless,Common
—,Snubbull,Colorless,Common
—,Stantler,Colorless,Common
—,Clefairy,Colorless,Uncommon
—,Furret,Colorless,Uncommon
—,Noctowl,Colorless,Uncommon
—,Togepi,Colorless,Uncommon
—,Aipom,Colorless,Uncommon
—,Granbull,Colorless,Uncommon
—,Miltank,Colorless,Uncommon
—,Cleffa,Colorless,Rare
—,Togetic,Colorless,Rare Holo
—,Lugia,Colorless,Rare Holo
—,Berry,T [PT],Common
—,Super Rod,T,Common
—,Double Gust,T,Common
—,Pokémon March,T,Common
—,Moo-Moo Milk,T,Common
—,Professor Elm,T,Uncommon
—,Gold Berry,T [PT],Uncommon
—,Card-Flip Game,T [GC],Uncommon
—,Miracle Berry,T [PT],Uncommon
—,New Pokédex,T,Uncommon
—,Super Scoop Up,T,Uncommon
—,Bill's Teleporter,T,Uncommon
—,Sprout Tower,T [St],Uncommon
—,Ecogym,T [St],Rare
—,Energy Charge,T,Rare
—,Focus Band,T [PT],Rare
—,Mary,T,Rare
—,Arcade Game,T [GC],Rare
—,Time Capsule,T,Rare
—,Super Energy Retrieval,T,Rare
—,PokéGear,T,Rare
—,Darkness Energy,Darkness E,Rare
—,Metal Energy,Metal E,Rare Holo
—,Recycle Energy,Colorless E,Rare
