No.,Card name,Type,Rarity
001/087,Oddish,Grass,Common
002/087,Gloom,Grass,Common
003/087,Vileplume,Grass,Rare
004/087,Vileplume,Grass,Rare Holo
005/087,Paras,Grass,Common
006/087,Parasect,Grass,Uncommon
007/087,Bellsprout,Grass,Common
008/087,Bellsprout,Grass,Common
009/087,Weepinbell,Grass,Common
010/087,Victreebel,Grass,Rare
011/087,Victreebel,Grass,Rare Holo
012/087,Exeggcute,Grass,Common
013/087,Exeggutor,Grass,Rare
014/087,Exeggutor,Grass,Rare Holo
015/087,Tangela,Grass,Common
016/087,Scyther,Grass,Common
017/087,Scyther,Grass,Common
018/087,Pinsir,Grass,Common
019/087,Bellossom,Grass,Rare
020/087,Bellossom,Grass,Rare Holo
021/087,Vulpix,Fire,Common
022/087,Ninetales,Fire,Rare
023/087,Ninetales,Fire,Rare Holo
024/087,Ponyta,Fire,Common
025/087,Rapidash,Fire,Uncommon
026/087,Entei,Fire,Rare
027/087,Entei,Fire,Rare Holo
028/087,Tentacool,Water,Common
029/087,Tentacruel,Water,Rare
030/087,Tentacruel,Water,Rare Holo
031/087,Slowpoke,Water,Common
032/087,Slowbro,Water,Uncommon
033/087,Horsea,Water,Common
034/087,Horsea,Water,Common
035/087,Seadra,Water,Common
036/087,Chinchou,Water,Common
037/087,Lanturn,Water,Uncommon
038/087,Remoraid,Water,Common
039/087,Octillery,Water,Rare
040/087,Octillery,Water,Rare Holo
041/087,Kingdra,Water,Rare
042/087,Kingdra,Water,Rare Holo
043/087,Chinchou,Lightning,Common
044/087,Lanturn,Lightning,Rare
045/087,Lanturn,Lightning,Rare Holo
046/087,Mareep,Lightning,Common
047/087,Flaaffy,Lightning,Common
048/087,Ampharos,Lightning,Rare
049/087,Ampharos,Lightning,Rare Holo
050/087,Exeggcute,Psychic,Common
051/087,Exeggutor,Psychic,Uncommon
052/087,Slowking,Psychic,Rare
053/087,Slowking,Psychic,Rare Holo
054/087,Mankey,Fighting,Common
055/087,Primeape,Fighting,Uncommon
056/087,Onix,Fighting,Common
057/087,Sudowoodo,Fighting,Rare
058/087,Sudowoodo,Fighting,Rare Holo
059/087,Larvitar,Fighting,Common
060/087,Pupitar,Fighting,Common
061/087,Doduo,Colorless,Common
062/087,Dodrio,Colorless,Common
063/087,Lickitung,Colorless,Common
064/087,Kangaskhan,Colorless,Common
065/087,Sentret,Colorless,Common
066/087,Furret,Colorless,Common
067/087,Aipom,Colorless,Common
068/087,Miltank,Colorless,Common
069/087,Sneasel,Darkness,Common
070/087,Tyranitar,Darkness,Rare
071/087,Tyranitar,Darkness,Rare Holo
072/087,Steelix,Metal,Rare
073/087,Steelix,Metal,Rare Holo
074/087,Scizor,Metal,Rare
075/087,Scizor,Metal,Rare Holo
076/087,Energy Switch,T,Uncommon
077/087,Traveling Salesman,T [Su],Uncommon
078/087,Juggler,T [Su],Uncommon
079/087,Forest Guardian,T [Su],Uncommon
080/087,Memory Berry,T [PT],Uncommon
081/087,Healing Berry,T [PT],Uncommon
082/087,Time Shard,T [PT],Uncommon
083/087,Undersea Ruins,T [St],Uncommon
084/087,Apricorn Forest,T [St],Uncommon
085/087,Crystal Energy,Colorless E,Uncommon
086/087,Boost Energy,Colorless E,Uncommon
087/087,Warp Energy,Colorless E,Uncommon
088/087,Nidoking,Colorless,SuperRare Holo
089/087,Kingdra,Colorless,SuperRare Holo
090/087,Lugia,Colorless,SuperRare Holo
