No.,Card,Type,Quantity
001/019,Magmar ex,Fire,1×
002/019,Torchic,Fire,1×
003/019,Torchic,Fire,1×
004/019,Combusken,Fire,1×
005/019,Combusken,Fire,1×
006/019,Blaziken,Fire,1×
007/019,Electrike,Lightning,1×
008/019,Electrike,Lightning,1×
009/019,Manectric,Lightning,1×
010/019,Poochyena,Darkness,1×
011/019,Poochyena,Darkness,1×
012/019,Mightyena,Darkness,1×
013/019,Energy Restore,T,1×
014/019,Potion,T,1×
015/019,PokéNav,T,1×
016/019,Pokémon Reversal,T,1×
017/019,Poké Ball,T,1×
018/019,Professor Birch,T [Su],1×
019/019,Lum Berry,T [PT],1×
—,Fire Energy,Fire E,5×
—,Lightning Energy,Lightning E,5×
—,Darkness Energy,Darkness E,1×
