No.,Card,Type,Quantity
005/033,Team Magma's Numel,Fire,1×
006/033,Team Magma's Camerupt,Fire,1×
007/033,Team Magma's Rhyhorn,Fighting,1×
008/033,Team Magma's Rhyhorn,Fighting,1×
009/033,Team Magma's Rhydon,Fighting,1×
010/033,Team Magma's Aron,Fighting,2×
012/033,Team Magma's Lairon,Fighting,2×
017/033,Team Magma's Aggron,FightingDarkness,1×
019/033,Team Magma's Groudon,FightingDarkness,1×
021/033,Team Magma's Poochyena,Darkness,1×
022/033,Team Magma's Mightyena,Darkness,1×
024/033,Potion,T,1×
026/033,Team Magma Ball,T,1×
027/033,Team Magma Schemer,T [Su],1×
028/033,Team Magma Conspirator,T [Su],2×
029/033,Maxie,T [Su],1×
032/033,Team Magma Hideout,T [St],1×
033/033,Magma Energy,Fighting E,1×
—,Fire Energy,Fire E,3×
—,Fighting Energy,Fighting E,6×
