No.,Card name,Type,Rarity
001/080,Ekans,Grass,Common
002/080,Arbok,Grass,Rare
003/080,Pineco,Grass,Common
004/080,Treecko,Grass,Common
005/080,Grovyle,Grass,Rare
006/080,Sceptile ex,Grass,Rare Holo ex
007/080,Cacnea,Grass,Common
008/080,Lileep,Grass,Rare
009/080,Cradily ex,Grass,Rare Holo ex
010/080,Team Aqua's Seviper,Grass,Rare
011/080,Team Aqua's Cacnea,GrassDarkness,Uncommon
012/080,Team Aqua's Cacturne,GrassDarkness,Rare Holo
013/080,Growlithe,Fire,Common
014/080,Arcanine,Fire,Rare Holo
015/080,Flareon,Fire,Rare Holo
016/080,Torchic,Fire,Common
017/080,Combusken,Fire,Rare
018/080,Blaziken ex,Fire,Rare Holo ex
019/080,Team Magma's Houndour,Fire,Uncommon
020/080,Team Magma's Houndoom,FireDarkness,Rare Holo
021/080,Team Magma's Torkoal,FireDarkness,Rare Holo
022/080,Vaporeon,Water,Rare Holo
023/080,Omanyte,Water,Uncommon
024/080,Omastar,Water,Rare Holo
025/080,Kabuto,Water,Uncommon
026/080,Kabutops ex,Water,Rare Holo ex
027/080,Suicune ex,Water,Rare Holo ex
028/080,Mudkip,Water,Common
029/080,Marshtomp,Water,Rare
030/080,Wingull,Water,Common
031/080,Pelipper,Water,Rare
032/080,Wailmer,Water,Uncommon
033/080,Team Aqua's Carvanha,Water,Uncommon
034/080,Team Aqua's Corphish,Water,Uncommon
035/080,Team Aqua's Sharpedo,WaterDarkness,Rare Holo
036/080,Team Aqua's Crawdaunt,WaterDarkness,Rare Holo
037/080,Jolteon,Lightning,Rare Holo
038/080,Team Aqua's Electrike,Lightning,Uncommon
039/080,Team Aqua's Manectric,LightningDarkness,Rare Holo
040/080,Espeon,Psychic,Rare Holo
041/080,Ralts,Psychic,Common
042/080,Kirlia,Psychic,Rare
043/080,Duskull,Psychic,Common
044/080,Team Magma's Baltoy,Psychic,Uncommon
045/080,Team Magma's Claydol,PsychicDarkness,Rare Holo
046/080,Geodude,Fighting,Common
047/080,Graveler,Fighting,Rare
048/080,Golem ex,Fighting,Rare Holo ex
049/080,Onix,Fighting,Common
050/080,Swampert ex,Fighting,Rare Holo ex
051/080,Anorith,Fighting,Rare
052/080,Team Magma's Rhyhorn,Fighting,Uncommon
053/080,Team Magma's Rhydon,FightingDarkness,Rare Holo
054/080,Eevee,Colorless,Common
055/080,Aerodactyl ex,Colorless,Rare Holo ex
056/080,Dunsparce,Colorless,Common
057/080,Linoone,Colorless,Uncommon
058/080,Swellow,Colorless,Rare
059/080,Skitty,Colorless,Common
060/080,Delcatty,Colorless,Uncommon
061/080,Team Magma's Zangoose,Colorless,Rare
062/080,Umbreon,Darkness,Rare Holo
063/080,Murkrow,Darkness,Rare
064/080,Forretress,Metal,Rare
065/080,Steelix,Metal,Rare Holo
066/080,Dual Ball,T,Uncommon
067/080,Mysterious Fossil,T,Common
068/080,Warp Point,T,Uncommon
069/080,Strength Charm,T [PT],Uncommon
070/080,Team Magma Belt,T [PT],Uncommon
071/080,Team Aqua Belt,T [PT],Uncommon
072/080,Team Magma Schemer,T [Su],Uncommon
073/080,Team Aqua Schemer,T [Su],Uncommon
074/080,Maxie,T [Su],Rare
075/080,Archie,T [Su],Rare
076/080,Team Magma Technical Machine 01,T [TM],Uncommon
077/080,Team Aqua Technical Machine 01,T [TM],Uncommon
078/080,Double Rainbow Energy,Rainbow E,Uncommon
079/080,Magma Energy,Fighting E,Uncommon
080/080,Aqua Energy,Water E,Uncommon
