No.,Card name,Type,Rarity
001/083,Zubat,Grass,Common
002/083,Golbat,Grass,Rare
003/083,Oddish,Grass,Common
004/083,Gloom,Grass,Uncommon
005/083,Vileplume ex,Grass,Rare Holo ex
006/083,Pinsir,Grass,Rare Holo
007/083,Crobat,Grass,Rare Holo
008/083,Bellossom,Grass,Rare
009/083,Heracross,Grass,Rare Holo
010/083,Seedot,Grass,Common
011/083,Surskit,Grass,Common
012/083,Masquerain,Grass,Rare Holo
013/083,Gulpin,Grass,Common
014/083,Swalot,Grass,Rare
015/083,Tropius,Grass,Rare
016/083,Vulpix,Fire,Common
017/083,Ninetales,Fire,Rare Holo
018/083,Ninetales ex,Fire,Rare Holo ex
019/083,Sunny Castform,Fire,Rare
020/083,Tentacool,Water,Common
021/083,Tentacruel,Water,Rare
022/083,Staryu,Water,Common
023/083,Corsola,Water,Uncommon
024/083,Feebas,Water,Uncommon
025/083,Milotic,Water,Rare Holo
026/083,Rain Castform,Water,Rare
027/083,Snow-cloud Castform,Water,Rare
028/083,Snorunt,Water,Common
029/083,Glalie,Water,Rare
030/083,Spheal,Water,Common
031/083,Sealeo,Water,Rare
032/083,Walrein,Water,Rare Holo
033/083,Clamperl,Water,Uncommon
034/083,Huntail,Water,Rare Holo
035/083,Gorebyss,Water,Rare Holo
036/083,Relicanth,Water,Rare Holo
037/083,Luvdisc,Water,Rare
038/083,Regice ex,Water,Rare Holo ex
039/083,Kyogre ex,Water,Rare Holo ex
040/083,Voltorb,Lightning,Common
041/083,Electrode,Lightning,Rare Holo
042/083,Chinchou,Lightning,Common
043/083,Lanturn,Lightning,Rare
044/083,Starmie,Psychic,Rare
045/083,Claydol,Psychic,Rare Holo
046/083,Shuppet,Psychic,Common
047/083,Banette,Psychic,Rare Holo
048/083,Chimecho,Psychic,Rare Holo
049/083,Machop,Fighting,Common
050/083,Machoke,Fighting,Uncommon
051/083,Machamp,Fighting,Rare Holo
052/083,Rhyhorn,Fighting,Common
053/083,Rhydon,Fighting,Rare
054/083,Medicham,Fighting,Rare Holo
055/083,Regirock ex,Fighting,Rare Holo ex
056/083,Groudon ex,Fighting,Rare Holo ex
057/083,Jigglypuff,Colorless,Common
058/083,Wigglytuff ex,Colorless,Rare Holo ex
059/083,Doduo,Colorless,Common
060/083,Dodrio,Colorless,Rare
061/083,Igglybuff,Colorless,Uncommon
062/083,Whismur,Colorless,Common
063/083,Loudred,Colorless,Rare
064/083,Exploud,Colorless,Rare Holo
065/083,Spinda,Colorless,Rare
066/083,Castform,Colorless,Uncommon
067/083,Nuzleaf,Darkness,Uncommon
068/083,Shiftry,Darkness,Rare Holo
069/083,Beldum,Metal,Uncommon
070/083,Metang,Metal,Rare
071/083,Metagross ex,Metal,Rare Holo ex
072/083,Registeel ex,Metal,Rare Holo ex
073/083,Life Herb,T,Uncommon
074/083,Steven's Advice,T [Su],Uncommon
075/083,Ancient Technical Machine [Ice],T [TM],Uncommon
076/083,Ancient Technical Machine [Rock],T [TM],Uncommon
077/083,Ancient Technical Machine [Steel],T [TM],Uncommon
078/083,Island Cave,T [St],Uncommon
079/083,Ancient Tomb,T [St],Uncommon
080/083,Desert Ruins,T [St],Uncommon
081/083,High Pressure System,T [St],Uncommon
082/083,Low Pressure System,T [St],Uncommon
083/083,Magnetic Storm,T [St],Uncommon
