No.,Card name,Type,Rarity
001/082,Zubat,Grass,Common
002/082,Golbat,Grass,Uncommon
003/082,Koffing,Grass,Common
004/082,Weezing,Grass,Uncommon
005/082,Crobat ex,Grass,Rare Holo ex
006/082,Wurmple,Grass,Common
007/082,Silcoon,Grass,Uncommon
008/082,Beautifly,Grass,Rare Holo
009/082,Surskit,Grass,Uncommon
010/082,Masquerain,Grass,Rare
011/082,Shroomish,Grass,Common
012/082,Nincada,Grass,Uncommon
013/082,Ninjask,Grass,Rare Holo
014/082,Tropius,Grass,Rare Holo
015/082,Slugma,Fire,Common
016/082,Magcargo,Fire,Rare
017/082,Numel,Fire,Common
018/082,Camerupt,Fire,Rare Holo
019/082,Goldeen,Water,Common
020/082,Seaking,Water,Rare
021/082,Staryu,Water,Common
022/082,Starmie,Water,Rare
023/082,Magikarp,Water,Common
024/082,Gyarados,Water,Rare Holo
025/082,Lotad,Water,Uncommon
026/082,Lombre,Water,Rare
027/082,Ludicolo,Water,Rare Holo
028/082,Wingull,Water,Common
029/082,Pelipper,Water,Rare
030/082,Barboach,Water,Common
031/082,Corphish,Water,Uncommon
032/082,Electrike,Lightning,Common
033/082,Manectric ex,Lightning,Rare Holo ex
034/082,Plusle,Lightning,Rare
035/082,Minun,Lightning,Rare
036/082,Natu,Psychic,Common
037/082,Xatu,Psychic,Rare
038/082,Shedinja,Psychic,Rare Holo
039/082,Solrock,Psychic,Rare
040/082,Duskull,Psychic,Uncommon
041/082,Dusclops,Psychic,Rare Holo
042/082,Beldum,Psychic,Uncommon
043/082,Metang,Psychic,Rare
044/082,Metagross,Psychic,Rare Holo
045/082,Deoxys ex,Psychic,Rare Holo ex
046/082,Deoxys ex,Psychic,Rare Holo ex
047/082,Breloom,Fighting,Rare Holo
048/082,Makuhita,Fighting,Common
049/082,Hariyama ex,Fighting,Rare Holo ex
050/082,Nosepass,Fighting,Rare
051/082,Lunatone,Fighting,Rare
052/082,Whiscash,Fighting,Rare Holo
053/082,Baltoy,Fighting,Common
054/082,Claydol,Fighting,Rare Holo
055/082,Taillow,Colorless,Common
056/082,Swellow,Colorless,Rare
057/082,Slakoth,Colorless,Common
058/082,Vigoroth,Colorless,Rare
059/082,Slaking,Colorless,Rare Holo
060/082,Swablu,Colorless,Uncommon
061/082,Altaria,Colorless,Rare Holo
062/082,Bagon,Colorless,Uncommon
063/082,Shelgon,Colorless,Rare
064/082,Salamence ex,Colorless,Rare Holo ex
065/082,Latias Star,Colorless,ShinyRare Holo
066/082,Latios Star,Colorless,ShinyRare Holo
067/082,Rayquaza Star,Colorless,ShinyRare Holo
068/082,Poochyena,Darkness,Common
069/082,Mightyena,Darkness,Rare Holo
070/082,Sableye,Darkness,Rare
071/082,Carvanha,Darkness,Uncommon
072/082,Sharpedo ex,Darkness,Rare Holo ex
073/082,Crawdaunt,Darkness,Rare Holo
074/082,Skarmory,Metal,Rare Holo
075/082,Jirachi,Metal,Rare Holo
076/082,Professor Cozmo's Discovery,T [Su],Uncommon
077/082,Crystal Shard,T [PT],Uncommon
078/082,Space Center,T [St],Uncommon
079/082,Meteor Falls,T [St],Uncommon
080/082,Scramble Energy,Colorless E,Uncommon
081/082,Heal Energy,Colorless E,Uncommon
082/082,Boost Energy,Colorless E,Uncommon
