No.,Card name,Type,Rarity
001/086,Bellsprout,Grass,Common
002/086,Weepinbell,Grass,Uncommon
003/086,Victreebel,Grass,Rare Holo
004/086,Grimer,Grass,Common
005/086,Muk,Grass,Rare Holo
006/086,Tangela,Grass,Rare
007/086,Pinsir,Grass,Rare
008/086,Wurmple,Grass,Common
009/086,Cascoon,Grass,Uncommon
010/086,Dustox ex,Grass,Rare Holo ex
011/086,Seedot,Grass,Common
012/086,Roselia,Grass,Rare
013/086,Lileep,Grass,Common
014/086,Cradily,Grass,Rare Holo
015/086,Growlithe,Fire,Common
016/086,Arcanine ex,Fire,Rare Holo ex
017/086,Magmar,Fire,Rare Holo
018/086,Magby,Fire,Rare
019/086,Torkoal,Fire,Rare
020/086,Tentacool,Water,Common
021/086,Tentacruel,Water,Rare
022/086,Lapras,Water,Rare Holo
023/086,Omanyte,Water,Common
024/086,Omastar,Water,Rare
025/086,Wailmer,Water,Common
026/086,Wailord,Water,Rare Holo
027/086,Spheal,Water,Common
028/086,Sealeo,Water,Rare
029/086,Walrein ex,Water,Rare Holo ex
030/086,Clamperl,Water,Common
031/086,Huntail,Water,Rare Holo
032/086,Gorebyss,Water,Rare Holo
033/086,Regice Star,Water,ShinyRare Holo
034/086,Magnemite,Lightning,Common
035/086,Magneton,Lightning,Rare
036/086,Chinchou,Lightning,Common
037/086,Lanturn,Lightning,Rare Holo
038/086,Gastly,Psychic,Common
039/086,Haunter,Psychic,Uncommon
040/086,Gengar,Psychic,Rare Holo
041/086,Mew ex,Psychic,Rare Holo ex
042/086,Misdreavus,Psychic,Rare
043/086,Wobbuffet,Psychic,Rare Holo
044/086,Girafarig,Psychic,Rare
045/086,Lunatone,Psychic,Rare Holo
046/086,Wynaut,Psychic,Rare
047/086,Machop,Fighting,Common
048/086,Machoke,Fighting,Rare
049/086,Machamp,Fighting,Rare Holo
050/086,Geodude,Fighting,Common
051/086,Graveler,Fighting,Uncommon
052/086,Golem,Fighting,Rare Holo
053/086,Kabuto,Fighting,Rare
054/086,Kabutops,Fighting,Rare Holo
055/086,Trapinch,Fighting,Common
056/086,Solrock,Fighting,Rare Holo
057/086,Anorith,Fighting,Rare
058/086,Armaldo ex,Fighting,Rare Holo ex
059/086,Regirock Star,Fighting,ShinyRare Holo
060/086,Aerodactyl,Colorless,Rare Holo
061/086,Dunsparce,Colorless,Uncommon
062/086,Skitty,Colorless,Common
063/086,Delcatty,Colorless,Rare Holo
064/086,Spinda,Colorless,Rare
065/086,Vibrava,Colorless,Uncommon
066/086,Flygon ex,Colorless,Rare Holo ex
067/086,Swablu,Colorless,Common
068/086,Altaria ex,Colorless,Rare Holo ex
069/086,Kecleon,Colorless,Rare
070/086,Nuzleaf,Darkness,Uncommon
071/086,Shiftry,Darkness,Rare Holo
072/086,Absol,Darkness,Rare
073/086,Aron,Metal,Common
074/086,Lairon,Metal,Uncommon
075/086,Aggron,Metal,Rare Holo
076/086,Registeel Star,Metal,ShinyRare Holo
077/086,Claw Fossil,T,Uncommon
078/086,Mysterious Fossil,T,Uncommon
079/086,Root Fossil,T,Uncommon
080/086,Fieldworker,T [Su],Uncommon
081/086,Strange Cave,T [St],Uncommon
082/086,Full Flame,T [St],Uncommon
083/086,Giant Stump,T [St],Uncommon
084/086,Cursed Stone,T [St],Uncommon
085/086,Power Tree,T [St],Uncommon
086/086,React Energy,Colorless E,Uncommon
