No.,Card name,Type,Rarity
001/068,Snorlax δ,Grass,Rare Holo
002/068,Dratini δ,Grass,Common
003/068,Dragonair δ,Grass,Uncommon
004/068,Dragonite ex δ,Grass,Rare Holo ex
005/068,Wooper δ,Grass,Common
006/068,Quagsire δ,Grass,Rare
007/068,Ekans δ,Fire,Common
008/068,Arbok δ,Fire,Rare
009/068,Heracross δ,Fire,Rare Holo
010/068,Taillow δ,Fire,Common
011/068,Swellow δ,Fire,Rare
012/068,Feebas δ,Fire,Common
013/068,Milotic δ,Fire,Rare Holo
014/068,Latias ex δ,Fire,Rare Holo ex
015/068,Mew Star δ,Water,ShinyRare Holo
016/068,Togepi δ,Water,Uncommon
017/068,Togetic δ,Water,Rare Holo
018/068,Swablu δ,Water,Common
019/068,Altaria ex δ,Water,Rare Holo ex
020/068,Bagon δ,Water,Common
021/068,Shelgon δ,Water,Uncommon
022/068,Salamence ex δ,Water,Rare Holo ex
023/068,Latios ex δ,Water,Rare Holo ex
024/068,Totodile δ,Lightning,Common
025/068,Croconaw δ,Lightning,Uncommon
026/068,Feraligatr δ,Lightning,Rare Holo
027/068,Mantine δ,Lightning,Rare
028/068,Rayquaza ex δ,Lightning,Rare Holo ex
029/068,Vulpix δ,Psychic,Common
030/068,Ninetales δ,Psychic,Rare Holo
031/068,Lickitung δ,Psychic,Rare
032/068,Cyndaquil δ,Psychic,Common
033/068,Quilava δ,Psychic,Uncommon
034/068,Typhlosion δ,Psychic,Rare Holo
035/068,Trapinch δ,Psychic,Common
036/068,Vibrava δ,Psychic,Rare
037/068,Flygon ex δ,Psychic,Rare Holo ex
038/068,Shellder δ,Fighting,Common
039/068,Cloyster δ,Fighting,Rare
040/068,Horsea δ,Fighting,Uncommon
041/068,Seadra δ,Fighting,Rare
042/068,Pinsir δ,Fighting,Rare Holo
043/068,Chikorita δ,Fighting,Common
044/068,Bayleef δ,Fighting,Uncommon
045/068,Meganium δ,Fighting,Rare Holo
046/068,Kingdra ex δ,Fighting,Rare Holo ex
047/068,Seel δ,Colorless,Common
048/068,Dewgong δ,Colorless,Rare
049/068,Mareep δ,Colorless,Common
050/068,Flaaffy δ,Colorless,Uncommon
051/068,Ampharos δ,Colorless,Rare Holo
052/068,Charizard Star δ,Darkness,ShinyRare Holo
053/068,Nidoran♂ δ,Darkness,Common
054/068,Nidorino δ,Darkness,Uncommon
055/068,Nidoking δ,Darkness,Rare Holo
056/068,Natu δ,Darkness,Common
057/068,Xatu δ,Darkness,Rare
058/068,Nidoran♀ δ,Metal,Common
059/068,Nidorina δ,Metal,Uncommon
060/068,Nidoqueen δ,Metal,Rare Holo
061/068,Ledyba δ,Metal,Common
062/068,Ledian δ,Metal,Rare
063/068,Tropius δ,Metal,Rare
064/068,Old Rod,T,Common
065/068,Island Hermit,T [Su],Uncommon
066/068,Strength Charm,T [PT],Uncommon
067/068,Holon Legacy,T [St],Uncommon
068/068,Scramble Energy,Colorless E,Rare
