No.,Card name,Type,Rarity
001/040,Venonat,Grass,Common
002/040,Venomoth,Grass,Rare Holo
003/040,Tangela,Grass,Common
004/040,Tangrowth,Grass,Uncommon
005/040,Volbeat,Grass,Common
006/040,Illumise,Grass,Common
007/040,Carnivine,Grass,Rare
008/040,Relicanth,Water,Common
009/040,Magnemite,Lightning,Common
010/040,Magneton,Lightning,Uncommon
011/040,Magnezone,Lightning,Rare Holo Prime
012/040,Pachirisu,Lightning,Rare Holo
013/040,Gastly,Psychic,Common
014/040,Haunter,Psychic,Uncommon
015/040,Gengar,Psychic,Rare Holo Prime
016/040,Mime Jr.,Psychic,Uncommon
017/040,Mr. Mime,Psychic,Rare
018/040,Mew,Psychic,Rare Holo Prime
019/040,Seviper,Psychic,Uncommon
020/040,Shuppet,Psychic,Common
021/040,Banette,Psychic,Rare
022/040,Spiritomb,Psychic,Rare Holo
023/040,Diglett,Fighting,Common
024/040,Dugtrio,Fighting,Rare
025/040,Riolu,Fighting,Uncommon
026/040,Lucario,Fighting,Rare Holo
027/040,Absol,Darkness,Rare Holo Prime
028/040,Snorlax,Colorless,Rare Holo
029/040,Dratini,Colorless,Common
030/040,Dragonair,Colorless,Common
031/040,Dragonite,Colorless,Rare
032/040,Swablu,Colorless,Common
033/040,Altaria,Colorless,Rare Holo
034/040,Zangoose,Colorless,Rare
035/040,Darkrai & Cresselia LEGEND,DarknessPsychic,Rare Holo LEGEND
036/040,Darkrai & Cresselia LEGEND,DarknessPsychic,Rare Holo LEGEND
037/040,Research Record,I,Uncommon
038/040,Lost Remover,I,Uncommon
039/040,Seeker,Su,Uncommon
040/040,Lost World,St,Uncommon
